RocketLogger CSV File
File Version,3
Block Size,1
Block Count,639                 
Sample Count,639                 
Sample Rate,1
MAC Address,40:bd:32:e9:18:c6
Start Time,Fri Apr 24 22:58:59 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1587769261.733547026,1,-163170,-22689469,-45918465
1587769262.736978509,1,-162759,-22711131,-45913795
1587769263.740397947,1,-163739,-22744956,-45913918
1587769264.743875034,1,-166238,-22859559,-45923871
1587769265.747316956,1,-165321,-22754788,-45908388
1587769266.750779370,1,-164846,-22691887,-45896469
1587769267.754232062,1,-166459,-22691046,-45889833
1587769268.757680265,1,-166523,-22732688,-45890202
1587769269.761113023,1,-165574,-22851935,-45900524
1587769270.764566586,1,-165700,-22747638,-45886639
1587769271.768009120,1,-165226,-22708064,-45877914
1587769272.771474892,1,-163644,-22667123,-45866486
1587769273.774922092,1,-165036,-22721874,-45870172
1587769274.778401456,1,-165795,-22840789,-45879389
1587769275.781821250,1,-166206,-22739593,-45866486
1587769276.785262666,1,-164783,-22706206,-45860834
1587769277.788703280,1,-163360,-22655941,-45846334
1587769278.792185333,1,-165827,-22712796,-45849283
1587769279.795558614,1,-164846,-22833252,-45861694
1587769280.799051829,1,-163265,-22727780,-45847808
1587769281.802508109,1,-165574,-22675413,-45839207
1587769282.805939921,1,-164910,-22662145,-45831465
1587769283.809415383,1,-163075,-22705224,-45833062
1587769284.812878838,1,-166270,-22823368,-45844613
1587769285.816313925,1,-163739,-22717370,-45831096
1587769286.819753373,1,-162980,-22647844,-45819423
1587769287.823190321,1,-166459,-22660761,-45814139
1587769288.826630366,1,-164625,-22698039,-45816719
1587769289.830144690,1,-165226,-22814166,-45828024
1587769290.833538162,1,-166491,-22709659,-45813647
1587769291.836991373,1,-163044,-22633227,-45802834
1587769292.840449442,1,-164182,-22657729,-45799147
1587769293.843904133,1,-165131,-22691291,-45801359
1587769294.847344194,1,-165005,-22800496,-45812419
1587769295.850794001,1,-163328,-22700668,-45799270
1587769296.854257030,1,-160608,-22604870,-45785508
1587769297.857703564,1,-160640,-22658097,-45785385
1587769298.861148923,1,-161842,-22689644,-45787597
1587769299.864571507,1,-164182,-22771263,-45796198
1587769300.868033760,1,-164087,-22692378,-45785631
1587769301.871474912,1,-164530,-22572587,-45768550
1587769302.874947099,1,-163992,-22665212,-45774448
1587769303.878365537,1,-164498,-22721278,-45779364
1587769304.881822052,1,-167218,-22724748,-45780592
1587769305.885266126,1,-162158,-22685350,-45772237
1587769306.888716586,1,-164151,-22570046,-45754665
1587769307.892186723,1,-164625,-22667438,-45764126
1587769308.895642866,1,-165858,-22763516,-45772605
1587769309.899058590,1,-165131,-22700598,-45766953
1587769310.902512062,1,-164498,-22675851,-45761423
1587769311.905960380,1,-162411,-22587362,-45746432
1587769312.909413824,1,-163328,-22666579,-45754173
1587769313.912856469,1,-167282,-22784390,-45766584
1587769314.916302201,1,-165574,-22687874,-45756139
1587769315.919759215,1,-161083,-22649947,-45749995
1587769316.923212860,1,-162443,-22613458,-45740533
1587769317.926660891,1,-161114,-22664091,-45745817
1587769318.930099055,1,-161873,-22784039,-45757368
1587769319.933564000,1,-166175,-22678287,-45746554
1587769320.937003552,1,-161019,-22613248,-45737830
1587769321.940452929,1,-163202,-22621152,-45732177
1587769322.943917583,1,-163708,-22660480,-45735864
1587769323.947333978,1,-166965,-22778992,-45749504
1587769324.950789874,1,-164593,-22674361,-45736847
1587769325.954263886,1,-162443,-22617016,-45729228
1587769326.957698856,1,-162031,-22612091,-45723699
1587769327.961144338,1,-163992,-22655766,-45727262
1587769328.964609786,1,-167978,-22777257,-45742376
1587769329.968054742,1,-162696,-22671837,-45729105
1587769330.971481866,1,-162316,-22629477,-45721855
1587769331.974940524,1,-164214,-22595476,-45713745
1587769332.978395133,1,-159976,-22650526,-45719398
1587769333.981841958,1,-164562,-22768967,-45731440
1587769334.985304616,1,-165099,-22674747,-45722470
1587769335.988718624,1,-162348,-22654329,-45718046
1587769336.992183904,1,-162506,-22559828,-45704161
1587769337.995651636,1,-162980,-22645093,-45711656
1587769338.999084886,1,-162126,-22735737,-45720504
1587769340.002535482,1,-166017,-22682931,-45717432
1587769341.005975567,1,-162284,-22655696,-45711902
1587769342.009442197,1,-162284,-22541619,-45697648
1587769343.012865548,1,-164751,-22638082,-45705635
