RocketLogger CSV File
File Version,3
Block Size,1
Block Count,690                 
Sample Count,690                 
Sample Rate,1
MAC Address,40:bd:32:e9:18:c6
Start Time,Sat Apr 25 00:29:48 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1587774715.634856532,1,53262,-1903926,-77561499
1587774716.638317305,1,53483,-1975940,-77571821
1587774717.641778598,1,52281,-2029745,-77580545
1587774718.645207277,1,51965,-2021193,-77584109
1587774719.648639620,1,51838,-1994448,-77582880
1587774720.652097003,1,54369,-1908921,-77573664
1587774721.655557055,1,50953,-1979638,-77582389
1587774722.658996551,1,50668,-2045729,-77595168
1587774723.662475629,1,49909,-2017477,-77594062
1587774724.665922870,1,53135,-1994588,-77593202
1587774725.669320740,1,53262,-1908290,-77584846
1587774726.672795770,1,50984,-1979218,-77593939
1587774727.676249729,1,52439,-2035161,-77602541
1587774728.679688616,1,50763,-2023979,-77605490
1587774729.683133602,1,54337,-1995429,-77603524
1587774730.686589646,1,55697,-1905556,-77594554
1587774731.690042598,1,52882,-1975152,-77603770
1587774732.693498645,1,53894,-2012114,-77610037
1587774733.696932967,1,50542,-2041278,-77617901
1587774734.700404110,1,51996,-1996726,-77614215
1587774735.703831940,1,52819,-1911462,-77604876
1587774736.707286877,1,52155,-1965232,-77612249
1587774737.710730386,1,54400,-1987367,-77617533
1587774738.714174233,1,51079,-2073210,-77632155
1587774739.717659647,1,53483,-2000968,-77625028
1587774740.721061122,1,53262,-1965092,-77622079
1587774741.724522073,1,52091,-1938067,-77619253
1587774742.727982278,1,53325,-1984563,-77625520
1587774743.731412170,1,51427,-2067339,-77638914
1587774744.734870192,1,51459,-2013779,-77637071
1587774745.738315723,1,55191,-1995552,-77635473
1587774746.741774473,1,54116,-1906660,-77625643
1587774747.745246233,1,55824,-1976291,-77634736
1587774748.748687802,1,53578,-2008837,-77641126
1587774749.752121148,1,52123,-2047727,-77650096
1587774750.755549315,1,53230,-1998234,-77644935
1587774751.758997935,1,53483,-1914739,-77637316
1587774752.762464695,1,52313,-1966038,-77642600
