RocketLogger CSV File
File Version,3
Block Size,1
Block Count,683                 
Sample Count,683                 
Sample Rate,1
MAC Address,40:bd:32:e9:18:c6
Start Time,Fri Apr 24 23:27:17 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1587770837.269317159,1,-61959,-12905631,-61213806
1587770838.272753719,1,-63889,-12877502,-61189722
1587770839.276165731,1,-63509,-12918005,-61177188
1587770840.279647667,1,-64300,-13001972,-61173133
1587770841.283085729,1,-64395,-12936267,-61148802
1587770842.286533363,1,-62086,-12916708,-61129879
1587770843.289976766,1,-62497,-12826151,-61096455
1587770844.293427672,1,-62118,-12892960,-61087730
1587770845.296873278,1,-61991,-12923596,-61078023
1587770846.300330102,1,-63130,-12956229,-61071142
1587770847.303771142,1,-62307,-12902880,-61047671
1587770848.307226123,1,-62434,-12825012,-61023832
1587770849.310664920,1,-61011,-12858977,-61014371
1587770850.314123868,1,-60093,-12882567,-61002328
1587770851.317569884,1,-66261,-12972108,-60999871
1587770852.321017941,1,-64047,-12894380,-60978735
1587770853.324467517,1,-61485,-12872122,-60963375
1587770854.327885227,1,-61390,-12809343,-60941134
1587770855.331362141,1,-59777,-12865690,-60936218
1587770856.334817692,1,-64553,-12934287,-60933638
1587770857.338275655,1,-63351,-12896027,-60918647
1587770858.341697656,1,-62276,-12870614,-60904392
1587770859.345180053,1,-61611,-12777095,-60880062
1587770860.348619326,1,-63414,-12844483,-60876621
1587770861.352066111,1,-63794,-12868914,-60870477
1587770862.355529248,1,-62750,-12919109,-60869003
1587770863.358958894,1,-63225,-12861168,-60852414
1587770864.362389024,1,-61706,-12781196,-60830910
1587770865.365858624,1,-61706,-12822418,-60825134
1587770866.369306593,1,-61169,-12844728,-60820342
1587770867.372753896,1,-62497,-12931447,-60823905
1587770868.376204013,1,-61928,-12854964,-60806948
1587770869.379640153,1,-60726,-12814338,-60789376
1587770870.383104191,1,-62023,-12793307,-60779054
1587770871.386551181,1,-63098,-12833564,-60774630
1587770872.390002652,1,-63509,-12921896,-60778440
1587770873.393434953,1,-64426,-12852230,-60763817
1587770874.396898536,1,-61675,-12835562,-60753003
1587770875.400348265,1,-60441,-12753365,-60732605
1587770876.403797809,1,-60789,-12820034,-60734080
1587770877.407241062,1,-62655,-12867600,-60732974
1587770878.410685206,1,-63762,-12867705,-60727813
1587770879.414139025,1,-63414,-12831566,-60715893
1587770880.417594719,1,-60916,-12740922,-60697953
1587770881.421047099,1,-63794,-12800195,-60696109
1587770882.424484035,1,-62402,-12819473,-60692423
1587770883.427940162,1,-63066,-12902354,-60698198
1587770884.431374033,1,-64490,-12827903,-60683453
1587770885.434819362,1,-60568,-12795638,-60672393
1587770886.438280590,1,-64173,-12758868,-60659982
1587770887.441737162,1,-61105,-12807591,-60661088
1587770888.445188992,1,-62845,-12874575,-60663177
1587770889.448624999,1,-65375,-12846867,-60657156
1587770890.452067578,1,-63193,-12816582,-60645974
1587770891.455525457,1,-64363,-12735173,-60630614
1587770892.458986615,1,-63604,-12775939,-60628033
1587770893.462430032,1,-63478,-12801702,-60626927
1587770894.465861128,1,-60758,-12888754,-60634177
1587770895.469313854,1,-64711,-12827781,-60622995
1587770896.472772362,1,-58322,-12808853,-60615500
1587770897.476205771,1,-62908,-12717910,-60599156
1587770898.479666622,1,-61232,-12779128,-60599771
1587770899.483109141,1,-61959,-12797583,-60599648
1587770900.486564640,1,-63478,-12886598,-60607021
1587770901.490014302,1,-60599,-12810938,-60593750
1587770902.493462071,1,-62497,-12791730,-60586008
1587770903.496916994,1,-64648,-12727426,-60572123
1587770904.500350038,1,-62149,-12787821,-60575440
1587770905.503811296,1,-61865,-12841469,-60579864
1587770906.507249209,1,-61105,-12834931,-60575686
1587770907.510705098,1,-61074,-12799266,-60567576
1587770908.514171402,1,-61390,-12713318,-60551602
1587770909.517611566,1,-61137,-12766212,-60551479
1587770910.521061599,1,-58544,-12787331,-60552462
1587770911.524504458,1,-62149,-12875820,-60562415
1587770912.527943208,1,-62023,-12800107,-60550741
1587770913.531391135,1,-62592,-12771084,-60542386
1587770914.534843426,1,-59208,-12730984,-60529606
1587770915.538285015,1,-63130,-12780601,-60533047
1587770916.541753404,1,-62687,-12862202,-60540542
1587770917.545188659,1,-64869,-12807433,-60531818
1587770918.548663837,1,-60884,-12789732,-60526534
1587770919.552078976,1,-60378,-12702136,-60509945
1587770920.555558439,1,-62276,-12772048,-60513877
1587770921.558996743,1,-61295,-12814478,-60518055
1587770922.562444403,1,-62307,-12828184,-60516949
1587770923.565889275,1,-62181,-12788224,-60506996
1587770924.569337478,1,-61738,-12700051,-60493848
1587770925.572788059,1,-62940,-12758658,-60494462
1587770926.576237145,1,-61485,-12779163,-60495691
1587770927.579678027,1,-61137,-12860204,-60504661
1587770928.583133636,1,-63952,-12788137,-60493233
1587770929.586577754,1,-60093,-12741885,-60483526
1587770930.590028307,1,-63604,-12734700,-60478979
1587770931.593473447,1,-62149,-12772065,-60480454
1587770932.596927811,1,-64679,-12861904,-60488809
1587770933.600362616,1,-65913,-12793552,-60479839
1587770934.603831833,1,-61042,-12778147,-60474801
1587770935.607283593,1,-60441,-12694425,-60460670
1587770936.610717745,1,-60346,-12762794,-60465954
1587770937.614167730,1,-62782,-12797005,-60468780
1587770938.617614726,1,-61295,-12830848,-60472098
1587770939.621062706,1,-63446,-12780005,-60464233
1587770940.624521949,1,-62782,-12711846,-60452683
1587770941.627967457,1,-59777,-12736207,-60450839
1587770942.631403763,1,-59429,-12766527,-60452560
