RocketLogger CSV File
File Version,3
Block Size,1
Block Count,81524
Sample Count,81524
Sample Rate,1
MAC Address,98:5d:ad:b2:2e:9d
Start Time,Fri May 15 03:28:03 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1589513428.513774251,1,22977,340320,-755379
1589513429.517329998,1,22001,362762,-748755
1589513430.520825660,1,22662,456782,-741518
1589513431.524369699,1,22064,401781,-735507
1589513432.527883343,1,22630,316022,-733177
1589513433.531425677,1,24393,311121,-724835
1589513434.534976680,1,22725,339252,-719070
1589513435.538487630,1,22882,444231,-712201
1589513436.542021481,1,22567,393448,-708398
1589513437.545529972,1,24393,335558,-704841
1589513438.549050823,1,22504,285651,-698094
1589513439.552595877,1,23795,323550,-691838
1589513440.556138275,1,26502,428319,-684846
1589513441.559688835,1,25274,380845,-680553
1589513442.563214940,1,21025,318438,-677363
1589513443.566731956,1,22127,278351,-670862
1589513444.570288559,1,21686,312206,-666569
1589513445.573806092,1,22662,418341,-658350
1589513446.577341028,1,22851,360888,-654547
1589513447.580873181,1,22158,259971,-653689
1589513448.584390718,1,22095,282745,-647555
1589513449.587969005,1,20962,314937,-641545
1589513450.591441724,1,23952,392433,-636883
1589513451.594941541,1,22442,341965,-631854
1589513452.598508804,1,20427,224400,-629646
1589513453.602057240,1,21340,283480,-623390
1589513454.605557207,1,23449,374490,-617134
1589513455.609113089,1,22630,355217,-613209
1589513456.612644749,1,24991,301581,-611001
1589513457.616180161,1,21308,243621,-606953
1589513458.619690922,1,21088,280224,-601678
1589513459.623250014,1,23323,385168,-596404
1589513460.626776990,1,20710,326858,-592724
1589513461.630292368,1,19640,213739,-591497
1589513462.633823450,1,21718,258360,-585854
1589513463.637340051,1,23323,311594,-581070
1589513464.640883219,1,23449,351348,-577513
1589513465.644363160,1,22882,309020,-573956
1589513466.647820075,1,20773,199017,-570644
1589513467.651429295,1,23480,257257,-566964
1589513468.654958128,1,22945,361291,-561934
1589513469.658454850,1,24236,319418,-557273
1589513470.662013975,1,22788,242675,-557764
1589513471.665534507,1,20521,227638,-552121
1589513472.669100698,1,22977,257835,-548564
1589513473.672510098,1,22630,352398,-543412
1589513474.676043126,1,24865,297694,-539732
1589513475.679571616,1,20333,180584,-539854
1589513476.683093723,1,23165,236163,-534702
1589513477.686635325,1,21969,311559,-529673
1589513478.690124650,1,22536,317860,-526484
1589513479.693652761,1,22914,277301,-525502
1589513480.697194172,1,21843,183717,-521577
1589513481.700660262,1,24015,234465,-517284
1589513482.704222283,1,22914,342140,-512990
1589513483.707732387,1,24078,292915,-510905
1589513484.711260466,1,22473,213144,-509678
1589513485.714761113,1,22788,204006,-505385
1589513486.718388491,1,21529,233117,-503422
1589513487.721806646,1,24047,333965,-498638
1589513488.725339130,1,22662,277983,-496553
1589513489.728860948,1,23040,167770,-497289
1589513490.732373962,1,21781,209275,-492382
1589513491.735915645,1,22253,246842,-489806
1589513492.739409468,1,24204,314780,-486494
1589513493.742957331,1,24078,267725,-484409
1589513494.746459601,1,20994,152050,-482814
1589513495.749975242,1,23260,207542,-479257
1589513496.753484608,1,21906,266237,-475209
1589513497.757013912,1,23291,300198,-473492
1589513498.760535143,1,22914,259060,-470916
1589513499.764061661,1,21592,144015,-470057
1589513500.767589091,1,24456,202291,-466745
1589513501.771123021,1,21749,269808,-461348
1589513502.774621378,1,24110,288644,-459630
1589513503.778135993,1,23165,249625,-458526
1589513504.781669021,1,21371,141740,-457054
1589513505.785182793,1,24834,199927,-454110
1589513506.788723737,1,25432,302613,-449204
1589513507.792226207,1,22662,265905,-448100
1589513508.795758254,1,20962,200453,-448468
1589513509.799254493,1,20584,169783,-445892
1589513510.802792416,1,22158,201888,-442212
1589513511.806313356,1,23763,302596,-439268
1589513512.809836518,1,23921,246754,-437796
1589513513.813359827,1,21718,131779,-438409
1589513514.816876693,1,24236,184505,-434484
1589513515.820391946,1,22914,259603,-430804
1589513516.823921359,1,21403,267078,-428228
1589513517.827436804,1,23040,222422,-427124
1589513518.830958772,1,20836,146554,-426511
1589513519.834483867,1,22158,189704,-424793
1589513520.838009986,1,21592,296574,-420868
1589513521.841514896,1,22158,238386,-419887
1589513522.845058045,1,20931,124252,-419764
1589513523.848580185,1,22221,175332,-415471
1589513524.852088690,1,21308,254229,-412036
1589513525.855620085,1,22819,255629,-411300
1589513526.859130056,1,20521,205897,-409460
1589513527.862658662,1,22190,142458,-408111
1589513528.866187967,1,22536,180864,-406148
1589513529.869703533,1,21088,285826,-400751
1589513530.873214939,1,23858,229109,-401732
1589513531.876752234,1,20647,114449,-401364
1589513532.880267506,1,21120,165582,-399647
1589513533.883795251,1,20679,228846,-393636
1589513534.887312630,1,23638,255804,-394495
1589513535.890829978,1,24928,216715,-393636
1589513536.894377820,1,21340,108515,-392532
1589513537.897889013,1,22190,166615,-389588
1589513538.901407699,1,23071,257222,-385663
1589513539.904931498,1,22347,243183,-385663
1589513540.908451500,1,22977,207105,-383945
1589513541.911978268,1,19105,106729,-382596
1589513542.915506587,1,24267,162606,-380388
1589513543.919019684,1,24267,253161,-377689
1589513544.922533605,1,25967,241117,-378548
1589513545.926054772,1,20962,206772,-376585
1589513546.929588313,1,20647,98747,-375359
1589513547.933092984,1,21151,156847,-373273
1589513548.936617986,1,22882,226045,-368857
1589513549.940163338,1,23669,243953,-367017
1589513550.943669568,1,22693,205564,-367017
1589513551.947192643,1,22819,92410,-367876
1589513552.950715792,1,20773,151595,-363215
1589513553.954241349,1,21214,226115,-362111
1589513554.957746653,1,23040,236251,-361252
1589513555.961291793,1,21655,199507,-358676
1589513556.964820182,1,21182,92042,-359535
1589513557.968324406,1,21182,150510,-356345
1589513558.971865596,1,21214,246999,-352052
1589513559.975374164,1,22945,222702,-353524
1589513560.978901152,1,24519,177433,-351684
1589513561.982412945,1,21277,106729,-351316
1589513562.985944113,1,24550,150405,-349476
1589513563.989468414,1,26817,258798,-346409
1589513564.993002517,1,21088,207350,-347268
1589513565.996539791,1,23165,122554,-347636
1589513567.000048242,1,22977,124585,-344079
1589513568.003557126,1,23323,153608,-342729
1589513569.007087096,1,24078,250973,-338927
1589513570.010609647,1,18759,197004,-339417
1589513571.014122701,1,21151,86423,-339908
1589513572.017660132,1,18318,132059,-335615
1589513573.021186388,1,21781,174107,-334879
1589513574.024706252,1,22693,236146,-335124
1589513575.028231606,1,25274,191280,-333284
1589513576.031750915,1,20270,77180,-334511
1589513577.035275080,1,22662,133162,-332180
1589513578.038799412,1,22851,189162,-328991
1589513579.042315826,1,23449,227253,-328255
1589513580.045848758,1,21120,186676,-328868
1589513581.049386119,1,20962,72821,-329604
1589513582.052885815,1,20773,131954,-327396
1589513583.056412352,1,23449,193153,-324329
1589513584.059935221,1,20647,224067,-323961
1589513585.063459207,1,22662,184033,-323348
1589513586.066982324,1,20931,70686,-323716
1589513587.070513957,1,21781,126825,-320649
1589513588.074028973,1,23480,171831,-318319
1589513589.077555281,1,24015,228303,-317215
1589513590.081075762,1,22630,183245,-316111
1589513591.084605628,1,21623,73364,-317951
1589513592.088135742,1,22253,119211,-315007
1589513593.091653676,1,21623,151018,-313412
1589513594.095171589,1,22032,230964,-311327
1589513595.098708736,1,22001,181319,-309855
1589513596.102220866,1,22567,70616,-311817
1589513597.105757817,1,22851,118650,-308260
1589513598.109270987,1,23040,160628,-306543
1589513599.112805169,1,22190,221039,-305561
1589513600.116314538,1,20238,176768,-306052
1589513601.119829594,1,19672,62266,-309241
1589513602.123370569,1,23763,120558,-305807
1589513603.126889948,1,19672,189879,-303108
