RocketLogger CSV File
File Version,3
Block Size,1
Block Count,849                 
Sample Count,849                 
Sample Rate,1
MAC Address,40:bd:32:e9:18:c6
Start Time,Sat Apr 25 00:10:58 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1587773585.781810767,1,21380,-4892838,-73589254
1587773586.785261974,1,23373,-4979960,-73598225
1587773587.788710354,1,20273,-4920494,-73592449
1587773588.792129802,1,20526,-4872070,-73584093
1587773589.795602679,1,21760,-4872035,-73581144
1587773590.799024964,1,20590,-4906824,-73582742
1587773591.802524590,1,19324,-4954688,-73588886
1587773592.805956402,1,21222,-4909365,-73581267
1587773593.809392061,1,21918,-4825503,-73569716
1587773594.812871216,1,20906,-4897307,-73575860
1587773595.816314925,1,21728,-4997837,-73585814
1587773596.819728891,1,20400,-4912450,-73576352
1587773597.823196899,1,24670,-4818528,-73563941
1587773598.826641463,1,23594,-4887650,-73569225
1587773599.830125665,1,19767,-4961856,-73576966
1587773600.833569036,1,19071,-4922685,-73572420
1587773601.836968793,1,20558,-4887650,-73566276
1587773602.840440259,1,22677,-4863955,-73560746
1587773603.843898194,1,22709,-4901216,-73563818
1587773604.847300618,1,19957,-4965186,-73571805
1587773605.850786267,1,21380,-4908892,-73563081
1587773606.854240949,1,21950,-4817336,-73549809
1587773607.857681687,1,22266,-4895344,-73558657
1587773608.861129541,1,21001,-4996680,-73569225
1587773609.864606090,1,20969,-4912327,-73560009
1587773610.867995237,1,22519,-4828325,-73547843
1587773611.871487447,1,21633,-4882655,-73550915
1587773612.874932227,1,21032,-4945206,-73558534
1587773613.878375296,1,21001,-4924648,-73556814
1587773614.881856902,1,22044,-4893206,-73552267
1587773615.885331125,1,22456,-4860117,-73544403
1587773616.888728069,1,20431,-4899849,-73549318
1587773617.892179849,1,22772,-4961996,-73556814
1587773618.895629910,1,19388,-4907700,-73549564
1587773619.899090515,1,24069,-4823119,-73536415
1587773620.902536824,1,23531,-4895520,-73543420
1587773621.906002432,1,22361,-4993928,-73557059
1587773622.909421360,1,23594,-4909295,-73545386
1587773623.912876604,1,22108,-4809659,-73532360
1587773624.916289489,1,24638,-4892295,-73539242
1587773625.919761116,1,22203,-4992193,-73550547
1587773626.923226636,1,23183,-4912415,-73542560
1587773627.926677258,1,22898,-4826309,-73529166
1587773628.930116466,1,21950,-4883444,-73535064
1587773629.933582944,1,19704,-4953934,-73542928
1587773630.936926128,1,21349,-4921108,-73539979
1587773631.940472194,1,22677,-4884899,-73533835
1587773632.943911751,1,22835,-4862623,-73528797
1587773633.947358204,1,22203,-4899586,-73532975
1587773634.950778659,1,20748,-4961768,-73541454
1587773635.954249159,1,24227,-4906666,-73533466
1587773636.957714694,1,23183,-4815776,-73521670
1587773637.961180261,1,22297,-4893977,-73530394
1587773638.964604703,1,23499,-4994647,-73540716
1587773639.968032244,1,23752,-4911083,-73531746
1587773640.971509951,1,23246,-4832811,-73521055
1587773641.974960214,1,25650,-4877555,-73523636
1587773642.978407134,1,22898,-4919933,-73529411
1587773643.981849429,1,22234,-4937582,-73531869
1587773644.985212787,1,23689,-4905352,-73526954
1587773645.988765864,1,22424,-4825275,-73515034
1587773646.992204254,1,22993,-4893767,-73523267
1587773647.995662458,1,22076,-4994367,-73535064
1587773648.999142515,1,20621,-4911205,-73525233
1587773650.002648190,1,15687,-4844484,-73516755
1587773651.005997421,1,22487,-4870545,-73517369
1587773652.009449533,1,25207,-4900620,-73520932
1587773653.012893638,1,22804,-4965116,-73545877
1587773654.016348649,1,24733,-4906070,-73517492
1587773655.019794377,1,26536,-4808345,-73506187
1587773656.023244057,1,22392,-4885793,-73515034
1587773657.026692144,1,22962,-4943681,-73522038
1587773658.030150814,1,23499,-4931939,-73521916
1587773659.033590705,1,21697,-4904791,-73517983
1587773660.037045409,1,23373,-4816898,-73505572
1587773661.040525405,1,24385,-4891594,-73513683
1587773662.043938798,1,22867,-4981432,-73524619
1587773663.047392393,1,20083,-4918268,-73518966
1587773664.050848961,1,22804,-4898008,-73518721
1587773665.054273185,1,22044,-4830936,-73505204
1587773666.057735537,1,21791,-4892680,-73512822
1587773667.061187085,1,18123,-4987023,-73523267
1587773668.064652981,1,18660,-4917269,-73516755
1587773669.068071094,1,21412,-4898727,-73511839
1587773670.071543553,1,23215,-4825468,-73503606
1587773671.074979299,1,23310,-4891173,-73509136
1587773672.078431610,1,19103,-4974737,-73518598
1587773673.081879055,1,23151,-4922825,-73513683
1587773674.085333387,1,21570,-4903459,-73511348
1587773675.088774446,1,23499,-4813305,-73498322
1587773676.092233519,1,20621,-4888667,-73507293
1587773677.095678964,1,22645,-4954127,-73513805
1587773678.099127428,1,21602,-4930344,-73512331
1587773679.102581192,1,21096,-4904423,-73508030
1587773680.106020071,1,21602,-4809782,-73496725
1587773681.109469733,1,22487,-4887563,-73504466
1587773682.112921954,1,20368,-4953215,-73511348
1587773683.116370831,1,20969,-4928363,-73511225
1587773684.119828144,1,22645,-4903915,-73504835
1587773685.123271178,1,23942,-4815093,-73494759
1587773686.126721994,1,23879,-4890016,-73504221
1587773687.130176537,1,21096,-4975894,-73513191
1587773688.133621628,1,21222,-4918970,-73508890
1587773689.137038601,1,20906,-4897167,-73505081
1587773690.140533970,1,20337,-4835353,-73496602
1587773691.143961845,1,19704,-4892347,-73501640
1587773692.147417176,1,20590,-4993070,-73514911
1587773693.150863009,1,20937,-4909786,-73506310
1587773694.154329396,1,20779,-4845605,-73500166
1587773695.157761581,1,21728,-4869020,-73499060
1587773696.161213681,1,21222,-4900339,-73502623
1587773697.164653311,1,20843,-4955424,-73510119
1587773698.168110801,1,19989,-4904318,-73503483
1587773699.171577220,1,21190,-4812779,-73492301
1587773700.174987974,1,19957,-4890893,-73498814
1587773701.178455842,1,19230,-4991002,-73511594
1587773702.181910899,1,21285,-4910119,-73503975
1587773703.185356689,1,19989,-4845921,-73495619
1587773704.188846492,1,23246,-4869844,-73495865
1587773705.192241016,1,19894,-4903617,-73500166
1587773706.195701335,1,20937,-4949921,-73508030
1587773707.199163064,1,21096,-4903985,-73500903
1587773708.202613350,1,21475,-4813883,-73491195
1587773709.206043020,1,20463,-4890945,-73498937
1587773710.209503451,1,22076,-4989161,-73511839
1587773711.212968460,1,20178,-4911942,-73502500
1587773712.216400912,1,21317,-4860538,-73495988
1587773713.219867451,1,19925,-4864516,-73495250
1587773714.223281538,1,22013,-4896992,-73497462
1587773715.226765389,1,22171,-4964029,-73509382
1587773716.230180418,1,21254,-4904581,-73500166
1587773717.233662996,1,21190,-4807451,-73489106
1587773718.237116643,1,19862,-4888194,-73496971
1587773719.240562372,1,20526,-4974177,-73506924
1587773720.243978274,1,21254,-4916516,-73503483
1587773721.247453042,1,19419,-4890069,-73497094
1587773722.250892384,1,20811,-4845360,-73489352
1587773723.254323785,1,22203,-4893119,-73497339
1587773724.257807428,1,20748,-4989915,-73506924
1587773725.261222363,1,18312,-4908910,-73524865
1587773726.264688059,1,17110,-4834985,-73525725
1587773727.268139250,1,15750,-4869879,-73496602
1587773728.271623910,1,17237,-4897851,-73475344
1587773729.275023642,1,16130,-4962732,-73496848
1587773730.278489447,1,17427,-4904423,-73495250
1587773731.281945815,1,16984,-4806102,-73485420
1587773732.285385197,1,17395,-4883654,-73494144
1587773733.288827518,1,19925,-4945732,-73500903
1587773734.292253382,1,17395,-4926190,-73500289
1587773735.295759760,1,22329,-4901233,-73495988
1587773736.299185849,1,21349,-4826397,-73486649
1587773737.302633597,1,20969,-4891909,-73497462
1587773738.306108669,1,19483,-4992509,-73508890
1587773739.309533659,1,19641,-4908857,-73498077
1587773740.312970698,1,21665,-4842083,-73490089
