RocketLogger CSV File
File Version,3
Block Size,1
Block Count,771                 
Sample Count,771                 
Sample Rate,1
MAC Address,40:bd:32:e9:18:c6
Start Time,Fri Apr 24 23:11:08 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1587769868.485277539,1,-117309,-18001352,-59594483
1587769869.488698196,1,-115506,-18002421,-59323531
1587769870.492144753,1,-115475,-17849208,-59069045
1587769871.495589102,1,-116740,-17670670,-58841838
1587769872.499036829,1,-116234,-17705161,-58659360
1587769873.502478755,1,-114273,-17710296,-58494454
1587769874.505934889,1,-112786,-17663765,-58344048
1587769875.509371689,1,-114462,-17587106,-58196100
1587769876.512833475,1,-110635,-17445022,-58049994
1587769877.516283795,1,-110541,-17500510,-57938541
1587769878.519721939,1,-110256,-17573541,-57839991
1587769879.523181480,1,-111584,-17462250,-57726449
1587769880.526625517,1,-111110,-17407989,-57622738
1587769881.530066227,1,-107726,-17313559,-57519149
1587769882.533501552,1,-109528,-17353431,-57438539
1587769883.536955465,1,-112375,-17445267,-57370095
1587769884.540431708,1,-113071,-17322865,-57280515
1587769885.543869587,1,-111047,-17259719,-57200519
1587769886.547312858,1,-108327,-17211277,-57121384
1587769887.550755516,1,-108643,-17241089,-57060435
1587769888.554226791,1,-113703,-17338236,-57011283
1587769889.557645454,1,-110699,-17218778,-56936694
1587769890.561118605,1,-110952,-17154195,-56870953
1587769891.564560332,1,-110699,-17122560,-56808038
1587769892.568012811,1,-109339,-17151864,-56759623
1587769893.571468496,1,-110888,-17250483,-56723250
1587769894.574907036,1,-109022,-17134057,-56661687
1587769895.578375216,1,-108137,-17050282,-56603319
1587769896.581808555,1,-109149,-17058940,-56554289
1587769897.585252819,1,-108927,-17079569,-56514353
1587769898.588701757,1,-111331,-17167041,-56485722
1587769899.592130368,1,-109528,-17063900,-56433497
1587769900.595607966,1,-104911,-16950103,-56380413
1587769901.599057828,1,-110857,-17007046,-56346375
1587769902.602499744,1,-109528,-17027499,-56313689
1587769903.605941529,1,-107726,-17082250,-56288744
1587769904.609391564,1,-111584,-17006029,-56244630
1587769905.612852672,1,-106745,-16880858,-56195846
1587769906.616293482,1,-108959,-16961548,-56170287
1587769907.619736950,1,-108453,-16998616,-56145833
1587769908.623186892,1,-109687,-17012339,-56121380
1587769909.626661458,1,-110193,-16957219,-56084270
1587769910.630082926,1,-108611,-16833958,-56041385
1587769911.633535065,1,-108453,-16920888,-56021724
1587769912.636991345,1,-105765,-16976428,-56003292
1587769913.640433134,1,-106018,-16955729,-55978224
1587769914.643893085,1,-110066,-16916120,-55948241
1587769915.647328992,1,-106207,-16802411,-55908059
1587769916.650778880,1,-106935,-16888131,-55894051
1587769917.654234320,1,-109244,-16984928,-55883114
1587769918.657679869,1,-104594,-16901626,-55855466
1587769919.661124641,1,-107409,-16866189,-55828801
1587769920.664587775,1,-107061,-16808914,-55798572
1587769921.668016986,1,-106271,-16858653,-55782966
1587769922.671486428,1,-106935,-16966648,-55779894
1587769923.674927526,1,-106239,-16859441,-55748683
1587769924.678367157,1,-104594,-16762802,-55717594
