RocketLogger CSV File
File Version,3
Block Size,1
Block Count,627                 
Sample Count,627                 
Sample Rate,1
MAC Address,40:bd:32:e9:18:c6
Start Time,Fri Apr 24 23:56:29 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1587772589.711547321,1,-6041,-7648776,-69382799
1587772590.714980810,1,-6547,-7567701,-69360066
1587772591.718392914,1,-6325,-7632670,-69358960
1587772592.721845116,1,-7432,-7715603,-69359943
1587772593.725305134,1,-4997,-7650845,-69341879
1587772594.728742463,1,-5724,-7598810,-69324307
1587772595.732188157,1,-5661,-7609816,-69315706
1587772596.735636491,1,-6452,-7636841,-69311159
1587772597.739100092,1,-6294,-7679202,-69310422
1587772598.742545047,1,-5250,-7638839,-69294202
1587772599.746008419,1,-4997,-7561146,-69274295
1587772600.749445547,1,-5281,-7624170,-69275524
1587772601.752907100,1,-7875,-7710311,-69280193
1587772602.756337051,1,-6357,-7639575,-69262744
1587772603.759795334,1,-6104,-7570943,-69243943
1587772604.763250768,1,-5882,-7606767,-69241486
1587772605.766719467,1,-6926,-7642748,-69239028
1587772606.770153598,1,-5471,-7658468,-69237185
1587772607.773586955,1,-7021,-7630251,-69224651
1587772608.777037760,1,-5534,-7559446,-69207079
1587772609.780492387,1,-5218,-7617335,-69208554
1587772610.783951802,1,-6863,-7703493,-69213715
1587772611.787391258,1,-5281,-7633108,-69198232
1587772612.790841724,1,-5471,-7575623,-69183732
1587772613.794284603,1,-6768,-7594989,-69178202
1587772614.797733679,1,-4965,-7621243,-69177588
1587772615.801186588,1,-9615,-7670719,-69180660
1587772616.804620828,1,-4143,-7625029,-69167143
1587772617.808088170,1,-4333,-7541131,-69149571
1587772618.811536882,1,-3732,-7607836,-69152151
1587772619.814975845,1,-8223,-7680394,-69158541
1587772620.818437856,1,-5724,-7634282,-69147851
1587772621.821900066,1,-6736,-7609781,-69138512
1587772622.825336062,1,-5629,-7572713,-69126961
1587772623.828768381,1,-4775,-7610009,-69127207
1587772624.832239189,1,-7274,-7690962,-69134702
1587772625.835649103,1,-4143,-7622242,-69122660
1587772626.839105435,1,-6831,-7540097,-69105703
1587772627.842583519,1,-6926,-7598091,-69107546
1587772628.846027064,1,-3827,-7656418,-69110986
1587772629.849501329,1,-4048,-7632758,-69106686
1587772630.852944190,1,-5851,-7607678,-69097592
1587772631.856388286,1,-4238,-7570926,-69087516
1587772632.859824225,1,-5661,-7606381,-69088745
1587772633.863256686,1,-5028,-7676082,-69095626
1587772634.866711589,1,-3795,-7616721,-69083707
1587772635.870186268,1,-3415,-7532544,-69066872
1587772636.873627901,1,-5313,-7600159,-69072279
1587772637.877058881,1,-5882,-7680306,-69079283
1587772638.880526328,1,-5661,-7622593,-69070067
1587772639.883941217,1,-2720,-7582966,-69059868
1587772640.887414369,1,-4143,-7576569,-69055444
1587772641.890849743,1,-3574,-7604716,-69056796
1587772642.894306810,1,-5566,-7664147,-69062080
1587772643.897754361,1,-2941,-7613023,-69051881
1587772644.901266871,1,-4301,-7529021,-69037504
1587772645.904712779,1,-3985,-7597390,-69043279
1587772646.908115808,1,-4269,-7680096,-69051266
1587772647.911559117,1,-6230,-7618158,-69041436
1587772648.915020262,1,-2372,-7567771,-69029639
1587772649.918446600,1,-4174,-7578585,-69026690
1587772650.921903750,1,-4143,-7608554,-69029885
1587772651.925347351,1,-5534,-7644816,-69033940
1587772652.928834245,1,-2941,-7609115,-69025461
1587772653.932264274,1,-4396,-7534787,-69011453
1587772654.935694014,1,-3352,-7596391,-69018703
1587772655.939142831,1,-7306,-7683671,-69028656
1587772656.942608192,1,-4269,-7612603,-69017720
1587772657.946055415,1,-4554,-7544864,-69005186
1587772658.949504116,1,-7211,-7580635,-69007398
1587772659.952951186,1,-4680,-7614145,-69008995
1587772660.956403732,1,-7590,-7637980,-69012559
1587772661.959864773,1,-3542,-7606749,-69004326
1587772662.963294533,1,-4143,-7531685,-68990195
1587772663.966747300,1,-4111,-7594183,-68997076
1587772664.970183123,1,-6547,-7680288,-69009364
1587772665.973649406,1,-6926,-7612059,-68996953
1587772666.977092101,1,-4965,-7559376,-68988106
1587772667.980554341,1,-3985,-7573204,-68986754
1587772668.984000833,1,-3320,-7598757,-68989580
1587772669.987414767,1,-4301,-7655892,-68997199
1587772670.990891867,1,-4301,-7605855,-68987491
1587772671.994331048,1,-4586,-7520538,-68973729
1587772672.997791852,1,-3637,-7587803,-68978890
1587772674.001254446,1,-5756,-7650932,-68986631
1587772675.004695229,1,-5661,-7620104,-68983682
1587772676.008157221,1,-4301,-7601158,-68978767
1587772677.011587051,1,-4680,-7535856,-68966233
1587772678.015044991,1,-4427,-7591151,-68972500
1587772679.018488816,1,-5345,-7674768,-68983068
1587772680.021920486,1,-4839,-7612252,-68973360
1587772681.025391487,1,-7306,-7588557,-68968813
1587772682.028849115,1,-1992,-7549404,-68959474
1587772683.032279588,1,-3890,-7591168,-68964390
1587772684.035741146,1,-7211,-7677484,-68976678
1587772685.039187957,1,-5851,-7608940,-68967462
1587772686.042630082,1,-7053,-7573327,-68959229
1587772687.046079166,1,-3637,-7557939,-68954313
1587772688.049536725,1,-3700,-7591133,-68957017
1587772689.052974601,1,-5693,-7675837,-68969674
1587772690.056429839,1,-2498,-7605855,-68959229
1587772691.059881744,1,-4934,-7553032,-68950504
1587772692.063329211,1,-7495,-7565983,-68949644
1587772693.066790350,1,-4048,-7592027,-68953699
1587772694.070244542,1,-7590,-7669580,-68963407
1587772695.073669232,1,-6199,-7603664,-68953330
1587772696.077108737,1,-5345,-7530002,-68941288
1587772697.080572625,1,-3194,-7573958,-68945097
1587772698.084028265,1,-3067,-7600440,-68948415
1587772699.087464682,1,-5946,-7644693,-68956034
1587772700.090954820,1,-4174,-7601544,-68947555
1587772701.094367375,1,-5408,-7516700,-68933915
1587772702.097806966,1,-3574,-7584649,-68941042
1587772703.101261402,1,-4333,-7656155,-68950627
1587772704.104717653,1,-5123,-7612498,-68945712
1587772705.108162677,1,-5250,-7587015,-68940674
1587772706.111604632,1,-4934,-7553382,-68933669
1587772707.115055303,1,-4839,-7589503,-68938953
1587772708.118516406,1,-4111,-7665794,-68957877
1587772709.121969658,1,-3668,-7601351,-68942271
1587772710.125396773,1,-3763,-7514089,-68918678
1587772711.128849361,1,-2878,-7584929,-68943131
1587772712.132310174,1,-5882,-7663358,-68937479
1587772713.135752398,1,-2087,-7607362,-68933669
1587772714.139220479,1,-3700,-7559534,-68929491
1587772715.142670252,1,-6167,-7568700,-68937970
1587772716.146107545,1,-7242,-7600107,-68932809
1587772717.149560041,1,-5345,-7628586,-68937602
1587772718.153016363,1,-5028,-7597565,-68930597
1587772719.156462727,1,-4617,-7535751,-68919538
1587772720.159915285,1,-5724,-7587435,-68927280
1587772721.163356562,1,-4238,-7667722,-68938462
1587772722.166806308,1,-3953,-7599616,-68930106
1587772723.170249644,1,-5060,-7514299,-68916712
1587772724.173724872,1,-5503,-7585245,-68925314
1587772725.177161767,1,-5534,-7673926,-68937724
1587772726.180591020,1,-5471,-7601053,-68927525
1587772727.184044807,1,-6515,-7516139,-68915483
1587772728.187500179,1,-5471,-7581284,-68922979
1587772729.190949571,1,-6673,-7663866,-68933424
1587772730.194398886,1,-5471,-7605277,-68926665
1587772731.197862041,1,-6199,-7543235,-68916343
1587772732.201294753,1,-3858,-7571154,-68919169
1587772733.204740017,1,-5028,-7616318,-68925191
1587772734.208178808,1,-7242,-7616932,-68927771
1587772735.211632968,1,-6041,-7592413,-68921873
1587772736.215104199,1,-5028,-7544864,-68914377
1587772737.218517589,1,-4269,-7587137,-68921013
1587772738.221984306,1,-4965,-7665654,-68931458
1587772739.225438365,1,-5092,-7599826,-68927280
1587772740.228913703,1,-4333,-7514667,-68917326
1587772741.232352277,1,-5123,-7580442,-68923225
1587772742.235753459,1,-6357,-7644903,-68924208
1587772743.239219584,1,-6199,-7610377,-68919907
1587772744.242657877,1,-5313,-7588259,-68917081
1587772745.246150070,1,-5155,-7547283,-68933055
1587772746.249590086,1,-4744,-7586419,-68912165
1587772747.253010010,1,-5345,-7669615,-68929860
1587772748.256488643,1,-4269,-7599248,-68916220
1587772749.259914647,1,-4238,-7519417,-68903441
