RocketLogger CSV File
File Version,3
Block Size,1
Block Count,653                 
Sample Count,653                 
Sample Rate,1
MAC Address,40:bd:32:e9:18:c6
Start Time,Fri Apr 24 23:41:28 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1587771688.742870035,1,-25618,-9575750,-65080128
1587771689.746265162,1,-29003,-9531899,-65060958
1587771690.749703762,1,-24638,-9528762,-65044369
1587771691.753177889,1,-25618,-9555297,-65036382
1587771692.756630180,1,-29414,-9610924,-65034539
1587771693.760065387,1,-27611,-9558907,-65015861
1587771694.763499016,1,-25555,-9473257,-64992268
1587771695.766926399,1,-27643,-9541311,-64991776
1587771696.770413634,1,-27168,-9615288,-64992391
1587771697.773868879,1,-24606,-9563569,-64978751
1587771698.777324009,1,-26125,-9537210,-64964374
1587771699.780730738,1,-26599,-9503227,-64951349
1587771700.784200924,1,-25429,-9539260,-64946556
1587771701.787655436,1,-27738,-9620476,-64952332
1587771702.791107757,1,-28718,-9549355,-64936726
1587771703.794543280,1,-25650,-9472854,-64916819
1587771704.798066671,1,-25682,-9519228,-64916573
1587771705.801449557,1,-26820,-9548304,-64913624
1587771706.804904327,1,-25049,-9582637,-64913624
1587771707.808354635,1,-25713,-9542485,-64901950
1587771708.811791439,1,-26725,-9457414,-64884870
1587771709.815261181,1,-26346,-9523767,-64885976
1587771710.818691471,1,-27073,-9579500,-64889908
1587771711.822161336,1,-27263,-9559240,-64884501
1587771712.825597756,1,-27738,-9537403,-64875900
1587771713.829058188,1,-25492,-9459639,-64860540
1587771714.832522239,1,-24796,-9523259,-64862629
1587771715.835976457,1,-26125,-9595589,-64869510
1587771716.839409699,1,-29287,-9549829,-64860908
1587771717.842855122,1,-27769,-9532145,-64854887
1587771718.846307397,1,-24195,-9463688,-64840510
1587771719.849760284,1,-26504,-9522120,-64844442
1587771720.853195059,1,-26662,-9598393,-64853658
1587771721.856650730,1,-26978,-9546393,-64844319
1587771722.860105224,1,-26441,-9529551,-64837561
1587771723.863548587,1,-26504,-9459359,-64821341
1587771724.866984865,1,-26504,-9518632,-64828468
1587771725.870435714,1,-27896,-9590577,-64836332
1587771726.873902805,1,-27801,-9545920,-64829819
1587771727.877335280,1,-24322,-9528973,-64823921
1587771728.880791901,1,-24069,-9453628,-64810036
1587771729.884210755,1,-26061,-9516599,-64815442
1587771730.887667160,1,-27263,-9584951,-64823921
1587771731.891132091,1,-24796,-9545710,-64818023
1587771732.894586209,1,-26472,-9527851,-64812370
1587771733.898032246,1,-24037,-9451174,-64798976
1587771734.901495054,1,-27579,-9514478,-64805243
1587771735.904945362,1,-25682,-9580499,-64814336
1587771736.908394112,1,-25808,-9546166,-64807824
1587771737.911809373,1,-25745,-9527132,-64803892
1587771738.915284443,1,-25840,-9445811,-64790252
1587771739.918720424,1,-25492,-9511219,-64797010
1587771740.922169216,1,-26156,-9558767,-64804998
1587771741.925624468,1,-27137,-9557540,-64805120
1587771742.929076063,1,-23310,-9527290,-64798485
1587771743.932530709,1,-27231,-9443200,-64785828
1587771744.936016281,1,-26314,-9503507,-64792587
1587771745.939412429,1,-26662,-9527570,-64796519
1587771746.942881143,1,-27643,-9581305,-64803523
1587771747.946324523,1,-24733,-9527711,-64792587
1587771748.949760688,1,-25935,-9455486,-64781896
1587771749.953237891,1,-26915,-9494306,-64784968
1587771750.956646553,1,-26599,-9516512,-64788654
1587771751.960116985,1,-25903,-9598358,-64800205
1587771752.963559986,1,-26314,-9529288,-64789637
1587771753.967029418,1,-25524,-9484001,-64784108
1587771754.970462563,1,-26378,-9482932,-64780790
1587771755.973917735,1,-24575,-9514829,-64786074
1587771756.977371875,1,-26694,-9601513,-64797133
1587771757.980820303,1,-25777,-9531058,-64788654
1587771758.984256047,1,-26567,-9498600,-64783862
1587771759.987737436,1,-25524,-9477165,-64778701
1587771760.991135669,1,-23721,-9514110,-64783862
1587771761.994613144,1,-27326,-9601478,-64796887
1587771762.998066483,1,-25397,-9530813,-64788531
1587771764.001532214,1,-25713,-9497005,-64783862
1587771765.004954246,1,-26093,-9478287,-64778701
1587771766.008415084,1,-26219,-9514584,-64784231
1587771767.011866833,1,-26504,-9599830,-64798485
1587771768.015315795,1,-26567,-9531934,-64788900
1587771769.018813019,1,-27105,-9506452,-64783739
1587771770.022183316,1,-25429,-9467912,-64774892
1587771771.025685983,1,-30521,-9512621,-64779684
1587771772.029105707,1,-28528,-9594064,-64802909
1587771773.032557828,1,-26030,-9537227,-64784968
1587771774.035994633,1,-28180,-9521068,-64774646
1587771775.039461719,1,-24796,-9449282,-64803154
1587771776.042906020,1,-28845,-9506399,-64770099
1587771777.046347969,1,-25650,-9554333,-64794061
1587771778.049801901,1,-27896,-9554420,-64784354
1587771779.053248289,1,-25777,-9523592,-64779438
1587771780.056698151,1,-25871,-9441079,-64771328
1587771781.060147330,1,-28560,-9502666,-64780544
1587771782.063598917,1,-27801,-9534020,-64799222
1587771783.067053192,1,-25018,-9569440,-64788654
1587771784.070494246,1,-27738,-9524731,-64785705
1587771785.073944970,1,-27073,-9445128,-64777718
1587771786.077401256,1,-29509,-9499161,-64783985
1587771787.080840610,1,-26093,-9523259,-64787917
1587771788.084297342,1,-28370,-9579868,-64798239
1587771789.087737567,1,-25871,-9526238,-64791603
1587771790.091192178,1,-27453,-9450631,-64780913
1587771791.094640741,1,-27548,-9497075,-64785705
1587771792.098088118,1,-28180,-9519333,-64790620
1587771793.101555519,1,-28750,-9587878,-64802171
1587771794.104979253,1,-27991,-9527150,-64794676
1587771795.108434884,1,-27927,-9462356,-64785214
1587771796.111884413,1,-31153,-9491957,-64790006
1587771797.115344834,1,-28338,-9516284,-64792955
1587771798.118780049,1,-28750,-9599603,-64808438
1587771799.122232532,1,-27168,-9531058,-64798485
1587771800.125688553,1,-26947,-9499722,-64795904
1587771801.129139592,1,-29509,-9473380,-64791481
1587771802.132583037,1,-26884,-9515039,-64798853
1587771803.136046888,1,-27769,-9597938,-64811019
1587771804.139477541,1,-27137,-9537210,-64805981
1587771805.142926767,1,-26757,-9521261,-64803523
1587771806.146373397,1,-26536,-9456099,-64794061
1587771807.149830696,1,-28117,-9514461,-64803277
1587771808.153274504,1,-26061,-9588666,-64813845
1587771809.156720212,1,-29066,-9541136,-64810527
1587771810.160168656,1,-27927,-9524521,-64809790
1587771811.163623576,1,-26599,-9453751,-64798485
1587771812.167110854,1,-27769,-9514689,-64807947
1587771813.170541935,1,-29003,-9589297,-64820480
1587771814.173978089,1,-28497,-9541521,-64818637
1587771815.177409904,1,-30489,-9524521,-64813476
1587771816.180862338,1,-26314,-9457151,-64805243
1587771817.184325995,1,-29319,-9516214,-64813845
1587771818.187769247,1,-30647,-9596325,-64828222
1587771819.191229160,1,-27421,-9539138,-64820235
1587771820.194667788,1,-27516,-9520858,-64817900
1587771821.198116035,1,-28054,-9465353,-64811019
1587771822.201566343,1,-27485,-9517142,-64820112
1587771823.205022656,1,-27579,-9600006,-64831663
1587771824.208466029,1,-27168,-9539190,-64824781
1587771825.211895600,1,-27959,-9520613,-64824904
1587771826.215365510,1,-25998,-9467018,-64816548
1587771827.218824306,1,-26156,-9518001,-64826747
1587771828.222275135,1,-30299,-9602424,-64837807
1587771829.225704452,1,-28433,-9538612,-64831908
1587771830.229152058,1,-26504,-9517072,-64830311
1587771831.232604042,1,-25365,-9472749,-64822569
1587771832.236049441,1,-27453,-9519070,-64830188
1587771833.239508596,1,-29414,-9605982,-64845057
1587771834.242938759,1,-27801,-9537788,-64839404
1587771835.246417425,1,-26820,-9504769,-64833629
1587771836.249851356,1,-28149,-9484491,-64829697
1587771837.253306003,1,-29509,-9520718,-64837069
1587771838.256753949,1,-29287,-9606893,-64852307
1587771839.260205290,1,-27010,-9535422,-64842968
1587771840.263675462,1,-26631,-9479970,-64837807
1587771841.267101279,1,-27579,-9496690,-64837438
1587771842.270552509,1,-27137,-9522505,-64842230
1587771843.274001163,1,-25555,-9601145,-64854027
1587771844.277450087,1,-26093,-9533722,-64846654
1587771845.280900025,1,-28180,-9465073,-64840633
1587771846.284346694,1,-27073,-9501737,-64844442
1587771847.287805812,1,-26125,-9525362,-64850586
1587771848.291250114,1,-28117,-9595256,-64860540
1587771849.294706009,1,-26283,-9534125,-64855993
1587771850.298116204,1,-29161,-9457484,-64845180
1587771851.301571003,1,-28686,-9505786,-64850586
1587771852.305042802,1,-26093,-9530217,-64855624
1587771853.308497584,1,-25650,-9585459,-64864840
1587771854.311937659,1,-27231,-9534143,-64859557
1587771855.315397885,1,-27832,-9450964,-64848743
1587771856.318874426,1,-28117,-9510114,-64855870
1587771857.322289558,1,-28022,-9539208,-64861154
1587771858.325736857,1,-29192,-9578098,-64870001
1587771859.329159228,1,-26188,-9534511,-64866315
1587771860.332632187,1,-26156,-9449615,-64851201
1587771861.336062043,1,-29572,-9512042,-64860417
1587771862.339533741,1,-27516,-9547042,-64866929
1587771863.342990739,1,-30964,-9571684,-64873688
1587771864.346438525,1,-25840,-9534388,-64869633
1587771865.349880339,1,-28750,-9450771,-64857590
1587771866.353310077,1,-28338,-9516003,-64867052
1587771867.356748528,1,-28908,-9564200,-64875531
1587771868.360237577,1,-27896,-9560484,-64878972
1587771869.363672798,1,-25840,-9534406,-64875040
1587771870.367131747,1,-26378,-9454031,-64862751
1587771871.370578152,1,-27991,-9520613,-64872090
1587771872.374037828,1,-26978,-9588771,-64883518
1587771873.377484456,1,-24132,-9550547,-64879586
1587771874.380927523,1,-25587,-9532653,-64879095
1587771875.384376169,1,-26314,-9466387,-64869264
1587771876.387826020,1,-26472,-9524311,-64877866
1587771877.391271144,1,-26125,-9607226,-64891874
1587771878.394734675,1,-27453,-9545500,-64884993
1587771879.398145919,1,-25777,-9521016,-64883027
1587771880.401625903,1,-25840,-9483054,-64876760
1587771881.405065414,1,-22361,-9526098,-64883887
1587771882.408523988,1,-26694,-9612344,-64897650
1587771883.411980698,1,-24701,-9543800,-64890154
1587771884.415413019,1,-25555,-9513515,-64887205
1587771885.418866582,1,-26251,-9488189,-64882535
1587771886.422316821,1,-28244,-9526869,-64890031
1587771887.425762802,1,-28781,-9613238,-64904039
1587771888.429218887,1,-28180,-9544115,-64897281
1587771889.432681042,1,-27864,-9510447,-64893226
1587771890.436113577,1,-28307,-9491011,-64888434
1587771891.439563648,1,-28971,-9527886,-64896298
1587771892.443007652,1,-30584,-9613921,-64910429
1587771893.446469850,1,-25682,-9544869,-64902196
1587771894.449915404,1,-26978,-9515688,-64898510
1587771895.453361014,1,-25650,-9488102,-64894086
1587771896.456808259,1,-25966,-9528534,-64901459
1587771897.460260771,1,-32861,-9614254,-64916328
1587771898.463718810,1,-27801,-9546674,-64907480
1587771899.467153668,1,-27137,-9519263,-64905514
1587771900.470604490,1,-27611,-9487313,-64900967
1587771901.474054169,1,-28845,-9528937,-64906743
1587771902.477515466,1,-27516,-9614079,-64921611
1587771903.480962231,1,-26978,-9550074,-64916205
1587771904.484410363,1,-27168,-9533599,-64913624
1587771905.487852931,1,-27738,-9469699,-64906006
1587771906.491297599,1,-30110,-9527413,-64913624
1587771907.494747678,1,-27516,-9594450,-64925421
1587771908.498195146,1,-27042,-9561448,-64923577
1587771909.501644204,1,-27959,-9541013,-64920997
1587771910.505092966,1,-26631,-9456537,-64910675
1587771911.508545452,1,-30869,-9520858,-64919768
1587771912.512002033,1,-27611,-9546691,-64924806
1587771913.515446482,1,-29003,-9594818,-64935251
1587771914.518886651,1,-25998,-9543677,-64928124
1587771915.522342360,1,-25871,-9470856,-64919645
1587771916.525787839,1,-24796,-9511674,-64924315
1587771917.529232685,1,-27231,-9533845,-64931073
1587771918.532687776,1,-27137,-9615569,-64944590
1587771919.536141894,1,-28497,-9547322,-64936971
1587771920.539593148,1,-25429,-9502140,-64931073
1587771921.543038600,1,-29888,-9500615,-64929107
1587771922.546486926,1,-27706,-9533284,-64937217
1587771923.549932029,1,-29635,-9620546,-64950365
1587771924.553371977,1,-27801,-9551441,-64944959
1587771925.556791650,1,-27706,-9528569,-64940166
1587771926.560272730,1,-25871,-9485052,-64934637
1587771927.563752816,1,-25998,-9533196,-64942132
1587771928.567189973,1,-28085,-9614237,-64955035
1587771929.570628137,1,-28623,-9557785,-64949751
1587771930.574055371,1,-26314,-9542450,-64947662
1587771931.577540094,1,-26725,-9469734,-64938200
1587771932.580968323,1,-26662,-9531847,-64947416
1587771933.584450760,1,-27358,-9594941,-64959090
1587771934.587879313,1,-27864,-9566636,-64957001
1587771935.591322243,1,-25713,-9545745,-64955404
1587771936.594791091,1,-25302,-9462076,-64944959
1587771937.598227434,1,-26694,-9528044,-64951594
1587771938.601680325,1,-28528,-9564182,-64960687
1587771939.605123837,1,-28781,-9586072,-64965726
1587771940.608576743,1,-25998,-9547533,-64962039
1587771941.612044653,1,-27832,-9466667,-64950734
1587771942.615468515,1,-27485,-9520262,-64959459
1587771943.618905785,1,-26536,-9540575,-64963759
1587771944.622367414,1,-28244,-9618163,-64975925
1587771945.625809801,1,-29351,-9551494,-64969412
1587771946.629317772,1,-30363,-9509378,-64963145
1587771947.632717259,1,-27738,-9502193,-64962285
1587771948.636174842,1,-29351,-9537613,-64968183
1587771949.639619754,1,-28655,-9622982,-64981823
1587771950.643063475,1,-29540,-9559608,-64976170
1587771951.646521482,1,-26504,-9543957,-64974696
1587771952.649975052,1,-24417,-9474712,-64965603
1587771953.653414022,1,-29003,-9535667,-64974450
1587771954.656866728,1,-28054,-9593609,-64984035
1587771955.660313573,1,-29445,-9574698,-64982806
1587771956.663778565,1,-27706,-9550232,-64980963
1587771957.667207313,1,-29509,-9465248,-64971009
1587771958.670662303,1,-27200,-9529691,-64978874
1587771959.674109112,1,-28908,-9560765,-64984526
1587771960.677556669,1,-30046,-9594660,-64991653
1587771961.681031894,1,-27263,-9551774,-64988827
1587771962.684472499,1,-28307,-9469524,-64977891
1587771963.687911236,1,-27295,-9525958,-64985509
1587771964.691355932,1,-26536,-9549671,-64990056
1587771965.694800220,1,-27832,-9608366,-65002590
1587771966.698248011,1,-27832,-9553491,-64994971
1587771967.701703480,1,-28022,-9478708,-64985509
1587771968.705150054,1,-28433,-9523259,-64992759
1587771969.708606068,1,-25966,-9545237,-64996200
1587771970.712046802,1,-28718,-9620266,-65009471
1587771971.715506222,1,-29825,-9555577,-65002344
1587771972.718953781,1,-30205,-9490766,-64994480
1587771973.722393990,1,-26093,-9519929,-64996937
1587771974.725845434,1,-29414,-9544010,-65002098
1587771975.729287377,1,-32450,-9624823,-65014878
1587771976.732742248,1,-30173,-9556611,-65007259
1587771977.736191076,1,-26947,-9493973,-64999641
1587771978.739640539,1,-29699,-9521068,-65003081
1587771979.743079526,1,-29192,-9545465,-65008857
1587771980.746542792,1,-27548,-9624700,-65021513
1587771981.749988743,1,-30742,-9557715,-65013035
1587771982.753448249,1,-27579,-9494113,-65005416
1587771983.756893469,1,-29192,-9521401,-65009471
1587771984.760351903,1,-24796,-9545920,-65014755
1587771985.763778387,1,-28117,-9628223,-65026920
1587771986.767234054,1,-27295,-9559293,-65019793
1587771987.770671933,1,-28845,-9514408,-65015247
1587771988.774142137,1,-27927,-9511446,-65012912
1587771989.777573586,1,-28971,-9545430,-65018933
1587771990.781029742,1,-28939,-9631290,-65034047
1587771991.784485289,1,-27991,-9566969,-65027535
1587771992.787934654,1,-29509,-9553527,-65025814
1587771993.791383815,1,-29635,-9478830,-65016352
1587771994.794825798,1,-30489,-9542012,-65027289
