RocketLogger CSV File
File Version,3
Block Size,1
Block Count,626                 
Sample Count,626                 
Sample Rate,1
MAC Address,40:bd:32:e9:18:c6
Start Time,Sat Apr 25 00:43:41 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1587775421.302390253,1,61105,-912529,-79503507
1587775422.305777325,1,61295,-934226,-79503876
1587775423.309258323,1,61611,-966579,-79510265
1587775424.312708996,1,58797,-1059695,-79522676
1587775425.316144274,1,60157,-988014,-79517761
1587775426.319609064,1,62624,-973695,-79517024
1587775427.323060006,1,61738,-890113,-79505965
1587775428.326504181,1,60157,-960252,-79515549
1587775429.329942843,1,60062,-996006,-79520710
1587775430.333386712,1,59619,-1027833,-79527837
1587775431.336843270,1,64426,-977533,-79523168
1587775432.340291582,1,61896,-903959,-79516164
1587775433.343743205,1,61991,-938240,-79519604
1587775434.347190746,1,59366,-967210,-79525011
1587775435.350652627,1,57152,-1060467,-79538282
1587775436.354088061,1,59967,-988294,-79531892
1587775437.357536590,1,59619,-975150,-79531770
1587775438.360997078,1,62434,-885854,-79521079
1587775439.364440690,1,61011,-955047,-79529681
1587775440.367896170,1,60789,-972538,-79533121
1587775441.371343388,1,61643,-1056856,-79546515
1587775442.374772157,1,62276,-983457,-79540003
1587775443.378224013,1,61833,-970312,-79539388
1587775444.381680934,1,64332,-890674,-79529804
1587775445.385133094,1,63035,-957326,-79539880
1587775446.388578614,1,60884,-974711,-79543566
1587775447.392030612,1,59904,-1055682,-79558189
1587775448.395476945,1,60663,-983177,-79550202
1587775449.398930832,1,61548,-969156,-79563719
1587775450.402380531,1,62529,-892760,-79536316
1587775451.405829603,1,60663,-958991,-79546270
1587775452.409304232,1,59745,-981091,-79553642
1587775453.412725015,1,61453,-1048847,-79564947
1587775454.416173827,1,60758,-981266,-79558189
1587775455.419621755,1,60821,-956835,-79557452
1587775456.423070186,1,63351,-903573,-79548973
1587775457.426512376,1,59714,-962952,-79558189
1587775458.429962773,1,60473,-1000405,-79566299
1587775459.433416863,1,58702,-1034791,-79574041
1587775460.436864109,1,61580,-979338,-79567405
1587775461.440315397,1,62181,-935611,-79563719
1587775462.443760181,1,60157,-916525,-79561507
1587775463.447209957,1,62276,-965107,-79569371
1587775464.450666511,1,62023,-1019876,-79577850
1587775465.454117960,1,61074,-1023224,-79583011
1587775466.457558595,1,60947,-979093,-79577604
1587775467.461006559,1,61738,-921134,-79572812
1587775468.464452852,1,56519,-925341,-79571460
1587775469.467911495,1,59840,-966369,-79578833
1587775470.471359091,1,57658,-1042555,-79590138
1587775471.474807406,1,59303,-1004243,-79589155
1587775472.478247093,1,61580,-977936,-79587435
1587775473.481702157,1,60884,-890639,-79577235
1587775474.485143718,1,59745,-944637,-79583994
1587775475.488602347,1,61706,-968279,-79588049
1587775476.492039183,1,60504,-1062272,-79602303
1587775477.495492969,1,62718,-988277,-79597511
1587775478.498933043,1,60568,-974992,-79596896
1587775479.502392052,1,63920,-888203,-79585469
1587775480.505839592,1,61327,-958395,-79593824
1587775481.509293158,1,59587,-981880,-79599477
1587775482.512735693,1,61105,-1045096,-79611028
1587775483.516192372,1,60694,-980548,-79604392
1587775484.519636432,1,59208,-933753,-79601320
1587775485.523085623,1,61865,-924342,-79598494
1587775486.526536939,1,61232,-967123,-79605621
1587775487.529995549,1,60599,-1053035,-79618401
1587775488.533431733,1,61991,-994726,-79615083
1587775489.536886001,1,62371,-976920,-79615083
1587775490.540347520,1,58449,-885767,-79603901
1587775491.543781188,1,59429,-957483,-79612379
1587775492.547217754,1,60062,-982738,-79617418
1587775493.550703754,1,57784,-1041941,-79628231
1587775494.554124085,1,60947,-979987,-79623439
1587775495.557586897,1,62244,-924710,-79617540
1587775496.561009087,1,62402,-929547,-79616926
1587775497.564479240,1,61232,-967771,-79623439
1587775498.567915907,1,60979,-1057627,-79636956
1587775499.571372088,1,62023,-992483,-79633146
1587775500.574820956,1,61137,-976552,-79630443
1587775501.578268812,1,62149,-886590,-79619998
1587775502.581714957,1,61801,-957448,-79630197
1587775503.585173912,1,62592,-978269,-79663989
1587775504.588615219,1,60694,-1050932,-79643100
1587775505.592068667,1,62497,-981757,-79638184
1587775506.595523832,1,61611,-952278,-79636095
1587775507.598960517,1,60504,-910216,-79631303
1587775508.602416009,1,64015,-965738,-79639782
1587775509.605863148,1,59904,-1015670,-79647892
1587775510.609328894,1,61390,-1024889,-79653176
1587775511.612761408,1,63731,-979619,-79648015
1587775512.616211206,1,60821,-921870,-79641748
1587775513.619651452,1,59366,-925568,-79642608
1587775514.623102625,1,60378,-967210,-79649489
1587775515.626558178,1,58891,-1036806,-79657722
1587775516.630006692,1,62023,-1012095,-79659811
1587775517.633452303,1,59492,-979093,-79657354
1587775518.636858849,1,59208,-906728,-79649612
1587775519.640364507,1,61865,-934331,-79652316
1587775520.643811702,1,61706,-967981,-79659443
1587775521.647238493,1,58765,-1050144,-79669888
1587775522.650681343,1,61042,-1002876,-79667553
1587775523.654151064,1,61738,-978778,-79664358
1587775524.657590828,1,61865,-897316,-79657600
1587775525.661055600,1,61264,-938730,-79660917
1587775526.664517257,1,61706,-968490,-79669519
1587775527.667953838,1,59144,-1051844,-79682299
1587775528.671381950,1,60283,-1003297,-79676277
1587775529.674829900,1,62845,-978865,-79674803
1587775530.678283495,1,62086,-899665,-79667307
1587775531.681732997,1,57848,-937521,-79670625
1587775532.685173632,1,60410,-968402,-79676400
1587775533.688622212,1,60157,-1052790,-79688811
1587775534.692094449,1,61485,-1001456,-79684510
1587775535.695532493,1,61611,-978742,-79683159
1587775536.698985536,1,63794,-893391,-79674188
1587775537.702429531,1,62023,-942884,-79680701
1587775538.705876593,1,62592,-968735,-79683650
1587775539.709313654,1,60916,-1060957,-79700116
1587775540.712777584,1,62054,-992851,-79692252
1587775541.716203720,1,61264,-977814,-79690409
1587775542.719669077,1,60789,-886748,-79692989
1587775543.723130875,1,63035,-955433,-79718548
1587775544.726568412,1,61548,-974256,-79690900
1587775545.730041857,1,57215,-1056190,-79701714
1587775546.733526681,1,62972,-983439,-79698396
1587775547.736922885,1,59271,-956432,-79693972
1587775548.740365831,1,64711,-910163,-79690654
1587775549.743831548,1,61959,-966334,-79697167
1587775550.747274843,1,62529,-1019806,-79704786
1587775551.750685845,1,63225,-1020227,-79712404
1587775552.754156455,1,62560,-979584,-79706383
1587775553.757610994,1,61264,-906255,-79698027
1587775554.761059374,1,60821,-938205,-79701714
1587775555.764513939,1,60726,-968980,-79706875
1587775556.767969559,1,63035,-1059660,-79719531
1587775557.771410319,1,61105,-993622,-79714739
1587775558.774862354,1,62402,-978041,-79729485
1587775559.778303528,1,62972,-887029,-79710070
1587775560.781755095,1,63636,-956327,-79707612
1587775561.785201939,1,59935,-975640,-79712404
1587775562.788647069,1,61453,-1055068,-79728502
1587775563.792124587,1,60346,-983702,-79724324
1587775564.795555313,1,60726,-959359,-79721129
1587775565.799007165,1,57753,-907078,-79714862
1587775566.802454140,1,55223,-965738,-79720514
1587775567.805906663,1,56519,-1011499,-79764629
1587775568.809340841,1,56867,-1028569,-79726290
1587775569.812794156,1,57848,-980478,-79738455
1587775570.816256017,1,55286,-922203,-79717688
1587775571.819685205,1,55223,-928390,-79711790
1587775572.823137665,1,55476,-968332,-79723832
1587775573.826602152,1,55191,-1045639,-79738824
1587775574.830039507,1,51902,-1005102,-79734031
1587775575.833506052,1,52344,-979584,-79732434
1587775576.836968764,1,54906,-892830,-79725553
1587775577.840348487,1,61959,-945741,-79730836
1587775578.843814158,1,61485,-969979,-79735506
1587775579.847280166,1,60062,-1063288,-79749514
1587775580.850748391,1,61200,-991239,-79742879
1587775581.854169835,1,62782,-977866,-79742633
1587775582.857652694,1,61169,-887957,-79730836
1587775583.861089690,1,59334,-956870,-79739561
1587775584.864536134,1,59398,-976096,-79744108
1587775585.867972002,1,63193,-1054630,-79757133
1587775586.871451404,1,62086,-983510,-79747794
1587775587.874909440,1,62497,-949982,-79746074
1587775588.878316284,1,61422,-918050,-79741404
1587775589.881770677,1,58638,-968139,-79749269
1587775590.885222036,1,56077,-1046498,-79759222
1587775591.888705217,1,55033,-1000615,-79758853
1587775592.892117130,1,54622,-978970,-79755904
1587775593.895578229,1,53704,-886801,-79745091
1587775594.899020150,1,54400,-957308,-79753324
1587775595.902484697,1,58259,-982300,-79757502
1587775596.905914674,1,56836,-1042765,-79769544
1587775597.909385140,1,61928,-981354,-79762663
1587775598.912794665,1,63478,-915386,-79755413
1587775599.916280216,1,61358,-938783,-79756764
1587775600.919710740,1,64173,-969874,-79762417
1587775601.923153098,1,57215,-1063551,-79775811
1587775602.926634985,1,63541,-989977,-79769544
1587775603.930048977,1,62054,-975675,-79767578
1587775604.933509035,1,62655,-895178,-79758485
1587775605.936961044,1,62560,-963285,-79766595
1587775606.940381156,1,62402,-994200,-79772739
1587775607.943838313,1,61675,-1039207,-79782201
1587775608.947337238,1,60599,-981845,-79775934
1587775609.950754173,1,62149,-935856,-79770773
1587775610.954229320,1,61517,-921800,-79768438
1587775611.957651252,1,59492,-968332,-79774582
1587775612.961101469,1,61453,-1029200,-79784044
1587775613.964524612,1,60125,-1019946,-79785641
1587775614.968012898,1,59872,-980916,-79782201
1587775615.971448918,1,57626,-917436,-79775074
1587775616.974913256,1,57184,-930581,-79775811
1587775617.978339569,1,55096,-969138,-79782446
1587775618.981781745,1,56235,-1044903,-79792400
1587775619.985243402,1,53388,-1007923,-79792031
1587775620.988681933,1,54590,-980425,-79788959
1587775621.992138541,1,57057,-897159,-79781586
1587775622.995586411,1,55602,-943673,-79783429
1587775623.999043159,1,54843,-970260,-79789205
1587775625.002514711,1,55033,-1062903,-79801493
1587775626.005983068,1,54970,-992921,-79796578
1587775627.009383781,1,54052,-978445,-79794980
1587775628.012837249,1,55317,-888623,-79784658
1587775629.016292136,1,52344,-957886,-79792031
1587775630.019730899,1,54970,-978041,-79797684
1587775631.023158879,1,53325,-1053894,-79808620
1587775632.026632654,1,56519,-983632,-79801862
1587775633.030076125,1,57373,-949877,-79798790
1587775634.033527535,1,56266,-917822,-79794366
1587775635.036981435,1,54590,-968525,-79800264
1587775636.040431958,1,53515,-1040241,-79810832
1587775637.043882340,1,54906,-1006381,-79809603
1587775638.047313221,1,55570,-980127,-79806777
1587775639.050783088,1,56836,-888974,-79798298
1587775640.054217409,1,55539,-952856,-79804934
1587775641.057673428,1,54653,-973187,-79808620
1587775642.061117649,1,54084,-1059450,-79820662
1587775643.064579465,1,58702,-984842,-79814395
1587775644.068014143,1,59998,-953698,-79812061
1587775645.071476458,1,61264,-917769,-79806408
1587775646.074913722,1,59935,-968788,-79812921
1587775647.078369845,1,58765,-1044570,-79824963
1587775648.081814225,1,60410,-1004033,-79821891
1587775649.085262517,1,64395,-980320,-79820539
1587775650.088725277,1,61011,-889167,-79809726
1587775651.092168015,1,60410,-951700,-79815993
1587775652.095613947,1,59619,-972100,-79821523
1587775653.099070245,1,59239,-1064165,-79833933
1587775654.102506863,1,56867,-987418,-79826192
1587775655.105965055,1,61042,-971399,-79825578
1587775656.109413305,1,58354,-900121,-79817467
1587775657.112865447,1,59239,-965230,-79824595
1587775658.116304524,1,60062,-1002175,-79831599
1587775659.119751087,1,58891,-1034370,-79836760
1587775660.123202832,1,62624,-981950,-79831353
1587775661.126652243,1,61580,-921608,-79824840
1587775662.130097247,1,62434,-932281,-79825086
1587775663.133550059,1,60852,-970190,-79831967
1587775664.136998344,1,60536,-1055068,-79841798
1587775665.140445421,1,62813,-999826,-79840815
1587775666.143895270,1,60789,-979969,-79838234
1587775667.147346774,1,58828,-888308,-79825086
1587775668.150788553,1,55855,-953382,-79832950
1587775669.154234204,1,58354,-972696,-79838480
1587775670.157692258,1,57184,-1063253,-79851505
1587775671.161142941,1,56488,-987944,-79844133
1587775672.164593067,1,59745,-972451,-79842412
1587775673.168043794,1,57690,-898754,-79834179
1587775674.171478959,1,58259,-964809,-79841798
1587775675.174942204,1,59998,-998897,-79847696
1587775676.178382708,1,59998,-1037297,-79855929
1587775677.181835456,1,60030,-982511,-79849539
1587775678.185276841,1,57437,-927479,-79844501
1587775679.188734664,1,60062,-931545,-79843150
1587775680.192186218,1,62149,-970383,-79848925
1587775681.195641954,1,56298,-1054630,-79860721
1587775682.199077429,1,57721,-1000633,-79857404
1587775683.202533681,1,57500,-980530,-79855929
1587775684.205973513,1,58607,-889675,-79844624
1587775685.209421848,1,56836,-951209,-79851628
1587775686.212879393,1,57247,-972223,-79854823
1587775687.216331091,1,57658,-1064725,-79868463
1587775688.219765292,1,59018,-989749,-79861213
1587775689.223228126,1,57500,-976376,-79861336
1587775690.226666025,1,57215,-894074,-79850154
1587775691.230112981,1,57658,-962110,-79859370
1587775692.233567204,1,54179,-983895,-79862688
1587775693.237015744,1,56393,-1051598,-79873255
1587775694.240474337,1,57531,-984684,-79868463
1587775695.243915253,1,57405,-957571,-79865391
1587775696.247387659,1,61865,-908638,-79857649
1587775697.250818649,1,58702,-966790,-79864899
1587775698.254266207,1,57690,-1000562,-79870429
1587775699.257708592,1,59113,-1042730,-79879522
1587775700.261161005,1,57247,-983843,-79873132
1587775701.264607678,1,58923,-953803,-79869692
1587775702.268065054,1,59809,-911320,-79863179
1587775703.271498595,1,58923,-967105,-79872149
1587775704.274956654,1,57753,-1003332,-79877310
1587775705.278412058,1,59998,-1039137,-79883823
1587775706.281880016,1,59682,-982949,-79878048
1587775707.285275220,1,57310,-940676,-79874730
1587775708.288752921,1,57690,-920749,-79870060
1587775709.292199140,1,57152,-969313,-79877065
1587775710.295644964,1,55602,-1035282,-79886649
1587775711.299120625,1,58354,-1013374,-79888124
1587775712.302544304,1,58322,-981634,-79884437
1587775713.305980300,1,61833,-898701,-79873747
1587775714.309451723,1,59967,-946091,-79878908
1587775715.312886534,1,58923,-972048,-79884929
1587775716.316354185,1,57120,-1065321,-79896971
1587775717.319804489,1,57184,-991204,-79890582
1587775718.323237794,1,59872,-977656,-79888615
1587775719.326686111,1,58449,-894302,-79878785
1587775720.330153391,1,59239,-963442,-79887264
1587775721.333592785,1,60283,-991501,-79892179
1587775722.337044696,1,60852,-1040855,-79901149
1587775723.340452801,1,59429,-982966,-79894268
1587775724.343923650,1,61011,-924675,-79889353
1587775725.347377608,1,60062,-934735,-79888861
1587775726.350857386,1,60157,-971311,-79894145
1587775727.354287984,1,60093,-1062745,-79908276
1587775728.357750134,1,58544,-993026,-79902132
1587775729.361196612,1,59904,-978252,-79898937
1587775730.364631153,1,61295,-895581,-79889107
1587775731.368079664,1,60220,-965247,-79897954
1587775732.371532103,1,59524,-1004366,-79903730
1587775733.374981743,1,59366,-1028201,-79909751
1587775734.378434243,1,61074,-982265,-79905081
1587775735.381884687,1,60631,-901663,-79896848
1587775736.385338303,1,61074,-946635,-79901026
1587775737.388775205,1,61105,-972538,-79903853
1587775738.392234855,1,60378,-1065128,-79917861
1587775739.395646161,1,59050,-989363,-79910980
1587775740.399121898,1,61264,-973309,-79910242
1587775741.402572486,1,62402,-902154,-79901026
1587775742.406023118,1,58544,-966860,-79908891
1587775743.409468971,1,62086,-1007468,-79914666
1587775744.412928838,1,58607,-1032986,-79921670
1587775745.416368898,1,58164,-982879,-79915158
1587775746.419824135,1,57373,-924604,-79909137
1587775747.423261192,1,56709,-930353,-79908891
1587775748.426719352,1,59303,-970470,-79914666
1587775749.430155370,1,55855,-1041626,-79924865
1587775750.433619171,1,57057,-1014671,-79924374
1587775751.437063582,1,56361,-982143,-79922285
1587775752.440508138,1,59714,-910776,-79913806
1587775753.443955435,1,58923,-936505,-79914666
1587775754.447414977,1,60599,-971224,-79920564
1587775755.450853293,1,55570,-1051861,-79931747
1587775756.454308914,1,55697,-1005487,-79928183
1587775757.457747440,1,61390,-981704,-79925971
1587775758.461201334,1,59144,-896475,-79915772
1587775759.464649679,1,56741,-947406,-79921916
1587775760.468106085,1,56646,-972468,-79925357
1587775761.471564926,1,58986,-1064690,-79939119
1587775762.475000600,1,59239,-994411,-79933098
1587775763.478443280,1,59271,-980302,-79931501
1587775764.481906050,1,60884,-889973,-79920196
1587775765.485356325,1,58733,-957922,-79927937
1587775766.488794841,1,61137,-976482,-79931624
1587775767.492243035,1,57721,-1061290,-79944895
1587775768.495689488,1,57247,-987803,-79937399
1587775769.499137761,1,60030,-969436,-79935433
1587775770.502582854,1,58291,-904485,-79926094
1587775771.506044565,1,58132,-967491,-79934450
1587775772.509489053,1,58607,-1011131,-79939119
1587775773.512930871,1,58575,-1028850,-79947352
1587775774.516396037,1,60599,-982896,-79939611
1587775775.519827257,1,60821,-913248,-79935679
1587775776.523294954,1,60441,-938783,-79935187
1587775777.526734060,1,60916,-971679,-79939242
1587775778.530182497,1,60315,-1059678,-79951653
1587775779.533639567,1,59081,-999406,-79949933
1587775780.537081374,1,61169,-981284,-79945141
1587775781.540535187,1,60125,-890026,-79935679
1587775782.543987562,1,60125,-954486,-79941700
1587775783.547429514,1,63857,-974396,-79947230
1587775784.550868563,1,62845,-1064725,-79959149
1587775785.554330466,1,63066,-990082,-79951408
1587775786.557780616,1,61453,-977428,-79950302
1587775787.561234748,1,60884,-894477,-79941331
1587775788.564670946,1,59809,-961795,-79947352
1587775789.568112636,1,59303,-980285,-79952636
1587775790.571568406,1,56298,-1059047,-79963081
1587775791.575024351,1,54906,-987365,-79957060
1587775792.578470286,1,60410,-970716,-79953005
1587775793.581947427,1,59334,-900962,-79944772
1587775794.585384120,1,57848,-965142,-79952513
1587775795.588819693,1,58638,-990029,-79957183
1587775796.592267949,1,56424,-1050266,-79967136
