RocketLogger CSV File
File Version,3
Block Size,1
Block Count,627                 
Sample Count,627                 
Sample Rate,1
MAC Address,40:bd:32:e9:18:c6
Start Time,Fri Apr 24 22:18:21 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1587766701.707940886,1,-1025991,-108762803,-7183857
1587766702.711352481,1,-993888,-105414133,-6959968
1587766703.714813194,1,-968016,-102747087,-6774909
1587766704.718231401,1,-943125,-100118879,-6609389
1587766705.721727090,1,-918423,-97918026,-6465741
1587766706.725177026,1,-899256,-95897271,-6335733
1587766707.728591862,1,-883410,-94310759,-6226370
1587766708.732045419,1,-868577,-92968350,-6129539
1587766709.735479680,1,-854882,-91445458,-6034921
1587766710.738942374,1,-840902,-90132896,-5950502
1587766711.742431536,1,-828092,-88892927,-5871490
1587766712.745841832,1,-818762,-87918864,-5803045
1587766713.749288040,1,-811013,-87137026,-5743694
1587766714.752742252,1,-799848,-86048114,-5679181
1587766715.756194272,1,-793776,-85056910,-5619830
1587766716.759641600,1,-784287,-84335905,-5569817
1587766717.763091244,1,-774419,-83622472,-5518207
1587766718.766543574,1,-766639,-83017227,-5476182
1587766719.769994135,1,-759775,-82237720,-5427153
1587766720.773436837,1,-753102,-81409929,-5380089
1587766721.776882072,1,-746238,-80982679,-5346789
1587766722.780333550,1,-742253,-80611004,-5313119
1587766723.783839463,1,-736117,-79910119,-5273798
1587766724.787240381,1,-730962,-79290047,-5235213
1587766725.790685888,1,-725838,-78791290,-5203141
1587766726.794138308,1,-718279,-78385211,-5173527
1587766727.797598284,1,-719038,-78052882,-5145510
1587766728.801036227,1,-714673,-77512659,-5114421
1587766729.804490424,1,-705849,-76886172,-5081735
1587766730.807939855,1,-702876,-76638581,-5058756
1587766731.811382559,1,-701737,-76405783,-5038358
1587766732.814853756,1,-697689,-75932877,-5011078
1587766733.818279541,1,-693609,-75512637,-4983430
1587766734.821703307,1,-689813,-75034508,-4957994
1587766735.825180963,1,-686081,-74801920,-4936858
1587766736.828624362,1,-684247,-74674278,-4920392
1587766737.832063377,1,-680610,-74185563,-4893604
1587766738.835521241,1,-676498,-73759067,-4870749
1587766739.838950149,1,-672323,-73498594,-4853054
1587766740.842433474,1,-668939,-73262676,-4833761
1587766741.845875854,1,-668654,-73127620,-4820613
1587766742.849328441,1,-665396,-72711288,-4797634
1587766743.852782275,1,-660462,-72280200,-4775270
1587766744.856231456,1,-657458,-72081156,-4759173
1587766745.859686474,1,-653125,-71917621,-4744919
1587766746.863122379,1,-653662,-71797567,-4733122
1587766747.866574693,1,-648760,-71447431,-4714076
1587766748.870012982,1,-649740,-71014082,-4693186
1587766749.873485885,1,-646862,-70910521,-4680775
1587766750.876929577,1,-644047,-70800772,-4669716
1587766751.880368386,1,-641580,-70626809,-4657427
1587766752.883817928,1,-641928,-70341169,-4642067
1587766753.887262361,1,-636425,-69925556,-4622652
1587766754.890705687,1,-637216,-69890714,-4613068
1587766755.894172026,1,-634369,-69783630,-4603483
1587766756.897619754,1,-633926,-69625808,-4592178
1587766757.901063015,1,-632598,-69361006,-4577063
1587766758.904524088,1,-628391,-68993099,-4560106
1587766759.907971290,1,-631301,-68950423,-4550398
1587766760.911427969,1,-624501,-68833665,-4540937
1587766761.914873454,1,-625956,-68742459,-4532458
1587766762.918309862,1,-625323,-68474398,-4517343
1587766763.921760442,1,-618365,-68134322,-4502106
1587766764.925213584,1,-616372,-68069020,-4493382
1587766765.928670866,1,-613368,-67959587,-4484534
1587766766.932122669,1,-613399,-67991923,-4479005
1587766767.935563513,1,-610521,-67686496,-4466102
1587766768.938996148,1,-609193,-67477463,-4454551
1587766769.942462885,1,-607928,-67257458,-4442509
1587766770.945905081,1,-608592,-67213590,-4435873
1587766771.949362626,1,-606346,-67240545,-4432064
1587766772.952802495,1,-605113,-67003698,-4419653
1587766773.956262155,1,-604132,-66833485,-4410806
1587766774.959709849,1,-601729,-66519628,-4395446
1587766775.963154512,1,-601475,-66534228,-4392496
1587766776.966609053,1,-600558,-66465333,-4385001
1587766777.970057782,1,-601286,-66444214,-4380331
1587766778.973476412,1,-598787,-66210013,-4369272
1587766779.976939901,1,-595340,-65927370,-4355386
1587766780.980376869,1,-596320,-65903938,-4349857
1587766781.983859670,1,-596162,-65838671,-4344819
1587766782.987286979,1,-595972,-65898294,-4341255
1587766783.990750315,1,-592335,-65639154,-4331302
1587766784.994193166,1,-590627,-65420201,-4321349
1587766785.997633013,1,-592493,-65333464,-4315204
1587766787.001099658,1,-587686,-65292278,-4308815
1587766788.004547781,1,-589900,-65385902,-4306849
1587766789.007977188,1,-589425,-65128269,-4296527
