RocketLogger CSV File
File Version,3
Block Size,1
Block Count,612                 
Sample Count,612                 
Sample Rate,1
MAC Address,40:bd:32:e9:18:c6
Start Time,Fri Apr 24 22:46:29 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1587768511.654430406,1,-251287,-31646689,-31692309
1587768512.657879227,1,-249199,-31609463,-31689728
1587768513.661317125,1,-250306,-31517329,-31678915
1587768514.664789623,1,-251034,-31594426,-31689114
1587768515.668232101,1,-249927,-31665529,-31696610
1587768516.671680405,1,-251413,-31633316,-31696733
1587768517.675126666,1,-252109,-31613004,-31693906
1587768518.678580616,1,-248788,-31530894,-31687148
1587768519.682004353,1,-251413,-31601962,-31694889
1587768520.685476550,1,-251192,-31678078,-31705826
1587768521.688905701,1,-252710,-31643394,-31707055
1587768522.692370204,1,-248820,-31621206,-31703860
1587768523.695818245,1,-250591,-31539236,-31694889
1587768524.699273545,1,-250749,-31610392,-31704105
1587768525.702718294,1,-252046,-31698759,-31716025
1587768526.706171657,1,-250717,-31644393,-31713936
1587768527.709619641,1,-249579,-31625710,-31716148
1587768528.713074051,1,-252457,-31570030,-31703245
1587768529.716514201,1,-251571,-31667492,-31759402
1587768530.719956313,1,-250844,-31703964,-31711355
1587768531.723414350,1,-252204,-31635665,-31714059
1587768532.726859022,1,-250591,-31545073,-31703737
1587768533.730311855,1,-250686,-31613179,-31714550
1587768534.733755832,1,-254323,-31674713,-31725118
1587768535.737212439,1,-252109,-31662690,-31726224
1587768536.740651664,1,-250401,-31639819,-31725978
1587768537.744115899,1,-251223,-31583297,-31718360
1587768538.747544999,1,-249389,-31636489,-31726716
1587768539.750999366,1,-251445,-31733986,-31741338
1587768540.754453382,1,-250875,-31657625,-31734949
1587768541.757904560,1,-251761,-31573220,-31728067
1587768542.761347584,1,-249674,-31630092,-31736177
1587768543.764797096,1,-248535,-31672785,-31743427
1587768544.768245139,1,-253026,-31698934,-31750186
1587768545.771699347,1,-249199,-31667475,-31747605
1587768546.775142902,1,-248661,-31581369,-31739741
1587768547.778604320,1,-250559,-31656959,-31751046
1587768548.782050179,1,-251635,-31751004,-31763580
1587768549.785486728,1,-253943,-31689768,-31761859
1587768550.788937964,1,-248567,-31662971,-31759279
1587768551.792385684,1,-249262,-31629408,-31757067
1587768552.795836974,1,-251635,-31675309,-31764686
1587768553.799296022,1,-253121,-31775435,-31779677
1587768554.802728576,1,-249958,-31701107,-31775745
1587768555.806180524,1,-250401,-31635963,-31768249
1587768556.809642783,1,-252077,-31664933,-31777220
1587768557.813084262,1,-252678,-31688769,-31776728
1587768558.816531221,1,-253564,-31770598,-31790736
1587768559.819986993,1,-253058,-31705611,-31782872
1587768560.823423534,1,-253248,-31612899,-31774393
1587768561.826894494,1,-251160,-31682863,-31782749
1587768562.830325568,1,-249863,-31734880,-31791965
1587768563.833775790,1,-253848,-31738666,-31793808
1587768564.837223977,1,-251635,-31713761,-31792703
1587768565.840681407,1,-252077,-31630004,-31784592
1587768566.844116140,1,-250116,-31701896,-31793440
1587768567.847571552,1,-252552,-31798342,-31807940
1587768568.851018520,1,-252963,-31732654,-31802164
1587768569.854469880,1,-252615,-31702597,-31800813
1587768570.857923676,1,-252552,-31674958,-31798232
1587768571.861362895,1,-249421,-31717582,-31805236
1587768572.864823746,1,-252995,-31813519,-31819122
1587768573.868279115,1,-254829,-31738227,-31813347
1587768574.871724501,1,-250781,-31653173,-31805359
1587768575.875158530,1,-252172,-31711781,-31812486
1587768576.878618768,1,-255809,-31761607,-31819613
1587768577.882068893,1,-254007,-31770283,-31824529
1587768578.885514018,1,-254260,-31744344,-31822194
1587768579.888965918,1,-252805,-31673258,-31815313
1587768580.892419722,1,-251192,-31736002,-31824283
1587768581.895859442,1,-250812,-31836636,-31837800
1587768582.899319738,1,-251034,-31759364,-31832762
1587768583.902782591,1,-253184,-31688611,-31825266
1587768584.906190851,1,-252995,-31726450,-31831533
1587768585.909662243,1,-251476,-31761502,-31837800
1587768586.913089960,1,-253437,-31810049,-31845541
1587768587.916534946,1,-251793,-31767724,-31842101
1587768588.919989818,1,-251888,-31673258,-31831410
1587768589.923444286,1,-254829,-31754124,-31846156
1587768590.926915833,1,-253659,-31828995,-31855249
1587768591.930324529,1,-251445,-31789719,-31851071
1587768592.933803749,1,-250369,-31769021,-31848736
1587768593.937250370,1,-254323,-31709975,-31849351
1587768594.940719385,1,-252805,-31759224,-31846770
1587768595.944133785,1,-254070,-31860296,-31860901
1587768596.947601548,1,-253216,-31787020,-31856232
1587768597.951044851,1,-253975,-31746184,-31853037
1587768598.954520583,1,-252488,-31734792,-31850948
1587768599.957918285,1,-251476,-31771229,-31857706
1587768600.961378533,1,-255209,-31867622,-31870732
1587768601.964835548,1,-250907,-31791629,-31863236
1587768602.968284226,1,-253943,-31731778,-31856601
1587768603.971742246,1,-251508,-31747043,-31858935
1587768604.975172104,1,-253659,-31779694,-31864588
1587768605.978650846,1,-255715,-31876210,-31878965
1587768606.982085067,1,-253532,-31800375,-31871961
1587768607.985534412,1,-252931,-31753370,-31868397
1587768608.988994757,1,-252583,-31750531,-31867291
1587768609.992434181,1,-252741,-31788072,-31873435
1587768610.995881713,1,-254291,-31885797,-31886092
1587768611.999336240,1,-252836,-31809296,-31880808
1587768613.002766583,1,-250717,-31761239,-31876139
1587768614.006225081,1,-253279,-31762115,-31877367
1587768615.009677233,1,-255240,-31796624,-31882037
1587768616.013115147,1,-255177,-31890897,-31895185
1587768617.016592761,1,-253406,-31816762,-31889778
1587768618.020030694,1,-250907,-31754527,-31894694
1587768619.023472430,1,-254449,-31773998,-31880194
1587768620.026913251,1,-250116,-31805352,-31887321
1587768621.030361056,1,-250749,-31878471,-31899363
1587768622.033831872,1,-254102,-31818882,-31893956
1587768623.037255538,1,-250781,-31727046,-31884126
1587768624.040719657,1,-251919,-31794171,-31892728
1587768625.044179732,1,-254639,-31836776,-31899977
1587768626.047602738,1,-257138,-31859701,-31905753
1587768627.051069179,1,-257233,-31825490,-31901821
1587768628.054514364,1,-254702,-31731988,-31891990
1587768629.057957596,1,-254228,-31808034,-31901329
1587768630.061427464,1,-255398,-31876105,-31910791
1587768631.064859916,1,-253722,-31856686,-31915829
1587768632.068312629,1,-251192,-31828995,-31906859
1587768633.071766705,1,-251951,-31745886,-31898380
1587768634.075204761,1,-251192,-31817936,-31908088
1587768635.078632914,1,-256221,-31907091,-31918287
1587768636.082092920,1,-255683,-31846959,-31914232
1587768637.085548297,1,-254702,-31822913,-31912634
1587768638.089015898,1,-253184,-31779396,-31906982
1587768639.092446717,1,-254070,-31825490,-31914109
1587768640.095903273,1,-252457,-31923233,-31926888
1587768641.099347973,1,-253279,-31845382,-31920253
1587768642.102795269,1,-253817,-31767864,-31911528
1587768643.106244876,1,-256221,-31812836,-31916075
1587768644.109711272,1,-253216,-31848028,-31922096
1587768645.113160993,1,-253216,-31888286,-31929715
1587768646.116593782,1,-254639,-31848484,-31925414
1587768647.120034988,1,-250749,-31758435,-31916198
1587768648.123511496,1,-250306,-31834148,-31924062
1587768649.126934900,1,-253943,-31925336,-31936104
1587768650.130352114,1,-252267,-31864082,-31931066
1587768651.133838464,1,-253943,-31834428,-31931189
1587768652.137289686,1,-254639,-31800988,-31920376
1587768653.140732690,1,-251888,-31840474,-31925782
1587768654.144202767,1,-254924,-31932504,-31939545
1587768655.147625154,1,-253153,-31858088,-31930698
1587768656.151065070,1,-249104,-31771615,-31923079
1587768657.154518988,1,-254924,-31827540,-31929346
1587768658.157985325,1,-253595,-31863907,-31934507
1587768659.161428294,1,-254418,-31901255,-31940037
1587768660.164898544,1,-252077,-31860542,-31936596
1587768661.168308502,1,-252836,-31766620,-31926888
1587768662.171776819,1,-249104,-31842350,-31935736
1587768663.175217226,1,-253912,-31901413,-31945689
1587768664.178663044,1,-253026,-31894577,-31947409
1587768665.182141746,1,-252678,-31869007,-31946181
1587768666.185580921,1,-254418,-31777153,-31935613
1587768667.189014416,1,-251729,-31852725,-31945689
1587768668.192507604,1,-253880,-31919079,-31953554
1587768669.195877029,1,-255525,-31897820,-31953799
1587768670.199420097,1,-253912,-31876298,-31953431
1587768671.202820267,1,-251065,-31790893,-31943723
1587768672.206265326,1,-251982,-31863206,-31953062
1587768673.209702273,1,-255240,-31948032,-31963507
1587768674.213171760,1,-252615,-31897837,-31961664
1587768675.216606851,1,-252741,-31878050,-31960681
1587768676.220060683,1,-253184,-31817323,-31953554
1587768677.223510235,1,-251476,-31874142,-31961418
1587768678.226960402,1,-253595,-31974076,-31975181
1587768679.230402052,1,-254038,-31898626,-31967931
1587768680.233851652,1,-254544,-31860717,-31969405
1587768681.237313341,1,-253659,-31849115,-31965227
1587768682.240751825,1,-253184,-31886288,-31972354
1587768683.244195734,1,-252109,-31976512,-31978498
1587768684.247642889,1,-253058,-31901167,-31973214
1587768685.251118127,1,-249547,-31849728,-31970880
1587768686.254549126,1,-253469,-31857370,-31969405
1587768687.258003906,1,-252235,-31889810,-31975672
1587768688.261446453,1,-257612,-31985222,-31985748
1587768689.264894355,1,-254544,-31908248,-31979973
1587768690.268341401,1,-250749,-31866220,-31975058
1587768691.271788142,1,-253374,-31852865,-31972354
1587768692.275231747,1,-254892,-31892176,-31978621
1587768693.278655417,1,-254892,-31990813,-31990909
1587768694.282136475,1,-253627,-31916310,-31984151
1587768695.285606804,1,-253817,-31888356,-31981570
1587768696.289035695,1,-253026,-31846451,-31977147
1587768697.292478486,1,-252394,-31896961,-31984274
1587768698.295922906,1,-252995,-32005290,-32010816
1587768699.299378511,1,-254165,-31932995,-31996070
1587768700.302869612,1,-253943,-31903831,-31984028
1587768701.306278185,1,-253216,-31828364,-31979358
1587768702.309739525,1,-254639,-31899169,-31990664
1587768703.313177346,1,-253785,-31959757,-31998774
1587768704.316639617,1,-252836,-31954429,-32000617
1587768705.320111517,1,-251034,-31921182,-31996562
1587768706.323525807,1,-254449,-31829976,-31987714
1587768707.326987604,1,-255556,-31890441,-31992630
1587768708.330422826,1,-252836,-31913120,-31996930
1587768709.333920648,1,-253627,-32002240,-32008358
1587768710.337310396,1,-253690,-31928771,-32001600
1587768711.340779559,1,-253153,-31884272,-31996685
1587768712.344237003,1,-253089,-31872793,-31993367
1587768713.347670522,1,-255746,-31914066,-32003320
1587768714.351113375,1,-253532,-32025427,-32028388
1587768715.354557802,1,-253754,-31933906,-32004058
1587768716.358022703,1,-255240,-31896225,-31996562
1587768717.361468441,1,-253501,-31869988,-31992384
1587768718.364947577,1,-251445,-31911770,-31998651
1587768719.368390428,1,-254070,-32008742,-32012413
1587768720.371826575,1,-254070,-31929612,-32003443
1587768721.375267898,1,-255588,-31858158,-31994841
1587768722.378716866,1,-252552,-31891808,-31998897
1587768723.382174401,1,-253248,-31920586,-32003320
1587768724.385623554,1,-255177,-31988692,-32012291
1587768725.389063517,1,-253785,-31930856,-32006269
1587768726.392502869,1,-253975,-31835900,-31995333
1587768727.395958536,1,-255746,-31907599,-32004058
1587768728.399405781,1,-255462,-31961141,-32010816
1587768729.402885300,1,-256252,-31959774,-32013151
1587768730.406307869,1,-254608,-31932995,-32009587
1587768731.409755543,1,-253248,-31848239,-32000494
1587768732.413205547,1,-255114,-31920534,-32011062
1587768733.416622467,1,-256252,-32012843,-32021998
1587768734.420058102,1,-255809,-31948961,-32016591
1587768735.423559611,1,-253975,-31920201,-32015117
1587768736.426989960,1,-254133,-31885289,-32007744
1587768737.430438933,1,-254196,-31926054,-32013396
1587768738.433889438,1,-254987,-32021852,-32024579
1587768739.437351107,1,-257391,-31944316,-32018680
1587768740.440796314,1,-254323,-31869445,-32013519
1587768741.444233987,1,-253374,-31907021,-32010939
1587768742.447690966,1,-254766,-31938726,-32015608
1587768743.451137161,1,-252931,-32011862,-32046206
1587768744.454602813,1,-252362,-31938077,-32015240
1587768745.458040287,1,-254102,-31840667,-32000863
1587768746.461488004,1,-254007,-31918606,-32012045
1587768747.464938810,1,-255367,-31985380,-32021998
1587768748.468401805,1,-254386,-31962175,-32021875
1587768749.471843370,1,-253501,-31939006,-32017943
1587768750.475275486,1,-253690,-31859736,-32008973
1587768751.478736099,1,-254418,-31929297,-32018557
1587768752.482174525,1,-253311,-32019626,-32029371
1587768753.485638983,1,-251919,-31955498,-32022121
1587768754.489077143,1,-256221,-31930962,-32019172
1587768755.492522600,1,-254987,-31880977,-32012782
1587768756.495983629,1,-251097,-31931470,-32019786
1587768757.499422125,1,-257169,-32029546,-32031091
1587768758.502891683,1,-255398,-31953991,-32025685
1587768759.506335473,1,-256474,-31918658,-32020892
1587768760.509756690,1,-253912,-31894910,-32017697
1587768761.513234883,1,-253627,-31934765,-32023104
1587768762.516667477,1,-255367,-32033664,-32035392
1587768763.520127926,1,-254070,-31957899,-32029985
1587768764.523581590,1,-254102,-31923566,-32024701
1587768765.527018702,1,-256505,-31894560,-32020524
1587768766.530457921,1,-255936,-31939479,-32028511
1587768767.533915562,1,-258245,-32036135,-32041168
1587768768.537370098,1,-253595,-31965856,-32033795
1587768769.540821753,1,-256537,-31946823,-32031951
1587768770.544257461,1,-254924,-31882765,-32024333
1587768771.547732572,1,-254702,-31941933,-32031091
1587768772.551156689,1,-256916,-32032595,-32046574
1587768773.554603961,1,-256062,-31992811,-32055176
1587768774.558049956,1,-258213,-31955393,-32034163
1587768775.561513903,1,-254449,-31869568,-32021752
1587768776.564971061,1,-257106,-31940548,-32031337
1587768777.568400079,1,-256126,-32012791,-32042028
1587768778.571846455,1,-256126,-31983312,-32040307
1587768779.575322060,1,-256347,-31979982,-32057511
1587768780.578752258,1,-257454,-31891247,-32046206
1587768781.582205628,1,-254386,-31949627,-32040184
1587768782.585676654,1,-257201,-32009338,-32035146
1587768783.589102356,1,-256442,-31977686,-32038956
1587768784.592549670,1,-252552,-31960861,-32040799
1587768785.595996490,1,-256505,-31883641,-32031214
1587768786.599449090,1,-255209,-31960283,-32048786
1587768787.602924440,1,-256126,-32045074,-32050629
1587768788.606349341,1,-257739,-31971482,-32040307
1587768789.609798446,1,-254955,-31937972,-32036990
1587768790.613250371,1,-255715,-31915100,-32034163
1587768791.616696368,1,-255778,-31949066,-32036375
1587768792.620118495,1,-256916,-32043549,-32051244
1587768793.623566223,1,-255841,-31983995,-32058494
1587768794.627032913,1,-253943,-31867780,-32021015
1587768795.630493199,1,-255398,-31932486,-32032320
1587768796.633935124,1,-254766,-31988307,-32043379
1587768797.637391057,1,-257233,-31988447,-32045591
1587768798.640852238,1,-253311,-31960265,-32039693
1587768799.644303017,1,-256537,-31890319,-32031951
1587768800.647735953,1,-256031,-31951397,-32040184
1587768801.651188235,1,-258023,-32050927,-32052595
1587768802.654645242,1,-255272,-31971797,-32045714
1587768803.658064852,1,-253722,-31892615,-32036990
1587768804.661537862,1,-256853,-31939216,-32042028
1587768805.664969294,1,-253817,-31981331,-32048172
1587768806.668422234,1,-257612,-32002240,-32052227
1587768807.671913282,1,-255841,-31972621,-32050015
1587768808.675331843,1,-253564,-31894805,-32040922
1587768809.678789376,1,-255145,-31972796,-32061566
1587768810.682229453,1,-255999,-32056168,-32059354
1587768811.685670135,1,-257106,-31974233,-32047926
1587768812.689113298,1,-255683,-31898363,-32042151
1587768813.692569702,1,-255209,-31943948,-32047312
1587768814.696014363,1,-254355,-32007375,-32071888
1587768815.699463669,1,-258371,-31993126,-32046329
1587768816.702919131,1,-255019,-31981279,-32059845
1587768817.706387950,1,-254987,-31888356,-32032197
1587768818.709816485,1,-255999,-31956357,-32043011
1587768819.713254598,1,-255809,-32058621,-32059968
1587768820.716711593,1,-253564,-31974812,-32046820
1587768821.720165791,1,-254070,-31912244,-32040922
1587768822.723617462,1,-258529,-31931908,-32043625
1587768823.727059289,1,-257802,-31961439,-32044854
1587768824.730516220,1,-257359,-32036170,-32055176
1587768825.733982972,1,-256853,-31972516,-32047926
1587768826.737414937,1,-254576,-31881082,-32037112
1587768827.740868516,1,-254513,-31944825,-32044117
1587768828.744295774,1,-258529,-31977546,-32047680
1587768829.747758765,1,-254702,-32018785,-32054930
1587768830.751204611,1,-252109,-31972113,-32049523
1587768831.754639511,1,-251666,-31878261,-32039324
1587768832.758090229,1,-253848,-31948488,-32049155
1587768833.761543507,1,-253058,-31978597,-32049646
1587768834.764994587,1,-253722,-32018732,-32055422
1587768835.768443496,1,-253595,-31972253,-32049892
1587768836.771908608,1,-255873,-31881696,-32041782
1587768837.775353007,1,-257138,-31942248,-32046329
1587768838.778783641,1,-255240,-31966907,-32049401
1587768839.782245546,1,-257201,-32037888,-32057142
1587768840.785699576,1,-254038,-31974233,-32049523
1587768841.789153758,1,-255240,-31898153,-32041782
1587768842.792596868,1,-255746,-31935939,-32045100
1587768843.796027746,1,-254829,-31962771,-32049155
1587768844.799491896,1,-255968,-32053749,-32059845
1587768845.802934925,1,-255272,-31979071,-32052473
1587768846.806385451,1,-256410,-31908966,-32044608
1587768847.809817390,1,-256062,-31938848,-32046697
1587768848.813272311,1,-256663,-31967118,-32052350
1587768849.816732892,1,-252678,-32041779,-32061689
1587768850.820178248,1,-254797,-31979579,-32054439
1587768851.823679990,1,-254576,-31884377,-32044977
1587768852.827058079,1,-254576,-31954078,-32051612
1587768853.830532483,1,-255999,-32010144,-32058371
1587768854.833972846,1,-254987,-32002100,-32058371
1587768855.837435173,1,-252678,-31977143,-32056159
1587768856.840906577,1,-255999,-31901132,-32045960
1587768857.844291811,1,-255114,-31964945,-32054070
1587768858.847774265,1,-254955,-32071626,-32074222
1587768859.851248054,1,-256632,-31984644,-32057142
1587768860.854708119,1,-254924,-31918378,-32049769
1587768861.858069531,1,-255651,-31945964,-32051858
1587768862.861591739,1,-256347,-31978317,-32058125
1587768863.865003304,1,-254671,-32034961,-32065621
1587768864.868466605,1,-255809,-31986274,-32061443
1587768865.871925767,1,-254734,-31892352,-32050875
1587768866.875384938,1,-256316,-31968590,-32058371
1587768867.878867928,1,-255588,-32042059,-32067833
1587768868.882248642,1,-256031,-32005377,-32065375
1587768869.885716886,1,-257707,-31984013,-32063655
1587768870.889157752,1,-256663,-31920288,-32056159
1587768871.892596543,1,-255114,-31976424,-32063163
1587768872.896052688,1,-257138,-32073764,-32074837
1587768873.899494023,1,-254924,-31996018,-32067587
1587768874.902957544,1,-254291,-31931575,-32060706
1587768875.906398117,1,-255778,-31957216,-32063286
1587768876.909870560,1,-256569,-31988044,-32067833
1587768877.913306138,1,-256474,-32043233,-32076189
1587768878.916752457,1,-256062,-31994458,-32071150
1587768879.920174568,1,-256031,-31902604,-32060091
1587768880.923582537,1,-254260,-31978843,-32068693
1587768881.927071051,1,-256284,-32064475,-32079875
1587768882.930541752,1,-256031,-32009811,-32075697
1587768883.934003211,1,-256157,-31983943,-32072748
1587768884.937461009,1,-255462,-31942441,-32068201
1587768885.940878467,1,-254102,-31986712,-32073362
1587768886.944351706,1,-256600,-32080809,-32086388
1587768887.947804126,1,-255620,-32002363,-32078032
1587768888.951238278,1,-253848,-31927509,-32069307
1587768889.954669650,1,-251508,-31968362,-32073608
1587768890.958152217,1,-252678,-31998156,-32078523
1587768891.961531662,1,-254766,-32050384,-32086142
1587768892.965050933,1,-252678,-32004781,-32080121
1587768893.968490822,1,-254513,-31907231,-32069676
1587768894.971936149,1,-257043,-31984398,-32080121
1587768895.975356289,1,-258118,-32058411,-32088722
1587768896.978795892,1,-261597,-32023096,-32086633
1587768897.982253831,1,-258972,-32003397,-32088354
1587768898.985726601,1,-259731,-31941582,-32079629
1587768899.989191740,1,-262009,-31997736,-32084544
1587768900.992656012,1,-261313,-32107519,-32100150
1587768901.996082235,1,-261471,-32011564,-32088477
1587768902.999545814,1,-260396,-31907687,-32077786
1587768904.002977066,1,-258751,-31976144,-32084667
1587768905.006423710,1,-262546,-32013211,-32087002
1587768906.009852811,1,-261471,-32067823,-32095849
1587768907.013321480,1,-263337,-32012984,-32093146
1587768908.016756606,1,-260933,-31883554,-32074591
1587768909.020218602,1,-260301,-31989972,-32083807
1587768910.023661231,1,-262167,-32097915,-32100273
1587768911.027108713,1,-263147,-32030264,-32095481
1587768912.030564061,1,-262799,-32002801,-32090566
1587768913.034004982,1,-262926,-31922742,-32079875
1587768914.037457327,1,-263906,-31995002,-32087616
1587768915.040915875,1,-264128,-32125904,-32101748
1587768916.044358327,1,-263210,-32017786,-32091180
1587768917.047807121,1,-262198,-31948926,-32084176
1587768918.051256189,1,-259795,-31960300,-32078769
1587768919.054703375,1,-262894,-31997157,-32085773
1587768920.058154600,1,-260838,-32096408,-32097570
1587768921.061614399,1,-259700,-32012510,-32090566
1587768922.065049380,1,-258719,-31883518,-32072502
1587768923.068500349,1,-262420,-31985397,-32082947
1587768924.071948966,1,-263116,-32093954,-32095358
1587768925.075384881,1,-263622,-32020730,-32089705
1587768926.078883052,1,-261945,-31975811,-32084790
1587768927.082297264,1,-261756,-31955884,-32081104
1587768928.085735359,1,-264286,-31998034,-32086388
1587768929.089211635,1,-264064,-32078917,-32096710
1587768930.092644373,1,-263052,-32008865,-32091180
1587768931.096084071,1,-263084,-31893421,-32076557
1587768932.099535397,1,-264444,-31994949,-32087616
1587768933.102977447,1,-264824,-32121768,-32102362
1587768934.106435998,1,-262610,-32017435,-32094866
1587768935.109890171,1,-260807,-31916397,-32083193
1587768936.113325639,1,-262230,-31980385,-32087616
1587768937.116780288,1,-262515,-32048719,-32096464
1587768938.120242286,1,-262515,-32037380,-32098799
1587768939.123687893,1,-260807,-32008339,-32098184
