RocketLogger CSV File
File Version,3
Block Size,1
Block Count,608                 
Sample Count,608                 
Sample Rate,1
MAC Address,40:bd:32:e9:18:c6
Start Time,Fri Apr 24 22:34:20 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1587767660.587070409,1,-867470,-93041557,-8907137
1587767661.590470922,1,-857032,-91911178,-8789049
1587767662.593912174,1,-844508,-90592938,-8669854
1587767663.597351753,1,-828029,-89445156,-8562948
1587767664.923539027,1,-819268,-88235787,-8458253
1587767665.604246942,1,-809052,-87408943,-8370639
1587767666.607702415,1,-801461,-86567131,-8287081
1587767667.611113245,1,-795294,-85836680,-8212123
1587767668.614583709,1,-784857,-84929373,-8131636
1587767669.618051407,1,-774894,-84069089,-8056433
1587767670.621490104,1,-770276,-83378439,-7988726
1587767671.624945109,1,-761768,-82780590,-7928269
1587767672.628385381,1,-758257,-82335901,-7873341
1587767673.631860262,1,-751141,-81605205,-7812515
1587767674.635281920,1,-747029,-81003254,-7755252
1587767675.638737403,1,-738837,-80277518,-7697376
1587767676.642185710,1,-733967,-79891646,-7651049
1587767677.645647716,1,-730614,-79434479,-7605215
1587767678.649056106,1,-725806,-79085272,-7565647
1587767679.652528501,1,-721885,-78498500,-7517232
1587767680.655977531,1,-713123,-77946884,-7471152
1587767681.659437259,1,-709518,-77516865,-7429987
1587767682.662907375,1,-705501,-77179698,-7394106
1587767683.666316566,1,-704141,-76942413,-7360436
1587767684.669776590,1,-695601,-76439713,-7320009
1587767685.673220319,1,-694779,-76041451,-7285479
1587767686.676658987,1,-688169,-75498967,-7243577
1587767687.680136045,1,-688675,-75290266,-7214577
1587767688.683545567,1,-684373,-75047092,-7184471
1587767689.687026232,1,-681906,-74727697,-7154980
1587767690.690468655,1,-675644,-74340371,-7121925
1587767691.693904890,1,-672449,-73823142,-7084692
1587767692.697363885,1,-669382,-73641379,-7058887
1587767693.700820626,1,-669413,-73387759,-7033328
1587767694.704266334,1,-664764,-73249794,-7010718
1587767695.707710709,1,-663625,-72833024,-6978400
1587767696.711182189,1,-659767,-72466660,-6951981
1587767697.714621473,1,-658565,-72202069,-6923964
1587767698.718045355,1,-654706,-71990319,-6899142
1587767699.721509546,1,-656414,-71922668,-6883290
1587767700.724954561,1,-651986,-71522811,-6853799
1587767701.728403041,1,-647178,-71183016,-6828854
1587767702.731843163,1,-645818,-70938545,-6803909
1587767703.735295771,1,-640758,-70765650,-6782159
1587767704.738745796,1,-645945,-70722448,-6767659
1587767705.742201740,1,-639208,-70347356,-6740871
1587767706.745666387,1,-636203,-70067657,-6718507
1587767707.749149799,1,-632345,-69762020,-6693317
1587767708.752528936,1,-633420,-69642370,-6675253
1587767709.756005965,1,-633610,-69618429,-6661122
1587767710.759438411,1,-629593,-69282472,-6640355
1587767711.762871070,1,-625355,-69052179,-6619342
1587767712.766341746,1,-623805,-68721340,-6594152
1587767713.769792999,1,-622382,-68632255,-6580881
1587767714.773223744,1,-621939,-68614133,-6568593
1587767715.776689754,1,-619883,-68312983,-6547703
1587767716.780145105,1,-616088,-68096063,-6528411
1587767717.783593044,1,-614411,-67787429,-6506784
1587767718.787016684,1,-612925,-67724755,-6493267
1587767719.790479313,1,-614570,-67717973,-6482453
1587767720.793923251,1,-612197,-67437486,-6463898
1587767721.797323910,1,-607232,-67234219,-6448292
1587767722.800812271,1,-605714,-66939413,-6425436
1587767723.804286784,1,-604955,-66895440,-6413517
1587767724.807696917,1,-604828,-66899068,-6405530
1587767725.811169868,1,-603974,-66637018,-6388326
1587767726.814641092,1,-600021,-66443705,-6370632
1587767727.818038018,1,-597522,-66160502,-6353920
1587767728.821513561,1,-597807,-66124871,-6342246
1587767729.824963934,1,-600495,-66140715,-6332539
1587767730.828410743,1,-596352,-65920062,-6320988
1587767731.831868395,1,-593126,-65672156,-6299115
1587767732.835313375,1,-595403,-65419763,-6282895
1587767733.838747294,1,-591228,-65383922,-6273064
1587767734.842207785,1,-592651,-65436290,-6266797
1587767735.845658307,1,-590184,-65168632,-6251191
1587767736.849082237,1,-584301,-64975828,-6237060
1587767737.852575940,1,-586484,-64797482,-6221454
1587767738.856005426,1,-585756,-64748146,-6212115
1587767739.859465227,1,-584048,-64811801,-6206217
1587767740.862903894,1,-583827,-64545125,-6190980
1587767741.866346151,1,-580664,-64331534,-6176357
1587767742.869802366,1,-579178,-64210307,-6165175
1587767743.873241819,1,-577849,-64155135,-6156327
1587767744.876697595,1,-579810,-64204558,-6151658
1587767745.880145737,1,-577122,-63965310,-6138878
1587767746.883622503,1,-575572,-63741484,-6124870
1587767747.887040477,1,-575192,-63652154,-6114179
1587767748.890495354,1,-572725,-63605868,-6106929
1587767749.893950824,1,-572852,-63689642,-6103489
1587767750.897400591,1,-570575,-63435444,-6088374
1587767751.900834447,1,-569215,-63257870,-6076455
1587767752.904287029,1,-568740,-63133453,-6066747
1587767753.907728541,1,-569562,-63112071,-6059743
1587767754.911177913,1,-571776,-63191008,-6056057
1587767755.914637070,1,-567412,-62952181,-6044506
1587767756.918075457,1,-565451,-62798582,-6033201
1587767757.921526079,1,-565293,-62637693,-6020544
1587767758.924981260,1,-565894,-62633294,-6014154
1587767759.928428433,1,-567665,-62718698,-6011943
1587767760.931890245,1,-565862,-62506037,-6000269
1587767761.935320577,1,-562446,-62373102,-5991667
1587767762.938773632,1,-563743,-62136886,-5978642
1587767763.942218169,1,-560833,-62169642,-5974341
1587767764.945671261,1,-563015,-62203625,-5969794
1587767765.949121110,1,-561339,-62086078,-5960333
1587767766.952575827,1,-560295,-61940717,-5950748
1587767767.956009683,1,-556342,-61697174,-5937354
1587767768.959466293,1,-557892,-61727582,-5930964
1587767769.962921079,1,-560232,-61735013,-5927401
1587767770.966366892,1,-555994,-61674969,-5920642
1587767771.969802931,1,-552610,-61537354,-5911795
1587767772.973263799,1,-554507,-61284576,-5898155
1587767773.976707625,1,-553369,-61348003,-5894960
1587767774.980162570,1,-550364,-61373626,-5892380
1587767775.983608329,1,-553527,-61291078,-5885744
1587767776.987059417,1,-548118,-61173093,-5877757
1587767777.990502348,1,-546221,-60911779,-5863503
1587767778.993950531,1,-549004,-60976327,-5859447
1587767779.997401929,1,-547644,-61027907,-5858710
1587767781.000848225,1,-550775,-60922382,-5852197
1587767782.004304075,1,-546158,-60811179,-5845070
1587767783.007746051,1,-545651,-60580151,-5832168
1587767784.011203995,1,-546853,-60647574,-5831062
1587767785.014659513,1,-546727,-60711316,-5829096
1587767786.018097236,1,-546126,-60600183,-5823198
1587767787.021536845,1,-542520,-60495465,-5816316
1587767788.024983211,1,-543248,-60267030,-5804397
1587767789.028440985,1,-544007,-60340482,-5802431
1587767790.031902582,1,-543437,-60404505,-5802185
1587767791.035344580,1,-546252,-60305132,-5796901
1587767792.038795356,1,-541983,-60200326,-5790020
1587767793.042229441,1,-539326,-59968807,-5778469
1587767794.045694373,1,-541824,-60043292,-5779083
1587767795.049132228,1,-541919,-60063886,-5775274
1587767796.052581678,1,-543944,-60057155,-5772202
1587767797.056033592,1,-539895,-59922608,-5765567
1587767798.059472083,1,-539199,-59699606,-5753647
1587767799.062930317,1,-540306,-59757320,-5752418
1587767800.066387386,1,-537270,-59741634,-5748240
1587767801.069829119,1,-538567,-59835836,-5749715
1587767802.073277511,1,-538187,-59655966,-5740499
1587767803.076723088,1,-533601,-59476710,-5731283
1587767804.080159581,1,-536796,-59470961,-5726490
1587767805.083623880,1,-534866,-59478200,-5723787
1587767806.087083448,1,-536195,-59607051,-5725630
1587767807.090518683,1,-534993,-59413949,-5716783
1587767808.093960078,1,-534170,-59311912,-5710024
1587767809.097434738,1,-533000,-59200692,-5702283
1587767810.100889604,1,-533791,-59235306,-5702037
1587767811.104325094,1,-536100,-59367172,-5703266
1587767812.107758613,1,-531166,-59202147,-5695770
1587767813.111211489,1,-532431,-59132340,-5691224
1587767814.114633234,1,-532621,-58950174,-5681025
1587767815.118113833,1,-531261,-59032757,-5680410
1587767816.121576432,1,-532051,-59130850,-5681762
1587767817.125013698,1,-530755,-59027044,-5675249
1587767818.128459192,1,-529268,-58948474,-5668982
1587767819.131884997,1,-528983,-58734902,-5659398
1587767820.135349276,1,-529774,-58830612,-5659889
1587767821.138795026,1,-527054,-58883085,-5658046
1587767822.142274387,1,-531988,-58880754,-5656571
1587767823.145692399,1,-526074,-58773424,-5648707
1587767824.149166206,1,-525409,-58565425,-5640228
1587767825.152631914,1,-529047,-58645764,-5639859
1587767826.156061385,1,-526168,-58657068,-5638754
1587767827.159497523,1,-526327,-58777437,-5639737
1587767828.162943207,1,-525314,-58618967,-5630766
1587767829.166386490,1,-523923,-58471187,-5624622
1587767830.169852273,1,-525631,-58469662,-5620567
1587767831.173297799,1,-524872,-58492867,-5619584
1587767832.176746432,1,-525346,-58638368,-5623271
1587767833.180163974,1,-525947,-58466893,-5615652
1587767834.183643105,1,-525441,-58376196,-5611351
1587767835.187106986,1,-523290,-58276595,-5604593
1587767836.190517375,1,-523290,-58328893,-5603978
1587767837.193978446,1,-525504,-58480879,-5607665
1587767838.197426184,1,-523512,-58316958,-5600783
1587767839.200875398,1,-520254,-58232184,-5593902
1587767840.204352633,1,-519115,-58130270,-5588987
1587767841.207765050,1,-523607,-58180833,-5587021
1587767842.211182905,1,-521582,-58326685,-5588987
1587767843.214684524,1,-521930,-58153475,-5581491
1587767844.218122484,1,-520792,-58057309,-5578542
1587767845.221559418,1,-520001,-57977162,-5570800
1587767846.225023419,1,-516206,-58025219,-5569817
1587767847.228461186,1,-523385,-58178572,-5573750
1587767848.231935915,1,-520918,-58013319,-5567728
1587767849.235356471,1,-519906,-57928282,-5561339
1587767850.238833002,1,-520886,-57832695,-5556055
1587767851.242268652,1,-518578,-57886079,-5555932
1587767852.245713704,1,-519242,-58036278,-5559741
1587767853.249164205,1,-517977,-57882136,-5554089
1587767854.252605112,1,-518546,-57822705,-5548928
1587767855.256084441,1,-515415,-57676923,-5540695
1587767856.259519513,1,-515668,-57759699,-5543398
1587767857.262953456,1,-517692,-57899557,-5546470
1587767858.266388743,1,-520507,-57767042,-5540695
1587767859.269862993,1,-516269,-57700548,-5537377
1587767860.273305011,1,-516870,-57534840,-5529267
1587767861.276762790,1,-516111,-57628253,-5531110
1587767862.280207511,1,-516870,-57757666,-5534059
1587767863.283656657,1,-516016,-57645254,-5529881
1587767864.287109544,1,-516395,-57577656,-5524106
1587767865.290534080,1,-513011,-57414944,-5516487
1587767866.294011227,1,-511525,-57500506,-5516856
1587767867.297438513,1,-514845,-57647059,-5519191
1587767868.300905129,1,-516490,-57495406,-5512801
1587767869.304287507,1,-514434,-57421726,-5509360
1587767870.307808369,1,-514529,-57312539,-5501987
1587767871.311230840,1,-512790,-57378700,-5503585
1587767872.314685718,1,-516585,-57532947,-5507148
1587767873.318138413,1,-515510,-57360105,-5498792
1587767874.321529953,1,-511999,-57216181,-5492894
1587767875.325079352,1,-513897,-57233584,-5489699
1587767876.328478442,1,-512125,-57272036,-5492403
1587767877.331934538,1,-516016,-57355005,-5492034
1587767878.335387026,1,-514782,-57215953,-5485644
1587767879.338788955,1,-509342,-57018031,-5479746
1587767880.342267243,1,-514023,-57129777,-5481712
1587767881.345737990,1,-515889,-57261959,-5487242
1587767882.349172033,1,-514276,-57146252,-5478517
1587767883.352629935,1,-513580,-57088205,-5475322
1587767884.356034710,1,-510418,-56908949,-5467581
1587767885.359520472,1,-511271,-57021221,-5471759
1587767886.362972031,1,-511809,-57152000,-5473479
1587767887.366420344,1,-512284,-57058551,-5470284
1587767888.369866757,1,-507951,-56983855,-5466966
1587767889.373338231,1,-509532,-56823387,-5459593
1587767890.376787385,1,-511430,-56924862,-5461928
1587767891.380213523,1,-510955,-57062407,-5466352
1587767892.383689930,1,-509405,-56942213,-5459962
1587767893.387114562,1,-506970,-56889267,-5456644
1587767894.390544406,1,-508678,-56723698,-5449517
1587767895.394020635,1,-510323,-56827768,-5451852
