RocketLogger CSV File
File Version,3
Block Size,1
Block Count,592                 
Sample Count,592                 
Sample Rate,1
MAC Address,40:bd:32:e9:18:c6
Start Time,Thu Apr 23 23:11:33 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1587683493.334221932,1,-246511,-30899816,-62116611
1587683494.337662826,1,-247175,-30915869,-62108133
1587683495.341098367,1,-247776,-30989707,-62113171
1587683496.344553223,1,-246795,-30913065,-62087243
1587683497.347989190,1,-245530,-30860435,-62066230
1587683498.351447968,1,-246416,-30839088,-62048904
1587683499.354892582,1,-248219,-30882517,-62047675
1587683500.358347547,1,-247080,-30967484,-62057506
1587683501.361797395,1,-248725,-30916851,-62044358
1587683502.365234383,1,-247365,-30892122,-62032192
1587683503.368679851,1,-245941,-30788262,-62006633
1587683504.372125965,1,-245657,-30854335,-62011180
1587683505.375583154,1,-247807,-30876909,-62011303
1587683506.379024252,1,-248029,-30965030,-62023836
1587683507.382478071,1,-247365,-30886846,-62006019
1587683508.385922324,1,-244898,-30846449,-61995942
1587683509.389371174,1,-246827,-30811274,-61985743
1587683510.392820118,1,-247333,-30862310,-61993485
1587683511.396266006,1,-248788,-30950922,-62007125
1587683512.399714875,1,-246321,-30898466,-61997909
1587683513.403160920,1,-245815,-30876120,-61990290
1587683514.406607595,1,-245372,-30775801,-61967926
1587683515.410057650,1,-247776,-30848219,-61979845
1587683516.413510465,1,-246384,-30877260,-61984392
1587683517.416957230,1,-244202,-30946575,-61998031
1587683518.420402514,1,-246479,-30879696,-61984146
1587683519.423849709,1,-245657,-30815095,-61972104
1587683520.427293449,1,-247365,-30821404,-61968540
1587683521.430751023,1,-242241,-30860347,-61976159
1587683522.434191998,1,-247586,-30958020,-61995082
1587683523.437642874,1,-247238,-30894838,-61983900
1587683524.441081359,1,-247776,-30874122,-61980705
1587683525.444538058,1,-247112,-30774189,-61960553
1587683526.448003363,1,-246416,-30846414,-61972595
1587683527.451439871,1,-247554,-30873544,-61977633
1587683528.454880145,1,-245372,-30950729,-61995451
1587683529.458329838,1,-245878,-30880537,-61981934
1587683530.461774128,1,-244929,-30817250,-61970383
1587683531.465238350,1,-248250,-30825242,-61969154
1587683532.468676236,1,-246606,-30863169,-61978493
1587683533.472116788,1,-248061,-30966380,-61998646
1587683534.475590671,1,-245530,-30891684,-61986726
1587683535.479016273,1,-245720,-30871756,-61982917
1587683536.482465749,1,-244455,-30795781,-61966205
1587683537.485929119,1,-246637,-30862853,-61983286
1587683538.489371387,1,-247428,-30933939,-61993976
1587683539.492810603,1,-246542,-30914678,-61994222
1587683540.496257028,1,-245752,-30885707,-61992993
1587683541.499700291,1,-244107,-30784950,-61969892
1587683542.503151236,1,-243917,-30850690,-61981074
1587683543.506592665,1,-249579,-30878048,-61990904
1587683544.510058388,1,-249073,-30969096,-62009828
1587683545.513509286,1,-245688,-30892963,-61997294
1587683546.516948945,1,-246606,-30852968,-61992748
1587683547.520406835,1,-246289,-30822385,-61983286
1587683548.523841024,1,-248061,-30873176,-61995328
1587683549.527292994,1,-247491,-30962016,-62014497
1587683550.530734683,1,-247966,-30916343,-62009336
1587683551.534187615,1,-245910,-30892945,-62006019
1587683552.537638826,1,-243980,-30792766,-61986235
1587683553.541085015,1,-247997,-30863467,-61998277
1587683554.544530670,1,-245214,-30889107,-62006510
1587683555.547979168,1,-248061,-30976089,-62026171
