RocketLogger CSV File
File Version,3
Block Size,1
Block Count,727                 
Sample Count,727                 
Sample Rate,1
MAC Address,40:bd:32:e9:18:c6
Start Time,Fri Apr 24 00:55:17 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1587689845.912675676,1,44975,-1047970,-85497141
1587689846.916180684,1,46303,-964862,-85448480
1587689847.919617227,1,42761,-1036123,-85489645
1587689848.923067103,1,45418,-1137827,-85494806
1587689849.926515728,1,44406,-1058504,-85489768
1587689850.929943123,1,45766,-1007678,-85490382
1587689851.933417225,1,44912,-1000440,-85479937
1587689852.936827172,1,43995,-1038980,-85488048
1587689853.940305880,1,43330,-1133655,-85511518
1587689854.943761850,1,44912,-1053509,-85496404
1587689855.947184771,1,44943,-970856,-85483501
1587689856.950637470,1,43394,-1013181,-85483870
1587689857.954090159,1,42381,-1044676,-85491488
1587689858.957540109,1,45544,-1119792,-85512624
1587689859.961023287,1,44722,-1051774,-85498370
1587689860.964503658,1,46367,-955065,-85477480
1587689861.967906980,1,45955,-1020595,-85486327
1587689862.971325283,1,45386,-1058977,-85494683
1587689863.974789031,1,45133,-1101863,-85508077
1587689864.978201702,1,45323,-1050494,-85495666
1587689865.981559749,1,44722,-951279,-85475882
1587689866.985108249,1,44248,-1027185,-85487433
1587689867.988575583,1,45196,-1083951,-85498861
1587689868.992000456,1,42729,-1084460,-85503531
1587689869.995442337,1,44785,-1049215,-85497141
1587689870.998862816,1,46873,-954364,-85474899
1587689872.002405436,1,43583,-1031163,-85488908
1587689873.005809747,1,42982,-1102214,-85503285
1587689874.009294551,1,43963,-1077642,-85506357
1587689875.012772314,1,46177,-1049057,-85498370
1587689876.016265971,1,45165,-955205,-85475145
1587689877.019593796,1,44564,-1031391,-85490874
1587689878.023055275,1,41939,-1097797,-85500827
1587689879.026518579,1,45418,-1082444,-85504759
1587689880.029977307,1,44754,-1049635,-85496526
1587689881.033383151,1,44817,-950999,-85475268
1587689882.036911804,1,45766,-1025081,-85486819
1587689883.040300868,1,45449,-1059222,-85494683
