RocketLogger CSV File
File Version,3
Block Size,1
Block Count,629                 
Sample Count,629                 
Sample Rate,1
MAC Address,40:bd:32:e9:18:c6
Start Time,Fri Apr 24 00:25:31 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1587687931.896369728,1,17395,-5199404,-79295224
1587687932.899782278,1,19135,-5282600,-79259957
1587687933.903257557,1,14707,-5387476,-79235012
1587687934.906682522,1,16067,-5307680,-79193970
1587687935.910131922,1,18249,-5275047,-79151822
1587687936.913579583,1,17964,-5211777,-79112132
1587687937.917023605,1,18186,-5274416,-79099966
1587687938.920477168,1,15719,-5390088,-79102178
1587687939.923943585,1,16604,-5293396,-79072318
1587687940.927384859,1,17775,-5242886,-79047373
1587687941.930819154,1,19324,-5220225,-79024886
1587687942.934264532,1,18091,-5270262,-79024641
1587687943.937712291,1,15972,-5385776,-79037297
1587687944.941169449,1,19008,-5289979,-79016162
1587687945.944624725,1,17016,-5249090,-78999942
1587687946.948070639,1,17553,-5208535,-78983107
1587687947.951505021,1,17395,-5266914,-78988514
1587687948.954948986,1,14991,-5381132,-79004242
1587687949.958400691,1,16857,-5292643,-78988022
1587687950.961869373,1,18217,-5268299,-78982247
1587687951.965307051,1,16351,-5187101,-78975488
1587687952.968750865,1,16952,-5262673,-78965904
1587687953.972212714,1,14580,-5355579,-78979789
1587687954.975631844,1,17616,-5306874,-78976840
1587687955.979084070,1,17933,-5277150,-78971433
1587687956.982550449,1,21064,-5164369,-78948086
1587687957.985985685,1,18186,-5248915,-78959145
1587687958.989434108,1,18028,-5275940,-78962709
1587687959.992889976,1,16225,-5369056,-78981386
1587687960.996349815,1,18439,-5282740,-78966272
1587687961.999775604,1,19293,-5238154,-78957548
1587687963.003218827,1,20431,-5196898,-78945628
1587687964.006676888,1,18312,-5261955,-78956319
1587687965.010145133,1,18091,-5339858,-78980035
1587687966.013589305,1,14232,-5322122,-78967624
1587687967.017027509,1,16351,-5278166,-78959145
1587687968.020469316,1,22835,-5177602,-78942679
1587687969.023884795,1,17016,-5230863,-78945628
1587687970.027380182,1,20115,-5265600,-78952264
1587687971.030818030,1,19419,-5380974,-78974137
1587687972.034267029,1,15308,-5290399,-78961848
1587687973.037692752,1,19736,-5269859,-78956073
1587687974.041146777,1,20368,-5174815,-78938378
1587687975.044623179,1,19451,-5258099,-78949315
1587687976.048059332,1,18281,-5321017,-78958654
1587687977.051521977,1,17427,-5324593,-78966272
1587687978.054939116,1,18249,-5277395,-78958531
1587687979.058418353,1,21886,-5165193,-78935675
1587687980.061848653,1,18882,-5245918,-78945997
1587687981.065324966,1,19388,-5280129,-78951895
1587687982.068739398,1,16415,-5350952,-78970204
1587687983.072188698,1,18376,-5278412,-78956565
1587687984.075636064,1,21096,-5171362,-78938624
1587687985.079099825,1,18249,-5242238,-78945382
1587687986.082547802,1,17775,-5276203,-78951895
1587687987.085988191,1,16478,-5352897,-78970327
1587687988.089419756,1,19261,-5278394,-78954721
1587687989.092885358,1,17964,-5169610,-78935798
1587687990.096334742,1,18091,-5244253,-78943048
1587687991.099790083,1,19324,-5280760,-78950175
1587687992.103225401,1,13853,-5342907,-78965412
1587687993.106692716,1,20874,-5277640,-78954107
1587687994.110039856,1,18502,-5163633,-78933832
1587687995.113560171,1,16921,-5251965,-78944399
1587687996.117022986,1,18217,-5318651,-78958899
1587687997.120462397,1,17300,-5309941,-78962340
1587687998.123911630,1,19609,-5274784,-78951526
1587687999.127374645,1,21728,-5174237,-78933832
1587688000.130813475,1,16984,-5261324,-78946120
1587688001.134259245,1,19293,-5368969,-78967747
1587688002.137700797,1,19609,-5292310,-78958899
1587688003.141155398,1,18281,-5263953,-78952387
1587688004.144601898,1,18629,-5194742,-78935921
1587688005.148059484,1,19388,-5263146,-78950912
1587688006.151498902,1,15940,-5377521,-78968484
1587688007.154948182,1,18091,-5289173,-78957302
1587688008.158393335,1,21412,-5259326,-78949929
1587688009.161820037,1,18534,-5195689,-78934077
1587688010.165305516,1,23626,-5262954,-78947103
1587688011.168742224,1,15845,-5374472,-78986547
1587688012.172182030,1,19008,-5292888,-78953738
1587688013.175640300,1,20906,-5270525,-78943171
1587688014.179107682,1,20115,-5175008,-78923633
1587688015.182541983,1,19862,-5258502,-78940590
1587688016.185988062,1,17964,-5332690,-78954230
1587688017.189428305,1,15972,-5316338,-78956565
1587688018.192849109,1,20368,-5276081,-78948577
1587688019.196318241,1,21001,-5163931,-78927933
1587688020.199772093,1,19135,-5242641,-78935183
1587688021.203224795,1,22044,-5270490,-78941327
1587688022.206664532,1,18534,-5369389,-78959268
1587688023.210120901,1,20431,-5280620,-78944645
1587688024.213555045,1,20526,-5229934,-78934200
1587688025.217022053,1,20526,-5204171,-78927565
1587688026.220464283,1,19577,-5261814,-78934692
1587688027.223913986,1,19830,-5363921,-78952632
1587688028.227355478,1,18976,-5301441,-78949929
1587688029.230802239,1,21981,-5274608,-78938870
1587688030.234266437,1,22392,-5162003,-78917980
1587688031.237699662,1,19483,-5246742,-78927319
1587688032.241154580,1,19862,-5277044,-78934323
1587688033.244599189,1,22171,-5359294,-78952141
1587688034.248022168,1,19830,-5278219,-78938624
1587688035.251481484,1,21001,-5203190,-78924493
1587688036.254938987,1,20843,-5219559,-78921298
1587688037.258388008,1,20526,-5262883,-78928179
1587688038.261847519,1,17680,-5377872,-78949315
1587688039.265280137,1,20400,-5288138,-78936781
1587688040.268730652,1,19577,-5266774,-78931620
1587688041.272185161,1,22772,-5175691,-78915277
1587688042.275637864,1,20811,-5257994,-78925353
1587688043.279063422,1,21697,-5335406,-78939116
1587688044.282515842,1,18376,-5313253,-78951526
1587688045.285974370,1,21222,-5274223,-78929039
1587688046.289426571,1,22013,-5161425,-78910116
1587688047.292870017,1,20273,-5243640,-78920806
1587688048.296311525,1,21032,-5273487,-78927933
1587688049.299760856,1,16984,-5360381,-78946980
1587688050.303208061,1,18281,-5277588,-78932234
1587688051.306661594,1,21190,-5202506,-78918103
1587688052.310109714,1,17901,-5218788,-78917980
1587688053.313625037,1,22297,-5262358,-78925967
1587688054.316996769,1,19514,-5377153,-78944768
1587688055.320448601,1,20653,-5288068,-78937027
1587688056.323899039,1,22456,-5266809,-78942679
1587688057.327354366,1,19135,-5176182,-78908764
1587688058.330785463,1,21665,-5257293,-78923755
1587688059.334239220,1,19040,-5332602,-78936781
1587688060.337698172,1,21285,-5314796,-78939607
1587688061.341142360,1,21412,-5274538,-78931988
1587688062.344590141,1,23057,-5162897,-78911836
1587688063.348036291,1,22108,-5241239,-78920683
1587688064.351493163,1,22203,-5269946,-78927810
1587688065.354932770,1,18249,-5365674,-78948454
1587688066.358390427,1,20431,-5278429,-78933340
1587688067.361834208,1,22361,-5213057,-78921544
1587688068.365286627,1,21064,-5214091,-78917243
1587688069.368739049,1,22614,-5261902,-78925476
1587688070.372182937,1,19609,-5376242,-78947471
1587688071.375626793,1,21064,-5288717,-78934077
1587688072.379075237,1,21728,-5266757,-78929039
1587688073.382517978,1,23594,-5175253,-78910853
1587688074.385970404,1,21222,-5257012,-78924247
1587688075.389411773,1,18186,-5331445,-78937395
1587688076.392866563,1,18850,-5315532,-78939238
1587688077.396314171,1,20684,-5274100,-78927933
1587688078.399764930,1,24417,-5163879,-78911467
1587688079.403211055,1,21349,-5238154,-78917611
1587688080.406655980,1,22740,-5266196,-78924001
1587688081.410119141,1,17996,-5370564,-78945137
1587688082.413553842,1,17395,-5279551,-78930637
1587688083.417006909,1,19071,-5229672,-78920438
1587688084.420457814,1,19388,-5203750,-78913556
1587688085.423901513,1,21950,-5260693,-78922281
1587688086.427359326,1,15845,-5370862,-78940959
1587688087.430798608,1,18028,-5291609,-78931866
1587688088.434246833,1,19483,-5269631,-78927565
1587688089.437681654,1,19451,-5169855,-78905938
1587688090.441152103,1,18692,-5254962,-78918717
1587688091.444589856,1,18028,-5325189,-78933709
1587688092.448049067,1,19736,-5316075,-78935675
1587688093.451496587,1,18597,-5273942,-78926705
1587688094.454946255,1,20937,-5161285,-78903972
1587688095.458380997,1,18470,-5241537,-78914662
1587688096.461835659,1,20178,-5271717,-78922404
1587688097.465274568,1,19135,-5358243,-78939853
1587688098.468728849,1,19514,-5276466,-78925844
1587688099.472170839,1,21760,-5196512,-78912942
1587688100.475621111,1,19641,-5221242,-78909378
1587688101.479074981,1,20621,-5261797,-78918472
1587688102.482519823,1,18597,-5377381,-78940467
1587688103.485956771,1,20115,-5282478,-78926827
1587688104.489421645,1,19577,-5244902,-78919332
1587688105.492861359,1,17616,-5199457,-78907044
1587688106.496314661,1,19261,-5260027,-78916260
1587688107.499740439,1,15782,-5374822,-78938378
1587688108.503203033,1,16383,-5286070,-78927319
1587688109.506644301,1,19324,-5255855,-78920069
1587688110.510099205,1,18787,-5194619,-78906675
1587688111.513559210,1,18755,-5259834,-78917366
1587688112.517003470,1,15149,-5374665,-78938870
1587688113.520443827,1,18945,-5285212,-78926213
1587688114.523908053,1,20020,-5250528,-78919577
1587688115.527340781,1,20684,-5200263,-78906675
1587688116.530793616,1,20052,-5260044,-78918349
1587688117.534243008,1,16225,-5377223,-78940467
1587688118.537683166,1,17427,-5281882,-78923264
1587688119.541137313,1,16826,-5230653,-78912205
1587688120.544587815,1,19925,-5214091,-78903603
1587688121.548035842,1,19198,-5261218,-78914662
1587688122.551496579,1,19451,-5374928,-78936535
1587688123.554936216,1,18945,-5278376,-78922404
1587688124.558383069,1,18945,-5206607,-78910116
1587688125.561843467,1,18344,-5221434,-78906921
1587688126.565279032,1,19166,-5261481,-78915645
1587688127.568721967,1,17458,-5375331,-78936781
1587688128.572181584,1,19040,-5279708,-78925107
1587688129.575630447,1,21728,-5228234,-78916874
1587688130.579055657,1,18629,-5207484,-78912450
1587688131.582513018,1,18597,-5259957,-78916505
1587688132.585955080,1,17870,-5374174,-78937027
1587688133.589410082,1,19261,-5287981,-78925476
1587688134.592850404,1,21412,-5269123,-78969098
1587688135.596304617,1,17648,-5172747,-78898933
1587688136.599765065,1,19356,-5255277,-78910607
1587688137.603185197,1,16699,-5333023,-78927319
1587688138.606654526,1,19103,-5310291,-78930391
1587688139.610102042,1,19799,-5273189,-78927319
1587688140.613542596,1,19261,-5159620,-78903357
1587688141.616977312,1,17680,-5241992,-78915154
1587688142.620483969,1,19008,-5270928,-78917243
1587688143.623859245,1,16351,-5361590,-78938255
1587688144.627331304,1,19989,-5276992,-78924124
1587688145.630779823,1,20463,-5214038,-78912819
1587688146.634259283,1,16256,-5209166,-78906798
1587688147.637662633,1,17110,-5259361,-78916628
1587688148.641168441,1,17680,-5371177,-78938501
1587688149.644582849,1,20083,-5290943,-78926950
1587688150.648028951,1,19166,-5269719,-78921789
1587688151.651443240,1,18787,-5162810,-78901391
1587688152.654962979,1,19830,-5249949,-78912819
1587688153.658317664,1,17870,-5293011,-78921789
1587688154.661806936,1,19293,-5339805,-78933463
1587688155.665265090,1,19989,-5274521,-78921175
1587688156.668722440,1,16921,-5182193,-78911590
1587688157.672168840,1,18629,-5224799,-78897705
1587688158.675577675,1,19514,-5260921,-78907904
1587688159.679056168,1,17300,-5374332,-78935552
1587688160.682501968,1,18534,-5279323,-78921298
1587688161.685934939,1,18091,-5232984,-78914294
1587688162.689387544,1,18470,-5204083,-78902620
1587688163.692872640,1,14928,-5260290,-78932726
1587688164.696311048,1,18059,-5374349,-78932849
1587688165.699753969,1,16225,-5284826,-78922281
1587688166.703165769,1,17870,-5257170,-78921052
1587688167.706644217,1,17522,-5187083,-78892544
