RocketLogger CSV File
File Version,3
Block Size,1
Block Count,658                 
Sample Count,658                 
Sample Rate,1
MAC Address,40:bd:32:e9:18:c6
Start Time,Thu Apr 23 22:55:16 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1587682516.976819590,1,-430714,-49495985,-49853231
1587682517.980244943,1,-429955,-49434363,-49801129
1587682518.983670391,1,-430176,-49307702,-49751240
1587682519.987148306,1,-429322,-49350782,-49740057
1587682520.990600651,1,-430335,-49395894,-49733422
1587682521.994056458,1,-429923,-49390864,-49707863
1587682522.997471928,1,-430240,-49327402,-49688939
1587682524.000926321,1,-430651,-49218530,-49661045
1587682525.004372122,1,-428911,-49275244,-49651829
1587682526.007827219,1,-428975,-49294330,-49646054
1587682527.011282089,1,-429069,-49391705,-49660062
1587682528.014735110,1,-427583,-49308193,-49647774
1587682529.018191030,1,-428121,-49292770,-49635855
1587682530.021607889,1,-430651,-49202301,-49609804
1587682531.025069426,1,-426255,-49268532,-49619511
1587682532.028517293,1,-430777,-49288091,-49622338
1587682533.031950351,1,-429291,-49408109,-49635732
1587682534.035475493,1,-431536,-49328541,-49624304
1587682535.038862341,1,-429069,-49293874,-49624795
1587682536.042311246,1,-429386,-49219283,-49603660
1587682537.045762997,1,-430398,-49303268,-49614105
1587682538.049210339,1,-429133,-49323143,-49622952
1587682539.052664867,1,-430018,-49405778,-49644948
1587682540.056113718,1,-429702,-49337304,-49630694
1587682541.059557883,1,-427172,-49295399,-49634994
1587682542.063000280,1,-428595,-49221667,-49627867
1587682543.066435682,1,-428026,-49288546,-49645316
1587682544.069879898,1,-432074,-49315870,-49666329
1587682545.073360069,1,-431030,-49395578,-49670998
1587682546.076784466,1,-430999,-49301008,-49674316
1587682547.080232867,1,-428469,-49230062,-49675422
1587682548.083678913,1,-429702,-49225050,-49678003
1587682549.087118854,1,-429702,-49274561,-49692994
1587682550.090602165,1,-430619,-49351430,-49720274
1587682551.094022293,1,-431315,-49328401,-49713515
1587682552.097491567,1,-429481,-49290492,-49719413
1587682553.100894883,1,-425717,-49180183,-49707986
1587682554.104345409,1,-429133,-49222070,-49737477
1587682555.107825944,1,-429417,-49244539,-49753820
1587682556.111269984,1,-427868,-49317850,-49784909
1587682557.114701489,1,-428816,-49230395,-49782943
1587682558.118171002,1,-427330,-49182899,-49777045
1587682559.121602452,1,-428437,-49222210,-49769426
1587682560.125074290,1,-427615,-49226136,-49787981
1587682561.128512243,1,-431125,-49349607,-49817349
1587682562.131972004,1,-427931,-49208558,-49829269
1587682563.135391741,1,-427931,-49200355,-49829392
1587682564.138855661,1,-430240,-49129971,-49822633
1587682565.142295165,1,-428753,-49150949,-49852248
1587682566.145751922,1,-428848,-49270793,-49876947
1587682567.149202180,1,-428975,-49166740,-49887883
1587682568.152638790,1,-428121,-49098546,-49913197
1587682569.156098391,1,-426413,-48994617,-49913934
1587682570.159539859,1,-429892,-49092815,-49927082
1587682571.162990523,1,-429417,-49202529,-49945514
1587682572.166436971,1,-427393,-49139610,-49946006
1587682573.169894391,1,-427868,-49115512,-49950552
1587682574.173336779,1,-428816,-49000103,-49949078
1587682575.176774252,1,-428722,-49120244,-49953256
1587682576.180234757,1,-429987,-49183320,-49977832
1587682577.183671440,1,-427709,-49166092,-49977340
1587682578.187150540,1,-427140,-49167354,-49968247
1587682579.190565696,1,-426033,-49063109,-49953870
1587682580.194015063,1,-429576,-49157574,-49966650
1587682581.197464826,1,-429386,-49207155,-49972794
1587682582.200917950,1,-429006,-49299553,-49975374
1587682583.204371731,1,-430461,-49219564,-49984590
1587682584.207782967,1,-429607,-49096881,-49971811
1587682585.211274266,1,-428753,-49106416,-49993683
1587682586.214711205,1,-430271,-49137770,-50012730
1587682587.218157079,1,-427931,-49234636,-50047874
1587682588.221625915,1,-428405,-49167950,-50037675
1587682589.225041608,1,-427045,-49177834,-50034848
1587682590.228491320,1,-430967,-49095357,-50014082
1587682591.231948119,1,-429955,-49203370,-50017031
1587682592.235402305,1,-429291,-49232656,-50022438
1587682593.238861251,1,-431948,-49326245,-50046891
1587682594.242279127,1,-430082,-49289563,-50024158
1587682595.245740614,1,-430556,-49293471,-50014327
1587682596.249188948,1,-428437,-49160484,-50020840
1587682597.252641024,1,-428342,-49237581,-50032145
