RocketLogger CSV File
File Version,3
Block Size,1
Block Count,702                 
Sample Count,702                 
Sample Rate,1
MAC Address,40:bd:32:e9:18:c6
Start Time,Thu Apr 23 22:41:33 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1587681810.769949769,1,-1004136,-105725834,-10712993
1587681811.773386021,1,-1001637,-105587817,-10703286
1587681812.776844811,1,-1003029,-105477770,-10694070
1587681813.780295271,1,-999898,-105253945,-10680184
1587681814.783737103,1,-999613,-105288910,-10678587
1587681815.787191455,1,-997842,-105258134,-10672565
1587681816.790638755,1,-997431,-105305139,-10671582
1587681817.794092781,1,-997431,-105129335,-10661383
1587681818.797550427,1,-994363,-104999992,-10651676
1587681819.800985460,1,-993003,-104856734,-10639879
1587681820.804425528,1,-995058,-104887808,-10638896
1587681821.807878045,1,-998980,-105048925,-10647375
1587681822.811336071,1,-992718,-104805944,-10627960
1587681823.814775059,1,-992117,-104707675,-10620218
1587681824.818222714,1,-991105,-104508527,-10608667
1587681825.821667487,1,-989365,-104562419,-10609650
1587681826.825132541,1,-992307,-104544157,-10604981
1587681827.828573237,1,-991548,-104556040,-10601909
1587681828.832011404,1,-989397,-104426084,-10594536
1587681829.835472535,1,-989587,-104218470,-10582371
1587681830.838921441,1,-988670,-104238205,-10579790
1587681831.842358790,1,-989397,-104222326,-10577824
1587681832.845814513,1,-988290,-104297285,-10578316
1587681833.849261902,1,-989081,-104129228,-10567871
1587681834.852725812,1,-984748,-103952004,-10558286
1587681835.856168919,1,-987974,-103945484,-10554969
1587681836.859600148,1,-987246,-103934601,-10550668
1587681837.863054771,1,-988828,-104024737,-10552757
1587681838.866500450,1,-986108,-103859764,-10542680
1587681839.869964110,1,-981553,-103691181,-10532727
1587681840.873409919,1,-983451,-103668888,-10530269
1587681841.876846573,1,-982122,-103666978,-10527197
1587681842.880290880,1,-984969,-103765649,-10528795
1587681843.883743329,1,-983672,-103591248,-10518350
1587681844.887191466,1,-980225,-103441470,-10510240
1587681845.890644343,1,-979845,-103408223,-10506799
1587681846.894092343,1,-978390,-103407487,-10504096
1587681847.897540520,1,-980604,-103508717,-10506676
1587681848.900989756,1,-978422,-103344025,-10495248
1587681849.904441975,1,-977030,-103185835,-10488244
1587681850.907888607,1,-979434,-103162578,-10484804
1587681851.911334592,1,-976682,-103166468,-10481117
1587681852.914795915,1,-978960,-103269469,-10483821
1587681853.918231039,1,-978548,-103100921,-10473990
1587681854.921676768,1,-975607,-102941837,-10463422
1587681855.925127820,1,-975101,-102932215,-10461579
1587681856.928593421,1,-975354,-102929937,-10458630
1587681857.932031866,1,-977094,-102984320,-10455681
1587681858.935480856,1,-972855,-102864354,-10450766
1587681859.938930065,1,-973804,-102691021,-10441795
1587681860.942366438,1,-972160,-102732383,-10441795
1587681861.945820378,1,-975386,-102753817,-10441672
1587681862.949274459,1,-974848,-102777390,-10438109
1587681863.952709280,1,-972349,-102668413,-10432211
1587681864.956171963,1,-971432,-102448636,-10417342
1587681865.959612875,1,-969914,-102472384,-10419431
1587681866.963064868,1,-969882,-102469299,-10417834
1587681867.966510586,1,-973013,-102576559,-10420291
1587681868.969964832,1,-968902,-102437927,-10412550
1587681869.973415362,1,-970958,-102374518,-10408003
1587681870.976855485,1,-967162,-102193982,-10397804
1587681871.980312472,1,-967226,-102247332,-10399033
1587681872.983758068,1,-966846,-102261545,-10399401
1587681873.987191259,1,-966055,-102317646,-10401859
1587681874.990642320,1,-965012,-102168464,-10393626
1587681875.994091985,1,-966182,-102013972,-10386007
1587681876.997543450,1,-967858,-102011045,-10387851
1587681878.000996099,1,-963683,-102008258,-10386990
1587681879.004443123,1,-967542,-102110453,-10392029
1587681880.007890435,1,-964031,-101976834,-10388096
1587681881.011344156,1,-966024,-101892779,-10381584
1587681882.014793963,1,-963240,-101725248,-10373351
1587681883.018243130,1,-966466,-101785783,-10375808
1587681884.021683979,1,-966213,-101809425,-10375194
1587681885.025142706,1,-965771,-101846598,-10378143
1587681886.028583786,1,-965960,-101717782,-10369787
1587681887.032039374,1,-962798,-101585302,-10363520
1587681888.035479733,1,-960805,-101567233,-10358974
1587681889.038927573,1,-963335,-101580254,-10358851
1587681890.042379168,1,-962291,-101695979,-10363397
1587681891.045825191,1,-962291,-101556191,-10357622
1587681892.049272310,1,-960425,-101493027,-10354796
1587681893.052726963,1,-959635,-101314174,-10346440
1587681894.056182498,1,-961659,-101387520,-10348529
1587681895.059613817,1,-962260,-101413003,-10347791
1587681896.063082471,1,-960868,-101436576,-10347791
1587681897.066517339,1,-958717,-101318100,-10344597
1587681898.069990003,1,-958275,-101149394,-10337715
1587681899.073409013,1,-957832,-101177453,-10338330
1587681900.076877078,1,-959002,-101184008,-10339436
1587681901.080309773,1,-959730,-101302291,-10343245
1587681902.083761949,1,-959192,-101145065,-10337838
1587681903.087207978,1,-955080,-101056926,-10333660
1587681904.090665965,1,-956725,-100967578,-10328499
1587681905.094098180,1,-956598,-101015039,-10331817
1587681906.097554061,1,-958306,-101117181,-10335503
1587681907.101004428,1,-955238,-101032460,-10332677
1587681908.104465797,1,-956757,-100912476,-10322232
1587681909.107893516,1,-955080,-100767659,-10315105
1587681910.111346479,1,-954163,-100839708,-10318546
1587681911.114797546,1,-956250,-100934191,-10321003
1587681912.118246049,1,-955017,-100838254,-10313753
1587681913.121704878,1,-955302,-100768149,-10311050
1587681914.125130281,1,-952139,-100610993,-10303309
1587681915.128595410,1,-954321,-100679835,-10305275
1587681916.132047544,1,-955776,-100796103,-10308961
1587681917.135499737,1,-954574,-100665236,-10303923
1587681918.138952082,1,-950747,-100583547,-10302203
1587681919.142383156,1,-952582,-100480459,-10299622
1587681920.145844935,1,-951886,-100490905,-10297779
1587681921.149277111,1,-952708,-100610537,-10309084
1587681922.152730748,1,-954543,-100469856,-10305643
1587681923.156185655,1,-948533,-100334186,-10303432
1587681924.159640456,1,-950115,-100300431,-10306381
1587681925.163069761,1,-949735,-100324249,-10313139
1587681926.166531386,1,-949893,-100408900,-10321003
1587681927.169974289,1,-949197,-100242788,-10319160
1587681928.173425251,1,-946224,-100088611,-10319160
1587681929.176850462,1,-948312,-100108924,-10324444
1587681930.180330384,1,-946288,-100103508,-10333783
1587681931.183768631,1,-948090,-100186985,-10342876
1587681932.187221198,1,-947363,-100050878,-10343245
1587681933.190654200,1,-944358,-99874601,-10338453
1587681934.194125527,1,-945054,-99919029,-10344965
1587681935.197559512,1,-943441,-99928441,-10351109
1587681936.201016958,1,-944959,-100016930,-10353690
1587681937.204456049,1,-947142,-99892828,-10352215
1587681938.207908962,1,-942081,-99735163,-10349143
1587681939.211357934,1,-943979,-99735479,-10352338
1587681940.214810896,1,-944801,-99762486,-10356393
1587681941.218245663,1,-943536,-99878456,-10364380
1587681942.221699712,1,-943473,-99719530,-10362414
1587681943.225149993,1,-942271,-99575939,-10355164
1587681944.228611189,1,-944232,-99614146,-10354304
1587681945.232035700,1,-943283,-99648672,-10350495
1587681946.235495869,1,-944232,-99762837,-10352952
1587681947.238951049,1,-942935,-99638717,-10341279
1587681948.242402106,1,-942302,-99488449,-10330711
1587681949.245815081,1,-942366,-99527322,-10333660
1587681950.249302317,1,-941733,-99558273,-10328376
1587681951.252732305,1,-945560,-99660712,-10328991
1587681952.256188392,1,-940247,-99536295,-10324075
1587681953.259628435,1,-941322,-99377263,-10312156
1587681954.263081521,1,-940879,-99443827,-10313139
1587681955.266527684,1,-942271,-99475024,-10313139
1587681956.269984959,1,-941164,-99532685,-10313999
1587681957.273432246,1,-941796,-99433803,-10305152
1587681958.276887111,1,-937590,-99261959,-10297533
1587681959.280327952,1,-938412,-99332922,-10300237
1587681960.283784042,1,-940057,-99361770,-10298393
1587681961.287217053,1,-940405,-99445685,-10296673
1587681962.290664255,1,-940183,-99336305,-10293110
1587681963.294123731,1,-938539,-99160045,-10283893
1587681964.297564263,1,-938254,-99239509,-10284262
1587681965.301016227,1,-940658,-99259190,-10280207
1587681966.304470950,1,-939361,-99399557,-10279101
1587681967.307917213,1,-941132,-99273351,-10266322
1587681968.311371280,1,-937843,-99154437,-10258211
1587681969.314807113,1,-939582,-99164953,-10252313
1587681970.318230830,1,-940025,-99207085,-10247029
1587681971.321710389,1,-941290,-99345979,-10249733
1587681972.325157736,1,-937653,-99230395,-10237690
1587681973.328634292,1,-936926,-99190961,-10231178
1587681974.332018495,1,-938887,-99048264,-10218521
1587681975.335524347,1,-936135,-99146147,-10217292
1587681976.338955163,1,-938475,-99203195,-10216063
1587681977.342399738,1,-937590,-99229764,-10214466
1587681978.345837252,1,-939076,-99145008,-10208076
1587681979.349305447,1,-935660,-99004659,-10197877
1587681980.352743756,1,-936767,-99053049,-10197263
1587681981.356195427,1,-937305,-99084806,-10193822
1587681982.359643376,1,-939740,-99224944,-10197877
1587681983.363097411,1,-936261,-99096969,-10188907
1587681984.366539472,1,-935218,-99053750,-10183623
1587681985.369989552,1,-936261,-98931576,-10176004
1587681986.373438993,1,-935566,-99031579,-10177479
1587681987.376882181,1,-938981,-99132722,-10177724
1587681988.380337066,1,-936704,-99067683,-10174284
1587681989.383775815,1,-938286,-99028810,-10170966
1587681990.387224856,1,-933193,-98867115,-10161013
1587681991.390678867,1,-936451,-98959582,-10160767
1587681992.394123816,1,-935154,-99008918,-10163225
1587681993.397617056,1,-937527,-99066544,-10162241
1587681994.401021176,1,-939456,-98976758,-10158309
1587681995.404467134,1,-935154,-98816833,-10151182
1587681996.407917578,1,-935882,-98895227,-10153394
1587681997.411362986,1,-934553,-98923601,-10153763
1587681998.414823572,1,-936483,-99052137,-10158186
1587681999.418260685,1,-935597,-98931067,-10151919
1587682000.421707070,1,-935566,-98824824,-10145407
1587682001.425159043,1,-932055,-98822721,-10141720
1587682002.428598002,1,-933699,-98867974,-10144670
1587682003.432053554,1,-935281,-99011792,-10149339
1587682004.435510975,1,-934996,-98894333,-10143195
1587682005.438955011,1,-934870,-98848344,-10140492
1587682006.442405761,1,-931580,-98719090,-10135208
1587682007.445848259,1,-934901,-98807456,-10137788
1587682008.449300176,1,-935850,-98902290,-10139754
1587682009.452747340,1,-935439,-98877262,-10136928
1587682010.456191978,1,-933826,-98819882,-10133487
