RocketLogger CSV File
File Version,3
Block Size,1
Block Count,18017               
Sample Count,18017               
Sample Rate,1
MAC Address,98:5d:ad:b2:2e:9d
Start Time,Wed May 20 17:23:50 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1589995430.956850886,1,12181,14476,-145605
1589995431.960289355,1,12086,53636,-143519
1589995432.963840291,1,11457,134825,-141434
1589995433.967380617,1,14541,102580,-142783
1589995434.970896612,1,12967,54791,-145359
1589995435.974464071,1,14101,34205,-144133
1589995436.977980065,1,12023,56314,-143642
1589995437.981507278,1,13440,137118,-141311
1589995438.985032643,1,16493,96699,-141311
1589995439.988644371,1,12558,22739,-144623
1589995440.992106782,1,13502,42467,-142538
1589995441.995651266,1,12181,59570,-141189
1589995442.999153810,1,11992,133547,-141557
1589995444.002697322,1,14132,95491,-141557
1589995445.006227651,1,12873,22791,-144255
1589995446.009768130,1,12527,39194,-142661
1589995447.013247499,1,9883,56314,-141311
1589995448.016795263,1,13817,136996,-139226
1589995449.020349620,1,12653,98519,-142538
1589995450.023890537,1,11079,49364,-143397
1589995451.027394460,1,11803,30424,-141679
1589995452.030951337,1,14793,54301,-141925
1589995453.034475350,1,15265,135263,-139103
1589995454.037997316,1,12306,101793,-141557
1589995455.041529245,1,14667,63299,-141189
1589995456.045065056,1,15265,26257,-142047
1589995457.048603111,1,14226,53916,-141557
1589995458.052136878,1,14195,135630,-139471
1589995459.055651321,1,14856,100235,-141925
1589995460.059184464,1,12621,46966,-143397
1589995461.062707709,1,14038,35360,-140943
1589995462.066284433,1,14447,56016,-142047
1589995463.069783216,1,12716,133460,-138490
1589995464.073315560,1,13345,94003,-140943
1589995465.076831607,1,15926,9662,-143151
1589995466.080368180,1,13660,47229,-140943
1589995467.083902392,1,12401,96226,-138735
1589995468.087408092,1,12999,111946,-139839
1589995469.090980076,1,14950,82554,-140698
1589995470.094487228,1,11677,22826,-140698
1589995471.098025372,1,15013,54003,-140575
1589995472.101574302,1,14667,134318,-139349
1589995473.105076930,1,13502,93513,-139839
1589995474.108641836,1,11110,6424,-142047
1589995475.112157987,1,12495,48664,-139717
1589995476.115692789,1,14636,114362,-138122
1589995477.119207733,1,13440,106817,-138735
1589995478.122746210,1,13534,70773,-140575
1589995479.126234877,1,14321,29216,-141189
1589995480.129828808,1,11551,54441,-140085
1589995481.133351161,1,12495,133617,-138735
1589995482.136878002,1,12432,92935,-139717
1589995483.140402560,1,12149,7247,-141925
1589995484.143932758,1,13660,47841,-138858
1589995485.147441637,1,11992,107044,-136895
1589995486.151005037,1,10827,108672,-139103
1589995487.154516881,1,14950,77688,-138981
1589995488.158053879,1,11582,22634,-140943
1589995489.161576801,1,14258,53303,-139103
1589995490.165127856,1,13912,135420,-136650
1589995491.168650264,1,14226,95263,-138367
1589995492.172180227,1,11866,20376,-141802
1589995493.175709911,1,12873,41540,-138858
1589995494.179265434,1,14730,62861,-138735
1589995495.182782427,1,12495,125040,-137877
1589995496.186306638,1,13880,91080,-138367
