RocketLogger CSV File
File Version,3
Block Size,1
Block Count,74218               
Sample Count,74218               
Sample Rate,1
MAC Address,98:5d:ad:b2:2e:9d
Start Time,Wed May 20 22:40:09 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1590014556.578157466,1,14289,-16910,45877
1590014557.581657688,1,15800,-66064,33487
1590014558.585252867,1,13282,-29513,40970
1590014559.588760728,1,13754,28656,54218
1590014560.592287399,1,12684,-3711,47226
1590014561.595811820,1,11866,-24752,42810
1590014562.599367330,1,11803,-54966,35082
1590014563.602875223,1,11834,-28621,41093
1590014564.606408649,1,13786,31719,53727
1590014565.609954946,1,13282,-6511,46245
1590014566.613478361,1,14069,-34345,39621
1590014567.616981077,1,12621,-49014,36922
1590014568.620523525,1,15863,-27990,39007
1590014569.624077733,1,13251,32069,52623
1590014570.627596107,1,12653,-6459,45877
1590014571.631139425,1,13943,-34170,39621
1590014572.634664473,1,12841,-49574,34959
1590014573.638223798,1,13377,-28025,39743
1590014574.641736799,1,14289,32227,52623
1590014575.645269776,1,13062,-4971,45386
1590014576.648791190,1,12936,-27588,40357
1590014577.652269667,1,12999,-54388,33487
1590014578.655868981,1,11803,-28166,39498
1590014579.659415943,1,15580,30336,50783
1590014580.662916916,1,11582,-875,45509
1590014581.666448397,1,13754,-16157,40847
1590014582.669954222,1,13188,-68235,29930
1590014583.673487524,1,13691,-28621,38394
1590014584.677044414,1,13849,12971,46490
1590014585.680567938,1,13314,6879,46735
1590014586.684088520,1,13597,-12673,42197
1590014587.687630748,1,10827,-73137,28703
1590014588.691161215,1,14006,-29058,37535
1590014589.694713580,1,13093,6704,45018
1590014590.698224145,1,11834,7562,45018
1590014591.701764733,1,13534,-12446,40234
1590014592.705286650,1,12653,-71946,28949
1590014593.708833327,1,12590,-28130,37781
1590014594.712350708,1,11614,16104,45263
1590014595.715893778,1,14132,4586,44527
1590014596.719393422,1,14761,-12866,40602
1590014597.722953449,1,10701,-69180,28458
1590014598.726466943,1,14887,-27780,35941
1590014599.730010313,1,12055,21794,46613
