RocketLogger CSV File
File Version,3
Block Size,1
Block Count,423                 
Sample Count,423                 
Sample Rate,1
MAC Address,40:bd:32:e9:18:c6
Start Time,Thu Apr 23 22:26:31 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1587680913.776617669,1,-930473,-98807964,-6797519
1587680914.780061852,1,-928829,-98987116,-6805875
1587680915.783514547,1,-929493,-99098231,-6810422
1587680916.786965472,1,-931770,-98885026,-6795308
1587680917.790403937,1,-927658,-98955183,-6801943
1587680918.793862851,1,-929050,-98874704,-6801575
1587680919.797308392,1,-931169,-98804459,-6797765
1587680920.800765008,1,-928892,-98891196,-6799731
1587680921.804195177,1,-928860,-99036276,-6805507
1587680922.807650242,1,-924591,-98996738,-6802312
1587680923.811108212,1,-926425,-98922339,-6800346
1587680924.814532269,1,-927911,-98846925,-6799854
1587680925.817994501,1,-926014,-98825473,-6797397
1587680926.821446513,1,-927058,-98890319,-6799117
1587680927.824891067,1,-929240,-99031842,-6803664
1587680928.828344359,1,-929778,-98976267,-6802066
1587680929.831765443,1,-928323,-98924004,-6801083
1587680930.835270115,1,-928291,-98774086,-6795553
1587680931.838689473,1,-929651,-98861191,-6797642
1587680932.842112577,1,-930885,-98894894,-6799608
1587680933.845579007,1,-929904,-99058219,-6803909
1587680934.849023293,1,-927342,-98933293,-6801083
1587680935.852487044,1,-926899,-98862067,-6798011
1587680936.855926549,1,-929335,-98831081,-6797765
1587680937.859374787,1,-925223,-98896927,-6798994
1587680938.862825056,1,-928639,-99053154,-6803295
1587680939.866271152,1,-928101,-98948085,-6800591
1587680940.869736859,1,-927500,-98926546,-6799977
1587680941.873172861,1,-928165,-98769617,-6794693
1587680942.876625473,1,-930347,-98889092,-6798380
1587680943.880065634,1,-928291,-98951888,-6800591
1587680944.883524337,1,-930537,-99029126,-6802435
1587680945.886970578,1,-927342,-98939655,-6798748
1587680946.890415488,1,-927911,-98819567,-6796782
1587680947.893882753,1,-928481,-98874090,-6798748
1587680948.897308816,1,-928797,-98937131,-6800837
1587680949.900759414,1,-930220,-99133511,-6808333
1587680950.904214780,1,-928354,-98936641,-6799608
1587680951.907668383,1,-928228,-98916854,-6799977
1587680952.911107416,1,-926457,-98799710,-6796045
1587680953.914543488,1,-927880,-98913506,-6800591
1587680954.918006490,1,-929145,-99016717,-6803664
1587680955.921461105,1,-930031,-99011389,-6803049
1587680956.924927221,1,-928101,-98962755,-6802312
1587680957.928345229,1,-926204,-98806475,-6796782
1587680958.931800817,1,-927785,-98897295,-6800591
1587680959.935257408,1,-927595,-98950872,-6801820
1587680960.938686705,1,-929493,-99106416,-6806490
1587680961.942152520,1,-930062,-98977284,-6802680
1587680962.945578552,1,-928481,-98960897,-6803541
1587680963.949048919,1,-929240,-98853094,-6799854
1587680964.952498313,1,-926994,-98946736,-6802680
1587680965.955928580,1,-928955,-99060427,-6805998
1587680966.959349026,1,-929619,-99038467,-6805998
1587680967.962811442,1,-928924,-98981174,-6804155
1587680968.966269933,1,-928196,-98836444,-6799608
1587680969.969740445,1,-927026,-98918186,-6803664
1587680970.973181110,1,-928133,-98963526,-6803786
1587680971.976661491,1,-929967,-99131460,-6809808
1587680972.980088070,1,-928924,-99013966,-6805138
1587680973.983531400,1,-926836,-98992636,-6806981
1587680974.986969899,1,-926773,-98843402,-6800591
1587680975.990423569,1,-930220,-98958496,-6803664
1587680976.993887868,1,-927437,-99016560,-6806858
1587680977.997313698,1,-931074,-99108677,-6808333
1587680979.000772205,1,-929936,-99009654,-6805015
1587680980.004217186,1,-927405,-98928894,-6803172
1587680981.007678021,1,-926583,-98906426,-6802926
1587680982.011116849,1,-929493,-98975671,-6802926
1587680983.014568989,1,-930948,-99121768,-6808947
1587680984.018014588,1,-931296,-99058675,-6806490
1587680985.021479193,1,-930568,-99017506,-6804892
1587680986.024908721,1,-927437,-98868780,-6800469
1587680987.028361513,1,-925508,-98948681,-6802312
1587680988.031801280,1,-927532,-98993075,-6804278
1587680989.035267969,1,-930821,-99154542,-6809685
1587680990.038697019,1,-932213,-99038940,-6806121
1587680991.042158784,1,-929082,-99007604,-6805630
1587680992.045598654,1,-930600,-98863329,-6800714
1587680993.049046657,1,-927121,-98977774,-6805138
1587680994.052499821,1,-929967,-99034839,-6806121
1587680995.055941746,1,-931897,-99125554,-6808210
1587680996.059395092,1,-930442,-99026725,-6806121
1587680997.062846407,1,-927911,-98928842,-6803909
1587680998.066284506,1,-931043,-98929052,-6803295
1587680999.069744502,1,-928165,-98994967,-6805875
1587681000.073194745,1,-930220,-99143553,-6811528
1587681001.076662880,1,-929493,-99081196,-6809193
1587681002.080081620,1,-927848,-99020135,-6807596
1587681003.083529803,1,-930157,-98849203,-6801206
1587681004.086994540,1,-928734,-98969818,-6806613
1587681005.090443237,1,-928829,-99010636,-6806981
1587681006.093883477,1,-930979,-99177238,-6812019
1587681007.097330060,1,-931232,-99102595,-6811651
1587681008.100767072,1,-930252,-99051769,-6809562
1587681009.104226808,1,-926488,-98892580,-6804155
1587681010.107675339,1,-929113,-98942968,-6803786
1587681011.111123547,1,-931675,-99007779,-6806367
1587681012.114566108,1,-931074,-99145183,-6811282
1587681013.118014944,1,-932529,-99100387,-6812634
1587681014.121474616,1,-929651,-98974655,-6804769
1587681015.124928744,1,-929809,-98956322,-6808210
1587681016.128354495,1,-929430,-98970571,-6805384
1587681017.131810025,1,-929841,-99098056,-6810299
1587681018.135293499,1,-928133,-99083071,-6809562
1587681019.138710210,1,-929493,-99021064,-6807350
1587681020.142151029,1,-929651,-98901221,-6804524
1587681021.145642500,1,-929240,-98942477,-6805630
1587681022.149053152,1,-926678,-98999770,-6807227
1587681023.152505964,1,-933193,-99174627,-6812511
1587681024.155959553,1,-930979,-99045039,-6809070
1587681025.159403657,1,-929619,-99010496,-6807473
1587681026.162857201,1,-927690,-98908914,-6804524
1587681027.166300811,1,-929145,-99003433,-6807841
1587681028.169731303,1,-931865,-99155296,-6812142
1587681029.173200654,1,-928987,-99064984,-6808947
1587681030.176641517,1,-927817,-99030633,-6808333
1587681031.180099919,1,-930379,-98892422,-6804892
1587681032.183521607,1,-928512,-99004835,-6808825
1587681033.186956717,1,-933004,-99147286,-6812757
1587681034.190436896,1,-930948,-99066246,-6809685
1587681035.193890967,1,-929493,-99032088,-6808579
1587681036.197338846,1,-928006,-98898767,-6804155
1587681037.200798479,1,-928323,-99007060,-6808333
1587681038.204228829,1,-930916,-99157837,-6812757
1587681039.207703927,1,-930284,-99070680,-6810422
1587681040.211128130,1,-928639,-99034033,-6809070
1587681041.214580103,1,-928987,-98909247,-6805507
1587681042.218051901,1,-930758,-99014562,-6807841
1587681043.221472834,1,-932592,-99167441,-6812388
1587681044.224917330,1,-932687,-99073256,-6810545
1587681045.228382186,1,-931422,-99076499,-6811405
1587681046.231826416,1,-926235,-98906513,-6804647
1587681047.235289087,1,-929082,-99001382,-6808456
1587681048.238739837,1,-931232,-99189577,-6813863
1587681049.242170684,1,-931865,-99062583,-6808825
1587681050.245620065,1,-929398,-99025989,-6809316
1587681051.249077127,1,-930189,-98927194,-6806613
1587681052.252495935,1,-926204,-99017856,-6808210
1587681053.255990290,1,-932751,-99175065,-6813125
1587681054.259421324,1,-932719,-99082002,-6811282
1587681055.262844883,1,-928797,-99043935,-6808947
1587681056.266311161,1,-928955,-98904112,-6804524
1587681057.269741352,1,-930537,-99025761,-6808947
1587681058.273183268,1,-929936,-99145516,-6812142
1587681059.276649875,1,-931612,-99091518,-6810053
1587681060.280098305,1,-929018,-99053364,-6810668
1587681061.283553972,1,-928607,-98893351,-6805507
1587681062.286994429,1,-929177,-99019504,-6809193
1587681063.290457127,1,-928259,-99097162,-6809808
1587681064.293896432,1,-930758,-99108011,-6810668
1587681065.297341979,1,-931707,-99051822,-6809316
1587681066.300800595,1,-928449,-98887918,-6804769
1587681067.304243743,1,-929493,-99009952,-6808579
1587681068.307700160,1,-931359,-99085910,-6810545
1587681069.311146489,1,-930853,-99121120,-6813617
1587681070.314583318,1,-930347,-99055257,-6810668
1587681071.318043806,1,-928354,-98894771,-6805998
1587681072.321486491,1,-930315,-99020713,-6810176
1587681073.324901667,1,-930220,-99056379,-6809562
1587681074.328395545,1,-934585,-99145481,-6813125
1587681075.331840853,1,-929714,-99056221,-6811036
1587681076.335268392,1,-926425,-98910562,-6805507
1587681077.338715168,1,-929398,-98986835,-6807719
1587681078.342197565,1,-929556,-99030317,-6808210
1587681079.345640013,1,-933889,-99185003,-6814969
1587681080.349073045,1,-932782,-99057483,-6810299
1587681081.352532085,1,-927911,-98967609,-6806736
1587681082.356004596,1,-929588,-98964770,-6807473
1587681083.359405161,1,-927753,-99025147,-6807964
1587681084.362866952,1,-931169,-99191592,-6813740
1587681085.366336341,1,-929904,-99069611,-6810053
1587681086.369746969,1,-929999,-99024061,-6809439
1587681087.373220964,1,-930758,-98934345,-6806367
1587681088.376660733,1,-928829,-99018926,-6808947
1587681089.380118074,1,-932308,-99182163,-6812757
1587681090.383561750,1,-931517,-99074045,-6808947
1587681091.387014647,1,-929967,-99033788,-6808702
1587681092.390475854,1,-929936,-98920026,-6805384
1587681093.393908113,1,-928101,-99021099,-6808825
1587681094.397359627,1,-931454,-99173909,-6813125
1587681095.400804996,1,-931074,-99073642,-6810668
1587681096.404246839,1,-929113,-99035312,-6808210
1587681097.407705747,1,-930853,-98918203,-6804892
1587681098.411140834,1,-931770,-99018014,-6807964
1587681099.414597783,1,-931264,-99176292,-6812757
1587681100.418063164,1,-929872,-99065510,-6808825
1587681101.421503432,1,-930189,-99027916,-6809316
1587681102.424938677,1,-928291,-98926809,-6804769
1587681103.428399715,1,-926646,-99019872,-6806981
1587681104.431847115,1,-930347,-99190155,-6812142
1587681105.435299224,1,-930062,-99057273,-6807964
1587681106.438743301,1,-927911,-99000874,-6806613
1587681107.442186319,1,-926963,-98946385,-6806736
1587681108.445650891,1,-932276,-99025077,-6807964
1587681109.449076819,1,-931549,-99178097,-6812388
1587681110.452532087,1,-928006,-99052348,-6808210
1587681111.455988666,1,-929240,-98948576,-6805998
1587681112.459429704,1,-928639,-98968030,-6806367
1587681113.462880614,1,-929872,-99018137,-6806367
1587681114.466326175,1,-932751,-99161745,-6811651
1587681115.469784404,1,-930379,-99050175,-6807841
1587681116.473231159,1,-927848,-98892755,-6802926
1587681117.476669859,1,-930315,-98985626,-6805998
1587681118.480123595,1,-927817,-99050858,-6807841
1587681119.483568141,1,-930916,-99116581,-6810913
1587681120.487021879,1,-928892,-99039992,-6808333
1587681121.490480317,1,-928354,-98878069,-6803541
1587681122.493916900,1,-932846,-98996667,-6806981
1587681123.497379275,1,-929778,-99058605,-6807964
1587681124.500801431,1,-931232,-99123679,-6810668
1587681125.504260024,1,-928924,-99043041,-6808210
1587681126.507727204,1,-929113,-98898767,-6804155
1587681127.511182848,1,-930726,-98975110,-6805752
1587681128.514595544,1,-928924,-99019556,-6807350
1587681129.518065830,1,-933257,-99181305,-6812265
1587681130.521489100,1,-929240,-99058832,-6808333
1587681131.524978834,1,-928228,-99008340,-6806736
1587681132.528412282,1,-926520,-98921831,-6804401
1587681133.531845918,1,-931201,-99022571,-6808087
1587681134.535308310,1,-932371,-99143799,-6811528
1587681135.538745600,1,-930410,-99099195,-6809439
1587681136.542201766,1,-929113,-99043637,-6808087
1587681137.545648241,1,-928481,-98916486,-6804892
1587681138.549083029,1,-928165,-98994950,-6806858
1587681139.552557027,1,-931011,-99028793,-6807473
1587681140.555992117,1,-931770,-99206384,-6814477
1587681141.559443129,1,-930726,-99077182,-6808456
1587681142.562892139,1,-929240,-99018873,-6808210
1587681143.566336984,1,-929746,-98953396,-6805998
1587681144.569772164,1,-928734,-99042936,-6808947
1587681145.573243449,1,-931833,-99171578,-6812019
1587681146.576676872,1,-929430,-99116248,-6810668
1587681147.580164047,1,-930600,-99085419,-6810053
1587681148.583575019,1,-927627,-98913331,-6803909
1587681149.587029001,1,-929841,-99023447,-6807841
1587681150.590471335,1,-929335,-99065615,-6809193
1587681151.593936925,1,-930916,-99231990,-6814723
1587681152.597348442,1,-928639,-99100387,-6811159
1587681153.600818466,1,-929683,-99064318,-6810668
1587681154.604268127,1,-927121,-98970045,-6806981
1587681155.607721289,1,-928070,-99077340,-6810913
1587681156.611185360,1,-931675,-99185178,-6815337
1587681157.614635193,1,-931549,-99166670,-6814108
1587681158.618044463,1,-930031,-99108536,-6812880
1587681159.621515788,1,-929430,-98974532,-6808702
1587681160.624966508,1,-930885,-99038695,-6811036
1587681161.628390484,1,-930695,-99096899,-6812634
1587681162.631892696,1,-931296,-99275314,-6818655
1587681163.635272142,1,-932213,-99143641,-6813125
1587681164.638759969,1,-932150,-99101631,-6812142
1587681165.642211766,1,-927469,-99014684,-6810422
1587681166.645658609,1,-930252,-99108659,-6813371
1587681167.649098574,1,-932466,-99251234,-6817918
1587681168.652536455,1,-931138,-99186632,-6816197
1587681169.655998363,1,-931138,-99149512,-6814600
1587681170.659447168,1,-928987,-98987782,-6808210
1587681171.662928939,1,-931865,-99113128,-6813248
1587681172.666334374,1,-931992,-99176625,-6816197
1587681173.669791107,1,-930031,-99248026,-6818409
1587681174.673233026,1,-930284,-99167301,-6815829
1587681175.676699238,1,-929113,-99021993,-6811651
1587681176.680125651,1,-930505,-99110955,-6814108
1587681177.683581202,1,-930031,-99157452,-6815706
1587681178.687034721,1,-930695,-99291719,-6819884
1587681179.690488818,1,-932498,-99183618,-6817426
1587681180.693938613,1,-930157,-99035155,-6813125
1587681181.697386506,1,-931011,-99122540,-6814969
1587681182.700822128,1,-930031,-99172769,-6816812
1587681183.704292770,1,-932403,-99292174,-6820867
1587681184.707715084,1,-929809,-99191540,-6816812
1587681185.711184061,1,-929714,-99042130,-6812511
1587681186.714635868,1,-930252,-99133003,-6814723
1587681187.718070624,1,-931960,-99186632,-6817426
1587681188.721514397,1,-931833,-99287302,-6819515
1587681189.724990871,1,-930568,-99198165,-6818041
1587681190.728418323,1,-931485,-99042533,-6813617
1587681191.731871695,1,-928892,-99145849,-6816935
1587681192.735312353,1,-930695,-99200846,-6816689
1587681193.738770672,1,-933099,-99297835,-6821973
1587681194.742216165,1,-930568,-99207664,-6818901
1587681195.745671368,1,-928038,-99061864,-6814477
1587681196.749095542,1,-930252,-99147269,-6816320
1587681197.752555026,1,-931074,-99190068,-6818655
1587681198.756002114,1,-936483,-99334184,-6821604
1587681199.759464237,1,-927532,-99219441,-6818655
1587681200.762916138,1,-929082,-99126325,-6816320
1587681201.766355321,1,-928639,-99120209,-6815952
1587681202.769803481,1,-928924,-99185160,-6818286
1587681203.773254471,1,-932751,-99339547,-6823079
1587681204.776724849,1,-932339,-99248429,-6821113
1587681205.780174802,1,-932403,-99217548,-6819024
1587681206.783595492,1,-929461,-99046249,-6813002
1587681207.787061019,1,-933067,-99160624,-6816197
1587681208.790488870,1,-933320,-99199199,-6819761
1587681209.793933527,1,-933605,-99355549,-6824185
1587681210.797386209,1,-931138,-99237353,-6819024
1587681211.800841692,1,-933225,-99206384,-6819146
1587681212.804294678,1,-931074,-99076201,-6815337
1587681213.807751091,1,-932624,-99184004,-6818286
1587681214.811199127,1,-932561,-99252303,-6820252
