RocketLogger CSV File
File Version,3
Block Size,1
Block Count,634                 
Sample Count,634                 
Sample Rate,1
MAC Address,40:bd:32:e9:18:c6
Start Time,Thu Apr 23 23:53:21 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1587686001.330346014,1,-43299,-11045625,-74502750
1587686002.333742620,1,-39535,-10976222,-74484932
1587686003.337253239,1,-41875,-10919683,-74471170
1587686004.340655854,1,-41781,-10927763,-74468589
1587686005.344108736,1,-42603,-10958784,-74477068
1587686006.347575651,1,-42761,-11049499,-74499678
1587686007.351002111,1,-43615,-10977502,-74485793
1587686008.354426343,1,-45102,-10927377,-74471538
1587686009.357885048,1,-42919,-10926255,-74467852
1587686010.361348033,1,-44184,-10959310,-74477805
1587686011.364775106,1,-44564,-11049762,-74502013
1587686012.368244973,1,-43425,-10978150,-74484687
1587686013.371714669,1,-43931,-10923679,-74472030
1587686014.375142486,1,-45165,-10928411,-74468589
1587686015.378587824,1,-42413,-10959520,-74477437
1587686016.382038160,1,-44880,-11050603,-74501398
1587686017.385457810,1,-42919,-10979324,-74485301
1587686018.388973953,1,-43109,-10935877,-74474733
1587686019.392378797,1,-42540,-10922698,-74466746
1587686020.395833378,1,-43678,-10959327,-74477191
1587686021.399279249,1,-44469,-11051479,-74501644
1587686022.402720918,1,-42793,-10980411,-74485424
1587686023.406151400,1,-42413,-10937770,-74474119
1587686024.409626018,1,-42160,-10923942,-74466992
1587686025.413073643,1,-43425,-10960046,-74476945
1587686026.416521523,1,-43520,-11051321,-74500661
1587686027.419967957,1,-45639,-10979798,-74485178
1587686028.423422934,1,-41622,-10934633,-74473873
1587686029.426883615,1,-42318,-10924573,-74467115
1587686030.430321745,1,-41116,-10959765,-74477437
1587686031.433762867,1,-44279,-11051777,-74500415
1587686032.437207383,1,-40958,-10981270,-74484195
1587686033.440643951,1,-43204,-10947462,-74476576
1587686034.444109369,1,-40357,-10915687,-74464780
1587686035.447550805,1,-43141,-10959152,-74476576
1587686036.451010790,1,-42508,-11048202,-74497589
1587686037.454468397,1,-42666,-10985721,-74486038
1587686038.457908982,1,-40800,-10966320,-74479526
1587686039.461352059,1,-42287,-10899493,-74459865
1587686040.464798540,1,-41559,-10957329,-74475348
1587686041.468241399,1,-42445,-11035776,-74493042
1587686042.471699022,1,-43488,-10991803,-74486653
1587686043.475144176,1,-42951,-10972437,-74480632
1587686044.478596208,1,-40547,-10887277,-74458144
1587686045.482036835,1,-42603,-10952580,-74472153
1587686046.485483002,1,-41243,-11000899,-74484072
1587686047.488933508,1,-44690,-11012028,-74489848
1587686048.492396891,1,-41527,-10975118,-74481737
1587686049.495836409,1,-40262,-10891116,-74459988
1587686050.499276701,1,-40674,-10939873,-74468466
1587686051.502728118,1,-41211,-10962727,-74475102
1587686052.506187095,1,-44184,-11049569,-74498203
1587686053.509622563,1,-42982,-10979763,-74481983
1587686054.513076421,1,-42761,-10941328,-74471538
1587686055.516524907,1,-40768,-10917019,-74460602
1587686056.519974583,1,-41559,-10959239,-74472521
1587686057.523428414,1,-44311,-11045871,-74494640
1587686058.526871913,1,-41274,-10988859,-74483335
1587686059.530323459,1,-43299,-10971753,-74478911
1587686060.533770952,1,-39883,-10888557,-74456670
1587686061.537211263,1,-40357,-10953841,-74470432
1587686062.540674032,1,-44469,-11001495,-74482352
1587686063.544118750,1,-41844,-11011292,-74487881
1587686064.547566590,1,-43141,-10975258,-74478665
1587686065.550997146,1,-44058,-10888206,-74456055
1587686066.554457551,1,-42824,-10943781,-74466992
1587686067.557921533,1,-43299,-10968055,-74472521
1587686068.561353411,1,-43046,-11039877,-74494394
1587686069.564798546,1,-44595,-10977379,-74478911
1587686070.568236208,1,-42476,-10913532,-74462814
1587686071.571694456,1,-46493,-10931285,-74463305
1587686072.575152301,1,-41211,-10961010,-74472153
1587686073.578605667,1,-44342,-11052198,-74496483
1587686074.582039311,1,-42287,-10982374,-74481369
1587686075.585493640,1,-44248,-10952983,-74473627
1587686076.588939648,1,-41939,-10912988,-74460971
1587686077.592396782,1,-43488,-10959467,-74471538
1587686078.595831182,1,-44026,-11046695,-74493411
1587686079.599278016,1,-43773,-10987544,-74483212
1587686080.602728997,1,-41939,-10968090,-74476454
1587686081.606193631,1,-42508,-10898757,-74457653
1587686082.609640180,1,-41907,-10957978,-74474487
1587686083.613072973,1,-43077,-11035776,-74497835
1587686084.616526452,1,-43552,-10991680,-74479280
1587686085.619972977,1,-42951,-10972139,-74477314
1587686086.623428835,1,-41180,-10894060,-74456916
1587686087.626863014,1,-44184,-10958311,-74473504
1587686088.630313935,1,-44121,-11037073,-74491814
1587686089.633763903,1,-43235,-10990594,-74484441
1587686090.637213717,1,-41939,-10970333,-74479526
1587686091.640658759,1,-44975,-10900299,-74459004
