RocketLogger CSV File
File Version,3
Block Size,1
Block Count,788                 
Sample Count,788                 
Sample Rate,1
MAC Address,40:bd:32:e9:18:c6
Start Time,Thu Apr 23 23:35:42 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1587684942.526414593,1,-85016,-15234214,-71705492
1587684943.529814535,1,-87294,-15207049,-71695661
1587684944.533263145,1,-85744,-15151158,-71678212
1587684945.536721700,1,-86535,-15204543,-71687182
1587684946.540188469,1,-87863,-15303074,-71710161
1587684947.543630106,1,-86471,-15229447,-71694555
1587684948.547052866,1,-85934,-15196551,-71685216
1587684949.550525906,1,-87357,-15155137,-71671576
1587684950.553958312,1,-86187,-15203509,-71682882
1587684951.557436716,1,-88812,-15302093,-71703771
1587684952.560852101,1,-87104,-15230394,-71690869
1587684953.564313477,1,-84257,-15204105,-71683742
1587684954.567764062,1,-86819,-15149108,-71668013
1587684955.571213422,1,-85839,-15203053,-71678826
1587684956.574652447,1,-88116,-15300550,-71700453
1587684957.578095273,1,-87167,-15230534,-71688288
1587684958.581528219,1,-84985,-15199250,-71680055
1587684959.584979233,1,-85364,-15154821,-71666784
1587684960.588443279,1,-84542,-15203439,-71676369
1587684961.591890676,1,-86313,-15303670,-71699716
1587684962.595347483,1,-89413,-15225960,-71684356
1587684963.598796366,1,-87515,-15181496,-71673420
1587684964.602249064,1,-86471,-15162182,-71666907
1587684965.605682630,1,-88622,-15203474,-71675386
1587684966.609130077,1,-88211,-15303144,-71699593
1587684967.612573530,1,-87958,-15226310,-71684356
1587684968.616037632,1,-85016,-15193519,-71676737
1587684969.619441657,1,-86250,-15150300,-71663466
1587684970.622923644,1,-87041,-15201353,-71675632
1587684971.626370025,1,-86471,-15292068,-71695292
1587684972.629829628,1,-87831,-15236247,-71686076
1587684973.633264792,1,-89603,-15216566,-71681530
1587684974.636746225,1,-87673,-15123046,-71659043
1587684975.640158275,1,-86187,-15195254,-71673665
1587684976.643618458,1,-84953,-15237842,-71683250
1587684977.647071557,1,-86408,-15267198,-71693326
1587684978.650520107,1,-87863,-15220719,-71682636
1587684979.653941729,1,-86756,-15130618,-71661869
1587684980.657400142,1,-86155,-15183319,-71671576
1587684981.660851842,1,-85523,-15208907,-71678212
1587684982.664332438,1,-85712,-15298482,-71699348
1587684983.667743190,1,-84827,-15224049,-71684725
1587684984.671224842,1,-84416,-15170507,-71672191
1587684985.674644562,1,-85554,-15165530,-71668382
1587684986.678098350,1,-85839,-15204069,-71677352
1587684987.681543238,1,-87325,-15302023,-71700085
1587684988.684998071,1,-85428,-15232251,-71687059
1587684989.688445337,1,-86598,-15212500,-71682267
1587684990.691857077,1,-82423,-15132861,-71663466
1587684991.695337873,1,-85269,-15199881,-71677843
1587684992.698770628,1,-87452,-15261047,-71692220
1587684993.702199566,1,-88306,-15256963,-71694801
1587684994.705684769,1,-86408,-15221333,-71685462
1587684995.709098210,1,-85681,-15129251,-71664941
1587684996.712567817,1,-86155,-15183336,-71674771
1587684997.716030384,1,-83435,-15207943,-71681407
1587684998.719480257,1,-86630,-15305913,-71704140
1587684999.722921294,1,-86155,-15228904,-71689394
1587685000.726347787,1,-84732,-15203999,-71683987
1587685001.729831906,1,-86282,-15141905,-71668627
1587685002.733210569,1,-84542,-15202299,-71681898
1587685003.736745137,1,-87041,-15273157,-71697873
1587685004.740159287,1,-86503,-15249515,-71696521
1587685005.743605483,1,-86851,-15220334,-71688411
1587685006.747065621,1,-83309,-15123783,-71667153
1587685007.750501677,1,-85364,-15189418,-71679195
1587685008.753917367,1,-85554,-15219825,-71699102
1587685009.757388260,1,-87958,-15286021,-71702174
1587685010.760869211,1,-84732,-15222998,-71691729
1587685011.764274193,1,-84732,-15139206,-71671699
1587685012.767773645,1,-86345,-15183389,-71678949
1587685013.771132764,1,-83593,-15212009,-71686691
1587685014.774634994,1,-86345,-15289369,-71706843
1587685015.778097568,1,-83435,-15223348,-71693081
1587685016.781507638,1,-85238,-15129549,-71672191
1587685017.784988839,1,-84574,-15192274,-71682267
1587685018.788466374,1,-86250,-15240716,-71693818
1587685019.791882790,1,-86282,-15253248,-71701559
1587685020.795339218,1,-85776,-15219983,-71693204
1587685021.798776837,1,-85111,-15132160,-71670225
1587685022.802234898,1,-86155,-15203614,-71687059
1587685023.805689746,1,-87262,-15301304,-71709178
1587685024.809123170,1,-88369,-15230604,-71696767
1587685025.812571047,1,-85333,-15180672,-71685216
1587685026.816052120,1,-85080,-15175362,-71680915
1587685027.819468697,1,-84795,-15209573,-71690377
1587685028.822932990,1,-87230,-15294171,-71709670
1587685029.826366606,1,-85016,-15224207,-71696276
1587685030.829818874,1,-86029,-15132248,-71675017
1587685031.833247386,1,-84637,-15189803,-71685339
1587685032.836686914,1,-88907,-15222787,-71694555
1587685033.840178964,1,-88148,-15276873,-71708564
1587685034.843615373,1,-86756,-15223681,-71696890
1587685035.847057082,1,-81790,-15131336,-71675877
1587685036.850479277,1,-87895,-15187683,-71686445
1587685037.853956190,1,-85554,-15213446,-71692098
1587685038.857379253,1,-88622,-15297974,-71714831
1587685039.860848174,1,-85586,-15226766,-71698487
1587685040.864297863,1,-87863,-15172295,-71687674
1587685041.867759516,1,-86092,-15165425,-71682513
1587685042.871204189,1,-87705,-15206523,-71692466
1587685043.874635925,1,-87294,-15297343,-71713602
1587685044.878079960,1,-88780,-15241821,-71704017
1587685045.881553451,1,-86123,-15222086,-71698364
1587685046.884987492,1,-87547,-15125798,-71678335
1587685047.888436881,1,-86851,-15192835,-71689640
1587685048.891889581,1,-86535,-15215356,-71696153
1587685049.895323664,1,-87926,-15302321,-71718886
1587685050.898777763,1,-87041,-15228623,-71702542
