RocketLogger CSV File
File Version,3
Block Size,1
Block Count,728                 
Sample Count,728                 
Sample Rate,1
MAC Address,40:bd:32:e9:18:c6
Start Time,Fri Apr 24 00:09:59 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1587687121.727698075,1,-17870,-8431823,-76330233
1587687122.731100395,1,-16573,-8403677,-76322860
1587687123.734543156,1,-13600,-8306197,-76299636
1587687124.737990405,1,-20495,-8375705,-76312661
1587687125.741448144,1,-16699,-8401118,-76321263
1587687126.744872219,1,-20083,-8479249,-76339941
1587687127.748341439,1,-14580,-8407042,-76323352
1587687128.751796984,1,-16952,-8342388,-76311801
1587687129.755248056,1,-19293,-8356146,-76308729
1587687130.758660085,1,-18976,-8392618,-76317331
1587687131.762129427,1,-17110,-8492516,-76339449
1587687132.765581454,1,-15213,-8413106,-76336500
1587687133.769021125,1,-16003,-8378159,-76348297
1587687134.772441230,1,-16035,-8342493,-76302585
1587687135.775956096,1,-16035,-8391216,-76311187
1587687136.779387450,1,-17743,-8492306,-76339449
1587687137.782840444,1,-18945,-8412580,-76326793
1587687138.786295310,1,-16889,-8373094,-76317945
1587687139.789756163,1,-16636,-8347348,-76307992
1587687140.793161973,1,-19040,-8392583,-76317822
1587687141.796629489,1,-18882,-8492341,-76341784
1587687142.800065126,1,-18312,-8409390,-76326793
1587687143.803537673,1,-18534,-8346717,-76314627
1587687144.806966078,1,-17110,-8359020,-76310572
1587687145.810396018,1,-14738,-8393582,-76318191
1587687146.813860092,1,-19324,-8489992,-76344979
1587687147.817309423,1,-16984,-8408812,-76328144
1587687148.820771378,1,-15055,-8351133,-76314136
1587687149.824212122,1,-16699,-8354288,-76310449
1587687150.827677328,1,-15181,-8394826,-76337852
1587687151.831116303,1,-18376,-8491798,-76337606
1587687152.834558329,1,-17142,-8413579,-76325195
1587687153.838019791,1,-15181,-8390427,-76321632
1587687154.841443941,1,-17427,-8324739,-76304305
1587687155.844916596,1,-14960,-8389060,-76319174
1587687156.848339029,1,-14422,-8458849,-76334534
1587687157.851799484,1,-19293,-8438676,-76334780
1587687158.855249853,1,-14390,-8404728,-76327284
1587687159.858702816,1,-16731,-8309211,-76305043
1587687160.862171609,1,-18186,-8371078,-76314873
1587687161.865573146,1,-15466,-8394984,-76321509
1587687162.869050323,1,-19388,-8490448,-76344979
1587687163.872485545,1,-17585,-8411633,-76329865
1587687164.875923242,1,-14296,-8383557,-76323229
1587687165.879347858,1,-15940,-8330786,-76307500
1587687166.882849396,1,-17806,-8390006,-76320280
1587687167.886292813,1,-15118,-8471397,-76338343
1587687168.889732082,1,-16763,-8429247,-76334780
1587687169.893180128,1,-14738,-8403484,-76325195
1587687170.896639187,1,-16857,-8305776,-76302585
1587687171.900077323,1,-16636,-8380542,-76317208
1587687172.903534096,1,-15940,-8416313,-76324949
1587687173.906980191,1,-18723,-8460408,-76338958
