RocketLogger CSV File
File Version,3
Block Size,1
Block Count,612                 
Sample Count,612                 
Sample Rate,1
MAC Address,40:bd:32:e9:18:c6
Start Time,Thu Apr 23 23:23:06 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1587684186.786974062,1,-145869,-20802770,-68282401
1587684187.790408346,1,-146470,-20842099,-68324918
1587684188.793843400,1,-146565,-20781686,-68264215
1587684189.797290734,1,-145585,-20688833,-68244677
1587684190.800740893,1,-146091,-20749123,-68256965
1587684191.804186692,1,-145142,-20774956,-68261266
1587684192.807650414,1,-146470,-20855489,-68279575
1587684193.811072648,1,-147925,-20784929,-68263723
1587684194.814518788,1,-145616,-20716560,-68247995
1587684195.817984554,1,-145521,-20736329,-68250575
1587684196.821433760,1,-148684,-20768139,-68255982
1587684197.824853856,1,-149127,-20867091,-68277609
1587684198.828315559,1,-144889,-20789293,-68260897
1587684199.831759315,1,-145458,-20758377,-68258071
1587684200.835220058,1,-145332,-20713703,-68237058
1587684201.838686947,1,-144225,-20763950,-68245660
1587684202.842107304,1,-146281,-20855944,-68263969
1587684203.845559208,1,-144098,-20796671,-68256473
1587684204.849008305,1,-146217,-20777130,-68252418
1587684205.852453901,1,-145268,-20694109,-68232880
1587684206.855895579,1,-143814,-20762934,-68246766
1587684207.859357462,1,-148684,-20842151,-68263969
1587684208.862787872,1,-146692,-20802472,-68259054
1587684209.866243193,1,-144826,-20779513,-68252664
1587684210.869698804,1,-145047,-20690744,-68232634
1587684211.873119084,1,-147324,-20762881,-68246889
1587684212.876574970,1,-148589,-20837875,-68263600
1587684213.880020903,1,-146154,-20804996,-68260528
1587684214.883505005,1,-145395,-20780915,-68253770
1587684215.886941454,1,-146059,-20690341,-68233986
1587684216.890339621,1,-147166,-20763494,-68247995
1587684217.893821996,1,-145680,-20839487,-68263723
1587684218.897292286,1,-146281,-20804365,-68259668
1587684219.900736510,1,-142264,-20781161,-68255367
1587684221.325462286,1,-144383,-20694705,-68233863
1587684221.907643563,1,-146154,-20765966,-68250821
1587684222.911054782,1,-145869,-20848180,-68267656
1587684223.914526662,1,-145648,-20803384,-68261880
1587684224.917975731,1,-145901,-20781459,-68255982
1587684225.921423929,1,-143276,-20698403,-68236935
1587684226.924856617,1,-145996,-20767578,-68251681
1587684227.928321094,1,-146755,-20857136,-68270728
1587684228.931758717,1,-143972,-20801368,-68263969
1587684229.935229064,1,-144351,-20778146,-68257948
1587684230.938663331,1,-145174,-20708428,-68240867
1587684231.942078485,1,-142422,-20769453,-68254261
1587684232.945539935,1,-144478,-20865233,-68275397
1587684233.948986822,1,-146660,-20798494,-68263109
1587684234.952458990,1,-144098,-20773519,-68257702
1587684235.955904506,1,-144478,-20716893,-68243694
1587684236.959348062,1,-144952,-20771241,-68256228
1587684237.962797596,1,-145268,-20869948,-68277609
1587684238.966258413,1,-145933,-20796934,-68264215
1587684239.969694002,1,-144541,-20765317,-68257211
1587684240.973158355,1,-145237,-20723360,-68245906
1587684241.976629339,1,-144383,-20772590,-68257334
1587684242.980052672,1,-146028,-20871981,-68279329
1587684243.983526309,1,-146059,-20798406,-68267656
1587684244.986920679,1,-143213,-20767964,-68260897
1587684245.990385799,1,-143782,-20723973,-68247872
1587684246.993837650,1,-143877,-20773186,-68259054
1587684247.997284787,1,-144762,-20872156,-68280804
1587684249.000739271,1,-144794,-20799651,-68269253
1587684250.004189517,1,-142928,-20770154,-68261880
1587684251.007639358,1,-143181,-20724709,-68251312
1587684252.011084546,1,-145395,-20774623,-68261511
1587684253.014525737,1,-145079,-20874434,-68283507
1587684254.017971746,1,-145205,-20798950,-68272202
1587684255.021428187,1,-143529,-20762671,-68262617
1587684256.024868248,1,-141884,-20730405,-68254753
1587684257.028321258,1,-143434,-20775850,-68264215
1587684258.031736889,1,-144889,-20876169,-68286211
1587684259.035201018,1,-143434,-20798389,-68272202
1587684260.038650921,1,-144130,-20751629,-68262249
1587684261.042128864,1,-143371,-20739221,-68256228
1587684262.045559473,1,-142042,-20777866,-68266058
1587684263.049010826,1,-146534,-20876327,-68288545
1587684264.052453275,1,-141884,-20797039,-68273308
1587684265.055903149,1,-144035,-20738397,-68261143
1587684266.059352071,1,-147293,-20745846,-68260897
1587684267.062794995,1,-145711,-20779285,-68267656
1587684268.066242708,1,-145964,-20875100,-68290757
1587684269.069700381,1,-143687,-20797092,-68274660
1587684270.073133259,1,-144193,-20732771,-68262372
1587684271.076614015,1,-141789,-20747791,-68263355
1587684272.080046681,1,-142327,-20780390,-68271219
1587684273.083481470,1,-144794,-20876082,-68292600
1587684274.086951936,1,-142422,-20798476,-68276257
1587684275.090390077,1,-141631,-20733034,-68263355
1587684276.093833925,1,-146692,-20750525,-68264583
1587684277.097299676,1,-142675,-20781844,-68271711
1587684278.100733087,1,-147735,-20874943,-68293829
1587684279.104190858,1,-142580,-20798354,-68280189
1587684280.107624019,1,-143339,-20723675,-68264952
1587684281.111101164,1,-142327,-20755818,-68268639
1587684282.114520408,1,-141347,-20785682,-68276011
1587684283.117960883,1,-143307,-20864813,-68297024
1587684284.121416812,1,-145838,-20797583,-68282647
1587684285.124859717,1,-145047,-20705939,-68263232
1587684286.128335152,1,-144604,-20765037,-68274660
1587684287.131758347,1,-146059,-20800825,-68282647
1587684288.135220603,1,-146249,-20845078,-68296041
1587684289.138666085,1,-143118,-20797267,-68286456
1587684290.142110425,1,-142390,-20701154,-68266672
1587684291.145556309,1,-146186,-20771959,-68278961
1587684292.149016461,1,-144446,-20818404,-68291249
1587684293.152469095,1,-143244,-20838646,-68297516
1587684294.155889958,1,-145585,-20798231,-68289283
1587684295.159359322,1,-144225,-20701995,-68270605
1587684296.162805188,1,-146787,-20769804,-68282033
1587684297.166262881,1,-144762,-20800702,-68288054
1587684298.169683082,1,-144320,-20863253,-68307100
1587684299.173144832,1,-143908,-20802542,-68293829
1587684300.176597295,1,-144573,-20734874,-68281172
1587684301.180028898,1,-145300,-20749403,-68281787
1587684302.183474380,1,-144320,-20785770,-68290388
1587684303.186935244,1,-144256,-20879219,-68310787
1587684304.190370678,1,-145711,-20819963,-68301816
1587684305.193820929,1,-144288,-20800562,-68297638
1587684306.197298816,1,-144161,-20705062,-68277117
1587684307.200737334,1,-143213,-20768086,-68290020
1587684308.204251683,1,-144573,-20790765,-68294935
1587684309.207617174,1,-147388,-20886843,-68316562
1587684310.211072283,1,-145205,-20811411,-68303660
1587684311.214512319,1,-143560,-20791694,-68299236
1587684312.217979370,1,-143086,-20715631,-68283016
1587684313.221399290,1,-144003,-20782387,-68296287
1587684314.224874969,1,-145996,-20826062,-68305871
1587684315.228311039,1,-144509,-20856908,-68315087
1587684316.231781991,1,-144573,-20806065,-68305134
1587684317.235193355,1,-143307,-20737766,-68291249
1587684318.238623614,1,-142738,-20751875,-68289651
1587684319.242121363,1,-144636,-20789398,-68301325
1587684320.245548638,1,-144573,-20881743,-68321109
1587684321.249039194,1,-145268,-20823994,-68313736
1587684322.252428673,1,-143434,-20804242,-68309435
1587684323.255907967,1,-141093,-20708112,-68288668
1587684324.259330323,1,-142295,-20774150,-68302062
1587684325.262783477,1,-143118,-20795725,-68304520
1587684326.266234456,1,-147451,-20888578,-68326393
1587684327.269690006,1,-142770,-20812515,-68312384
1587684328.273145863,1,-143687,-20786892,-68305134
1587684329.276577810,1,-142548,-20727093,-68292723
1587684330.280033743,1,-142801,-20787470,-68305134
1587684331.283507989,1,-144067,-20850003,-68317422
1587684332.286934199,1,-145490,-20842379,-68319757
1587684333.290386386,1,-143845,-20807117,-68313121
1587684334.293829867,1,-143529,-20715193,-68294198
1587684335.297269417,1,-143276,-20769523,-68302185
1587684336.300709361,1,-144320,-20794603,-68309681
1587684337.304185929,1,-144794,-20893100,-68336100
1587684338.307614010,1,-142580,-20814513,-68315579
1587684339.311078852,1,-140682,-20790467,-68311524
1587684340.314537081,1,-143908,-20727040,-68296164
1587684341.317947048,1,-143560,-20788977,-68309804
1587684342.321418042,1,-143972,-20851668,-68326024
1587684343.324859772,1,-144288,-20846182,-68327867
1587684344.328325675,1,-143402,-20809132,-68319020
1587684345.331758476,1,-144478,-20719329,-68299973
1587684346.335221219,1,-142264,-20768437,-68299973
1587684347.338672072,1,-141536,-20795725,-68312138
1587684348.342101554,1,-147261,-20893538,-68336469
1587684349.345557080,1,-144383,-20816598,-68321600
1587684350.348983715,1,-143655,-20787838,-68316316
1587684351.352476239,1,-144731,-20737083,-68303291
1587684352.355895908,1,-144699,-20793814,-68317791
1587684353.359366176,1,-146723,-20877624,-68333151
1587684354.362796567,1,-144762,-20831741,-68328113
1587684355.366247658,1,-144035,-20808887,-68321723
1587684356.369701212,1,-143023,-20713843,-68300956
1587684357.373140837,1,-146755,-20787207,-68316562
1587684358.376581692,1,-143466,-20828849,-68327130
1587684359.380036072,1,-143434,-20861132,-68337329
1587684360.383464074,1,-143181,-20812708,-68327253
1587684361.386903127,1,-145964,-20727268,-68309681
1587684362.390380686,1,-143908,-20770487,-68316193
1587684363.393835141,1,-142359,-20798336,-68323198
1587684364.397277981,1,-147261,-20897937,-68345808
1587684365.400737489,1,-145174,-20824064,-68333274
1587684366.404171271,1,-144826,-20808063,-68328973
1587684367.407621159,1,-143213,-20717488,-68309681
1587684368.411039390,1,-144509,-20787628,-68324181
1587684369.414487191,1,-145648,-20812357,-68330939
1587684370.417958113,1,-146028,-20891382,-68350600
1587684371.421409646,1,-144383,-20820840,-68337329
1587684372.424859486,1,-143086,-20801684,-68332414
1587684373.428312985,1,-144573,-20723605,-68316193
1587684374.431758540,1,-143750,-20789748,-68327621
1587684375.435202938,1,-146344,-20811656,-68334257
1587684376.438652382,1,-147261,-20898550,-68363503
1587684377.442095570,1,-144003,-20822417,-68338681
1587684378.445540870,1,-144256,-20806346,-68334134
1587684379.448988382,1,-143149,-20721852,-68317054
1587684380.452449304,1,-142896,-20796829,-68352935
1587684381.455884986,1,-146660,-20809833,-68329710
1587684382.459330783,1,-143750,-20895571,-68354778
1587684383.462781859,1,-142200,-20822995,-68343473
1587684384.466234727,1,-142928,-20797688,-68338189
1587684385.469679859,1,-142833,-20736662,-68324426
1587684386.473144504,1,-145237,-20798511,-68338435
1587684387.476579278,1,-145648,-20847024,-68347159
1587684388.480025407,1,-144921,-20869282,-68356744
1587684389.483483887,1,-146059,-20820156,-68345685
1587684390.486908683,1,-144699,-20748510,-68331922
1587684391.490377825,1,-145553,-20768209,-68332291
1587684392.493811772,1,-142833,-20803331,-68341384
1587684393.497259720,1,-144762,-20897288,-68362642
1587684394.500732734,1,-145806,-20838015,-68353303
1587684395.504167281,1,-142865,-20819175,-68351952
1587684396.507611731,1,-142295,-20721625,-68327621
1587684397.511064513,1,-144414,-20787961,-68340647
1587684398.514503176,1,-144161,-20810832,-68348634
1587684399.517942638,1,-145363,-20903037,-68368049
1587684400.521414205,1,-143750,-20827955,-68356007
1587684401.524840130,1,-143845,-20806644,-68350354
1587684402.528297039,1,-145015,-20735137,-68334380
1587684403.531739916,1,-145015,-20800159,-68347159
1587684404.535193594,1,-143592,-20841906,-68357113
1587684405.538650630,1,-145996,-20878080,-68367680
1587684406.542123281,1,-146091,-20824345,-68356990
1587684407.545543850,1,-144320,-20765300,-68345316
1587684408.548990042,1,-146850,-20762145,-68342736
1587684409.552412034,1,-143972,-20805101,-68350846
1587684410.555883533,1,-146122,-20885073,-68369401
1587684411.559335263,1,-143655,-20852036,-68366206
1587684412.562781276,1,-145174,-20822995,-68358833
1587684413.566213434,1,-144478,-20737749,-68341753
1587684414.569689574,1,-144921,-20777200,-68346791
1587684415.573135110,1,-145300,-20808046,-68354901
1587684416.576576649,1,-142643,-20902126,-68375668
1587684417.580025615,1,-146660,-20843361,-68367435
1587684418.583465326,1,-143655,-20822750,-68361291
