RocketLogger CSV File
File Version,3
Block Size,1
Block Count,549                 
Sample Count,549                 
Sample Rate,1
MAC Address,40:bd:32:e9:18:c6
Start Time,Fri Apr 24 02:47:37 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1587696457.802507322,1,-1330825,-138811939,-9066759
1587696458.805929717,1,-1330825,-138891192,-9068357
1587696459.809387734,1,-1332659,-139041671,-9073026
1587696460.812827252,1,-1330540,-138923878,-9070446
1587696461.816281759,1,-1328706,-138854948,-9067128
1587696462.819714761,1,-1327029,-138808241,-9066882
1587696463.823183626,1,-1331457,-138869039,-9069094
1587696464.826627621,1,-1332564,-139019413,-9072289
1587696465.830073068,1,-1332090,-138906089,-9070077
1587696466.833516680,1,-1328895,-138832690,-9067865
1587696467.836945759,1,-1328263,-138787087,-9065776
1587696468.840422781,1,-1330129,-138852845,-9067128
1587696469.843859462,1,-1333229,-139003131,-9072289
1587696470.847311145,1,-1331584,-138885146,-9069217
1587696471.850762656,1,-1329338,-138804403,-9065653
1587696472.854205129,1,-1331394,-138774854,-9064302
1587696473.857647107,1,-1331869,-138834425,-9064916
1587696474.861110541,1,-1332912,-138977052,-9069340
1587696475.864547398,1,-1330951,-138858488,-9066636
1587696476.868000842,1,-1330477,-138750580,-9062090
1587696477.871442238,1,-1331869,-138762218,-9061844
1587696478.874887709,1,-1329591,-138811063,-9063810
1587696479.878345507,1,-1332976,-138947714,-9068971
1587696480.881788106,1,-1328295,-138832725,-9063441
1587696481.885242158,1,-1328801,-138710078,-9060861
1587696482.888682317,1,-1327725,-138748793,-9062090
1587696483.892135215,1,-1328295,-138792731,-9062827
1587696484.895584221,1,-1331616,-138920198,-9067619
1587696485.899036657,1,-1329591,-138809170,-9063810
1587696486.902477435,1,-1329243,-138675814,-9059386
1587696487.905925900,1,-1327630,-138729724,-9062213
1587696488.909375277,1,-1328864,-138769579,-9061598
1587696489.912828041,1,-1331869,-138889387,-9065776
1587696490.916280296,1,-1329749,-138779376,-9062090
1587696491.919725755,1,-1330350,-138649122,-9057789
1587696492.923172187,1,-1328263,-138702033,-9058649
1587696493.926621125,1,-1329054,-138742115,-9060246
1587696494.930066869,1,-1329718,-138864780,-9063196
1587696495.933519630,1,-1330920,-138757749,-9060984
1587696496.936960163,1,-1328990,-138619293,-9055454
1587696497.940419547,1,-1328168,-138688100,-9058035
1587696498.943852764,1,-1328579,-138725606,-9059386
