RocketLogger CSV File
File Version,3
Block Size,1
Block Count,503                 
Sample Count,503                 
Sample Rate,1
MAC Address,40:bd:32:e9:18:c6
Start Time,Fri Apr 24 01:29:09 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1587691867.230289919,1,-1921136,-197615298,-12904695
1587691868.233753933,1,-1920092,-197669314,-12904081
1587691869.237184679,1,-1915380,-197520798,-12898674
1587691870.240629717,1,-1916803,-197292538,-12891670
1587691871.244088349,1,-1916645,-197327468,-12888966
1587691872.247539163,1,-1917277,-197336739,-12887123
1587691873.250992161,1,-1918890,-197451359,-12889827
1587691874.254437566,1,-1916012,-197274504,-12881225
1587691875.257884433,1,-1915063,-197093793,-12874712
1587691876.261326611,1,-1913608,-197018764,-12869920
1587691877.264764819,1,-1912090,-197039585,-12866848
1587691878.268233083,1,-1916044,-197164686,-12870534
1587691879.271687162,1,-1914494,-197004848,-12863284
1587691880.275141491,1,-1911363,-196891279,-12859475
1587691881.278573764,1,-1908548,-196664264,-12849030
1587691882.282023098,1,-1908421,-196710620,-12849276
1587691883.285477945,1,-1912090,-196761271,-12848170
1587691884.288932164,1,-1909370,-196741659,-12845221
1587691885.292370487,1,-1909149,-196596806,-12839200
1587691886.295817815,1,-1906872,-196367390,-12829001
1587691887.299268813,1,-1908200,-196367460,-12827772
1587691888.302719497,1,-1903740,-196365006,-12825068
1587691889.306153752,1,-1905480,-196486760,-12826789
1587691890.309615586,1,-1906334,-196310641,-12818556
1587691891.313059574,1,-1907188,-196205624,-12812780
1587691892.316512585,1,-1902507,-195965833,-12802950
1587691893.319953649,1,-1904057,-196001253,-12801967
1587691894.323407868,1,-1902032,-195989160,-12800124
1587691895.326852032,1,-1905891,-196089444,-12801107
1587691896.330305784,1,-1903709,-195901460,-12792382
1587691897.333752968,1,-1901685,-195803962,-12787590
1587691898.337206538,1,-1900040,-195593176,-12780094
1587691899.340672837,1,-1898996,-195592370,-12777513
1587691900.344105378,1,-1900483,-195582503,-12774319
1587691901.347555285,1,-1901432,-195667750,-12774073
1587691902.351005642,1,-1897794,-195486758,-12766331
1587691903.354459322,1,-1895454,-195353402,-12759942
1587691904.357907914,1,-1891152,-195167591,-12751709
1587691905.361351908,1,-1893145,-195205061,-12750725
1587691906.364805508,1,-1896498,-195245880,-12749988
1587691907.368248680,1,-1895738,-195234400,-12746425
1587691908.371702811,1,-1893619,-195076613,-12739666
1587691909.375159820,1,-1890457,-194860552,-12730450
1587691910.378583569,1,-1892006,-194826902,-12726518
1587691911.382040642,1,-1893398,-194820925,-12724306
1587691912.385492872,1,-1891247,-194945185,-12726395
1587691913.388942391,1,-1891595,-194755378,-12717179
1587691914.392393842,1,-1890203,-194621040,-12711158
1587691915.395841704,1,-1886914,-194439067,-12703293
1587691916.399294239,1,-1889666,-194472104,-12700590
1587691917.402731066,1,-1887610,-194588056,-12702433
1587691918.406192242,1,-1888749,-194427307,-12696289
1587691919.409644788,1,-1884985,-194299981,-12688425
1587691920.413089869,1,-1883435,-194084796,-12681912
1587691921.416530185,1,-1884827,-194131292,-12679577
1587691922.419973777,1,-1883467,-194250399,-12680315
1587691923.423429626,1,-1886471,-194116202,-12675522
1587691924.426887544,1,-1881189,-193998918,-12670484
1587691925.430325285,1,-1879735,-193777529,-12660900
1587691926.433782131,1,-1881664,-193829879,-12660408
1587691927.437227217,1,-1881980,-193936297,-12661391
1587691928.440670517,1,-1879798,-193809619,-12654756
1587691929.444128639,1,-1879798,-193692720,-12649226
1587691930.447576762,1,-1879039,-193470244,-12639764
1587691931.451023336,1,-1879418,-193521000,-12637675
1587691932.454472387,1,-1879387,-193631712,-12639395
1587691933.457917633,1,-1876730,-193478867,-12631162
1587691934.461383379,1,-1873630,-193357148,-12626493
1587691935.464806859,1,-1876793,-193147134,-12618874
1587691936.468263054,1,-1875180,-193183342,-12617154
1587691937.471712932,1,-1877552,-193301643,-12618383
1587691938.475171100,1,-1874895,-193136232,-12609413
1587691939.478611511,1,-1873093,-192999862,-12604866
1587691940.482068984,1,-1871669,-192807987,-12595527
1587691941.485502013,1,-1868728,-192849559,-12593930
1587691942.488956213,1,-1874168,-192962391,-12596141
1587691943.492402679,1,-1871733,-192795964,-12588523
1587691944.495856423,1,-1869803,-192676734,-12582870
1587691945.499292264,1,-1867241,-192469699,-12572917
1587691946.502757397,1,-1867621,-192505522,-12572303
1587691947.506203275,1,-1869424,-192584459,-12571688
1587691948.509652439,1,-1868095,-192484596,-12567019
1587691949.513106121,1,-1867494,-192353483,-12560014
1587691950.516555938,1,-1865249,-192104596,-12550921
1587691951.519997708,1,-1865755,-192122735,-12550430
1587691952.523456725,1,-1863003,-192110134,-12545269
1587691953.526890045,1,-1865407,-192217183,-12546498
1587691954.530360415,1,-1862908,-192025185,-12538510
1587691955.533800830,1,-1860758,-191892793,-12531875
1587691956.537241793,1,-1860536,-191687160,-12523642
1587691957.540696673,1,-1859714,-191721458,-12521553
1587691958.544139930,1,-1859208,-191761260,-12518972
1587691959.547578885,1,-1857816,-191728627,-12515286
1587691960.551032663,1,-1859429,-191571698,-12510494
1587691961.554481565,1,-1854748,-191341826,-12500172
1587691962.557947677,1,-1856171,-191302042,-12496977
1587691963.561377447,1,-1855950,-191288039,-12493413
1587691964.564837789,1,-1857247,-191402344,-12495502
1587691965.568262124,1,-1855792,-191220651,-12487146
1587691966.571726358,1,-1852218,-191097478,-12481862
1587691967.575189695,1,-1851933,-190852674,-12470311
1587691968.578643320,1,-1850984,-190885202,-12468837
1587691969.582079004,1,-1850447,-190916662,-12467485
1587691970.585524048,1,-1853926,-190899924,-12464782
1587691971.588979556,1,-1846841,-190734128,-12457778
1587691972.592426813,1,-1847695,-190480105,-12446350
1587691973.595852625,1,-1844437,-190487063,-12443769
1587691974.599318197,1,-1845639,-190474391,-12441680
1587691975.602769666,1,-1846746,-190579232,-12441680
1587691976.606238568,1,-1846303,-190378524,-12432587
1587691977.609646051,1,-1841464,-190211571,-12425952
1587691978.613143993,1,-1843647,-190068120,-12415752
